competitionid,awayteamleaguepos,hometeamleaguepos,hometeamid,homeleagueid,awayteamform,hometeammatchesplayed,awayteammatchesplayed,stadiumid,fixturedate,fixtureid,fixturetime,awayteamid,hometeamform,awayleagueid
1,6,1,271,1,21122,18,18,33,161918,176426,68400,272,10222,1
1,9,3,269,1,110,18,18,176,161920,176427,64800,1786,22000,1
1,4,8,1788,1,22212,18,18,178,161920,176428,50400,1447,202,1
1,5,2,1516,1,20200,18,18,178,161920,176429,57600,819,12021,1
1,7,10,270,1,22211,18,18,228,161920,176430,50400,1443,1010,1
1,11,12,822,1,20,18,18,249,161921,176431,68400,15006,2002,1
13,12,3,2,13,1201,21,21,115,161899,176660,59400,7,22021,13
13,15,11,1808,13,10102,21,21,340,161900,176661,72000,1943,10121,13
13,5,8,5,13,22122,21,21,28,161898,176662,54000,1925,10110,13
13,9,16,8,13,22112,21,21,432,161898,176663,54000,144,21110,13
13,19,4,9,13,11001,21,21,13,161898,176664,54000,1796,22111,13
13,2,7,11,13,22111,21,21,1,161898,176665,45000,10,2111,13
13,1,17,14,13,22221,21,21,449,161898,176666,63000,1,2,13
13,13,10,106,13,101,21,21,326,161898,176667,54000,1799,11110,13
13,18,14,18,13,100,21,21,409,161898,176668,54000,19,2110,13
13,6,20,110,13,10222,21,21,415,161899,176669,50400,13,121,13
14,16,19,89,14,2022,25,25,26,161898,177142,54000,1794,20011,14
14,12,1,1800,14,202,26,26,497,161898,177143,45000,95,12010,14
14,20,3,94,14,21101,25,25,350,161898,177144,45000,3,2122,14
14,10,23,1951,14,22020,25,26,228,161898,177145,54000,1919,200,14
14,13,4,1801,14,11020,26,26,180,161898,177146,54000,91,11022,14
14,21,24,1807,14,21120,25,24,180,161898,177147,54000,1790,1100,14
14,7,15,17,14,22120,26,25,113,161898,177148,54000,1952,10110,14
14,11,8,1806,14,21002,26,26,331,161898,177149,54000,15,1022,14
14,14,17,1960,14,1102,26,26,333,161898,177150,63000,88,20220,14
14,5,6,1795,14,1212,25,26,347,161898,177151,45000,97,12222,14
14,2,18,109,14,1002,26,26,327,161897,177152,72000,12,200,14
14,22,9,1947,14,12020,26,26,32,161898,177153,54000,1792,2222,14
16,12,9,69,16,12211,17,17,33,161897,177535,68400,217,2000,16
16,15,16,71,16,1100,17,17,512,161899,177536,62100,111817,10002,16
16,11,5,66,16,22202,17,17,426,161899,177537,74700,378,12022,16
16,4,2,73,16,22220,17,17,14,161897,177538,75600,65,20222,16
16,17,1,64,16,11200,17,17,488,161898,177539,61200,57,22222,16
16,18,7,76,16,1,17,17,179,161899,177540,54000,68,11,16
16,3,10,1530,16,21020,17,17,26,161898,177541,75900,219,20220,16
16,13,6,74,16,102,17,17,179,161899,177542,62100,1738,22022,16
16,14,8,1809,16,1,17,17,147,161898,177543,68400,72,1220,16
17,9,16,132680,17,20010,18,18,35,161897,177850,72000,70,12100,17
17,8,14,1823,17,12002,18,18,179,161900,177851,74700,62,22,17
17,11,4,1819,17,21102,18,18,180,161898,177852,75300,1815,22011,17
17,2,1,294,17,22212,18,18,178,161898,177853,50400,379,2122,17
17,3,13,1805,17,11210,18,18,178,161898,177854,50400,111273,20210,17
17,18,17,1814,17,12,18,18,34,161897,177855,72000,58,2000,17
17,7,6,111276,17,10201,18,18,182,161897,177856,72000,110321,11222,17
17,5,12,111659,17,12221,18,18,249,161897,177857,72000,1739,1121,17
17,15,10,131447,17,20,18,18,35,161897,177858,72000,1816,2200,17
19,1,11,31,19,22122,16,16,423,161895,178138,73800,21,11001,19
19,9,15,100409,19,221,16,16,412,161896,178140,73800,1831,2010,19
19,10,6,10029,19,12002,15,16,407,161895,178143,73800,23,12021,19
19,16,14,175,19,121,16,15,406,161895,178145,66600,110329,12200,19
19,8,3,112172,19,20122,15,16,420,161895,178146,73800,25,21200,19
19,18,11,31,19,111,16,16,423,161898,178147,55800,169,11001,19
19,16,2,22,19,121,16,15,9,161898,178149,55800,110329,22121,19
19,10,13,28,19,12002,16,16,41,161898,178150,55800,23,22010,19
19,4,6,10029,19,220,15,16,407,161898,178151,55800,32,12021,19
19,7,12,38,19,10211,15,16,413,161897,178152,73800,1824,1001,19
19,9,5,36,19,221,16,16,418,161899,178153,55800,1831,212,19
19,17,14,175,19,22001,16,16,406,161898,178154,55800,111235,12200,19
20,5,7,29,20,22110,17,17,147,161899,178453,48600,485,20210,20
20,2,8,171,20,21221,17,17,422,161898,178454,46800,580,20102,20
20,17,18,503,20,110,17,17,178,161898,178455,46800,165,22000,20
20,1,6,166,20,12220,17,17,135,161898,178456,73800,34,22011,20
20,4,11,576,20,21,17,17,513,161899,178457,48600,10030,112,20
20,9,12,531,20,1,17,17,182,161898,178458,46800,1832,12101,20
20,3,10,160,20,21221,17,17,473,161899,178459,48600,110502,2211,20
20,15,13,110500,20,2212,17,17,33,161897,178460,66600,110588,2122,20
20,14,16,110636,20,11,17,17,419,161897,178461,66600,159,20002,20
31,2,6,1745,31,12211,19,19,34,161896,178757,74700,131681,2221,31
31,9,19,206,31,1001,19,19,261,161896,178758,66600,189,20010,31
31,14,3,48,31,2102,19,19,520,161895,178760,66600,50,2211,31
31,17,1,131682,31,20100,19,19,176,161895,178765,74700,347,22221,31
31,15,14,50,31,112,19,20,229,161899,178806,45000,110556,2102,31
31,18,9,189,31,20211,19,20,33,161899,178807,54000,110374,1001,31
31,4,16,1842,31,22122,20,20,175,161898,178808,74700,45,12010,31
31,11,3,48,31,1100,19,20,520,161898,178809,64800,111974,2211,31
31,5,12,54,31,2022,20,20,261,161899,178810,64800,52,20200,31
31,1,10,55,31,22221,20,19,482,161898,178811,54000,131682,1021,31
31,7,20,110738,31,20222,20,20,182,161897,178812,74700,115845,10101,31
31,19,13,111434,31,20010,20,19,193,161900,178813,66600,206,10010,31
31,6,8,115841,31,2221,20,19,195,161900,178814,74700,1745,11012,31
50,10,12,621,50,21000,21,20,249,161901,179050,71100,100805,1,50
50,3,6,79,50,22002,21,21,228,161895,179083,71100,78,2022,50
50,10,1,80,50,21000,21,20,180,161895,179085,71100,100805,22022,50
50,10,7,181,50,21000,22,20,228,161905,179118,54000,100805,11200,50
50,5,6,79,50,12221,21,22,228,161905,179119,54000,81,2022,50
50,9,2,86,50,2220,22,22,479,161906,179120,54000,180,22222,50
50,11,4,83,50,1001,22,22,180,161905,179122,54000,82,20221,50
50,12,8,77,50,1,22,21,180,161905,179123,54000,621,10000,50
53,16,4,240,53,20010,19,19,364,161899,179374,58500,463,221,53
53,13,5,452,53,2022,19,19,393,161897,179375,75600,110062,22201,53
53,14,9,468,53,12000,19,19,465,161900,179376,75600,481,20201,53
53,18,12,1860,53,10101,19,19,390,161899,179377,50400,461,10,53
53,8,17,453,53,2001,19,19,440,161898,179378,58500,448,12100,53
53,20,15,479,53,10111,19,19,437,161898,179379,66600,110827,20210,53
53,3,6,449,53,22022,19,18,392,161898,179380,75600,483,1201,53
53,19,2,243,53,121,19,18,2,161898,179381,50400,1853,20222,53
53,1,11,457,53,22222,19,19,397,161899,179382,75600,241,112,53
53,10,7,450,53,1012,19,19,394,161899,179383,66600,480,22122,53
54,6,17,1854,54,2212,21,21,183,161899,179795,66600,1968,20101,54
54,5,3,1861,54,11,21,21,481,161898,179796,75600,242,20021,54
54,19,8,10846,54,2100,21,21,228,161899,179797,66600,110839,2102,54
54,12,4,100852,54,11022,21,21,183,161897,179798,73800,100888,22021,54
54,13,10,1894,54,20010,21,21,34,161898,179799,50400,462,11220,54
54,7,9,1867,54,12222,21,21,179,161899,179800,75600,573,11222,54
54,11,15,15012,54,22200,21,21,178,161898,179801,58500,459,20011,54
54,18,21,244,54,2011,21,21,192,161898,179802,66600,110711,10102,54
54,2,1,456,54,11221,21,21,179,161899,179803,58500,472,21110,54
54,14,22,110069,54,2201,21,21,34,161899,179804,50400,114554,10001,54
54,16,20,110832,54,1220,21,21,439,161900,179805,73800,467,10101,54
60,19,17,1932,60,22200,21,25,26,161898,180338,54000,1926,20001,60
60,1,3,1804,60,22121,24,25,180,161898,180339,45000,1961,2202,60
60,5,21,15015,60,22110,24,26,34,161898,180340,54000,1939,12000,60
60,8,14,143,60,11010,24,23,34,161898,180341,54000,361,20221,60
60,9,18,1958,60,22122,25,24,228,161898,180342,54000,1793,20001,60
60,2,7,1923,60,22212,25,25,460,161898,180343,54000,149,2202,60
60,24,12,1940,60,10002,23,23,228,161898,180344,54000,1928,10222,60
60,11,20,1930,60,20112,24,25,228,161898,180345,54000,1933,20011,60
60,16,10,1938,60,20112,25,25,228,161898,180346,54000,1929,21202,60
60,22,4,1931,60,0,25,24,34,161898,180347,54000,1797,2102,60
60,6,15,1917,60,20110,24,25,180,161898,180348,45000,4,210,60
60,23,13,112259,60,1,24,24,249,161898,180349,54000,142,1020,60
61,9,20,1962,61,2112,24,24,228,161898,180890,54000,1935,1002,61
61,1,7,1924,61,22222,25,25,228,161898,180891,45000,112764,22011,61
61,19,10,121,61,10020,25,24,228,161898,180892,54000,381,10021,61
61,24,16,1802,61,120,24,24,228,161898,180893,54000,112254,10110,61
61,11,12,92,61,122,24,24,34,161898,180894,54000,135,122,61
61,18,15,1920,61,22002,24,25,228,161898,180895,54000,1936,12121,61
61,23,22,127,61,1,24,25,228,161898,180896,54000,112222,10000,61
61,4,2,1934,61,22212,24,24,228,161898,180897,54000,113926,22022,61
61,3,17,15048,61,11200,25,24,180,161898,180898,45000,1803,2020,61
61,5,14,110313,61,22101,24,25,34,161898,180899,54000,1798,222,61
61,8,21,110890,61,21010,25,24,34,161898,180900,54000,1937,1000,61
61,6,13,112260,61,12122,24,24,34,161898,180901,54000,1944,22010,61
66,14,2,420,66,22022,18,17,176,161912,181292,53100,111086,20100,66
66,13,8,873,66,2122,17,18,261,161912,181293,72900,111091,10211,66
66,9,17,1871,66,10201,18,18,176,161913,181294,63000,111083,1100,66
66,3,15,301,66,2101,18,17,178,161912,181295,63000,110745,10020,66
66,4,1,1569,66,20220,18,18,178,161913,181296,53100,114326,11111,66
66,16,5,110749,66,22020,18,17,249,161911,181297,64800,110206,20122,66
66,12,7,111088,66,2002,18,18,178,161911,181298,73800,111082,22021,66
66,10,11,111097,66,201,18,18,178,161913,181299,44100,110746,12101,66
66,6,18,112510,66,211,18,18,34,161914,181300,68400,110747,2202,66
68,16,5,327,68,2111,17,17,515,161900,181589,72000,101020,12112,68
68,18,7,101014,68,10010,17,17,178,161898,181590,61200,111117,2122,68
68,9,1,325,68,20100,17,17,494,161898,181591,72000,110776,21222,68
68,6,11,101025,68,11000,17,17,179,161899,181592,61200,748,212,68
68,12,4,101026,68,120,17,17,26,161900,181593,72000,101037,12022,68
68,3,8,101032,68,22210,17,17,261,161899,181594,61200,436,12112,68
68,17,13,101033,68,12100,17,17,147,161900,181595,61200,131174,10101,68
68,15,14,111339,68,10100,17,17,193,161899,181596,52200,741,20110,68
68,2,10,113142,68,21122,17,17,178,161899,181597,72000,326,1112,68
80,10,2,252,80,21200,17,17,178,161919,181844,61200,15040,22212,80
80,12,9,15009,80,1,17,17,249,161920,181845,52200,110720,2120,80
80,4,7,254,80,22012,17,17,147,161919,181846,61200,2017,10001,80
80,6,3,209,80,20222,17,17,178,161920,181847,61200,780,2020,80
80,5,1,191,80,22102,17,17,516,161918,181848,73800,256,10122,80
80,11,8,111822,80,2200,17,17,35,161920,181849,52200,113616,20,80
189,9,10,324,189,2110,18,18,178,161895,181980,73800,1862,11201,189
189,12,6,110770,189,2010,18,18,228,161895,181987,73800,1713,11220,189
189,9,5,900,189,2110,19,18,514,161898,181988,73800,1862,10200,189
189,6,4,896,189,11220,19,18,509,161899,181989,59400,110770,12121,189
189,3,8,897,189,11222,19,19,249,161898,181990,64800,10032,2,189
189,1,11,322,189,2022,19,19,33,161899,181991,59400,1715,20,189
189,7,10,324,189,22100,18,19,178,161899,181992,50400,894,11201,189
189,2,12,1713,189,10222,18,19,34,161898,181993,64800,898,2010,189
308,6,11,717,308,10122,17,17,229,161898,182159,64800,1900,20002,308
308,9,12,718,308,10220,17,17,34,161900,182160,72900,10020,20121,308
308,13,4,1888,308,2101,17,17,228,161898,182161,55800,1891,11111,308
308,3,10,744,308,12212,17,17,182,161898,182162,73800,234,20102,308
308,8,14,1438,308,2000,17,17,35,161899,182163,52200,112809,20101,308
308,15,2,237,308,1210,17,17,486,161897,182164,72900,114510,12221,308
308,1,7,1887,308,22222,17,17,179,161899,182165,73800,236,12012,308
308,5,17,112516,308,22011,17,17,34,161899,182166,64800,1896,20,308
308,16,18,131463,308,2110,17,17,35,161898,182167,64800,112513,100,308
330,7,4,100757,330,21222,21,21,35,161899,182480,73800,110751,12120,330
330,9,5,100759,330,12122,21,21,35,161897,182481,72000,100761,2210,330
330,16,2,310,330,10200,21,21,249,161898,182482,72000,114545,2100,330
330,15,10,110075,330,10001,21,21,468,161898,182483,62100,114147,10010,330
330,1,13,110078,330,21122,21,21,249,161900,182484,72000,308,12001,330
330,6,11,114385,330,10222,21,21,26,161899,182485,63900,110072,20122,330
330,3,14,114546,330,12110,21,21,469,161899,182486,55800,110752,20000,330
330,8,12,131459,330,2212,21,21,468,161898,182487,46800,110750,2,330
2076,6,17,1826,2076,20020,19,19,179,161898,182742,59400,487,101,2076
2076,16,5,27,2076,10112,19,19,178,161898,182743,50400,506,22121,2076
2076,14,13,543,2076,2101,19,19,249,161897,182744,68400,111239,20021,2076
2076,1,15,523,2076,22201,19,19,178,161898,182745,50400,162,11,2076
2076,12,20,583,2076,21,19,19,35,161899,182746,59400,110645,0,2076
2076,4,8,33,2076,2112,19,19,34,161898,182747,50400,526,22220,2076
2076,11,18,110176,2076,2220,19,19,182,161898,182748,50400,492,200,2076
2076,9,2,110501,2076,22201,19,19,34,161898,182749,50400,110532,22112,2076
2076,7,19,110678,2076,20212,19,19,417,161899,182750,70200,110685,20121,2076
2076,3,10,110697,2076,2011,19,19,35,161899,182751,48600,1825,12102,2076
2215,11,1,115995,2215,0,14,14,137,161906,183030,66600,116021,22222,2215
2215,4,5,115997,2215,222,14,14,416,161906,183031,54900,115999,20012,2215
2215,6,8,116003,2215,22012,14,14,423,161905,183032,43200,116002,21202,2215
2215,10,3,116004,2215,20200,14,14,413,161906,183033,50400,131386,21220,2215
2215,2,14,116005,2215,2222,14,14,182,161905,183034,50400,115998,0,2215
2215,12,13,132533,2215,12210,14,14,41,161906,183035,57600,116001,0,2215
2215,7,9,132589,2215,200,14,14,438,161904,183036,66600,115996,1012,2215
2222,11,4,116327,2222,21020,15,15,364,161898,183234,59400,131733,20111,2222
2222,7,10,116331,2222,22200,15,15,395,161898,183235,66600,116334,212,2222
2222,8,5,116332,2222,12221,15,15,193,161899,183236,39600,116328,12011,2222
2222,2,16,116333,2222,2222,15,15,396,161898,183237,43200,116326,2,2222
2222,3,6,116337,2222,12021,15,15,389,161899,183238,57600,116336,22120,2222
2222,1,14,131123,2222,22222,15,15,175,161899,183239,43200,116325,0,2222
2222,13,9,131125,2222,20201,15,15,175,161899,183240,43200,131720,1201,2222
2222,15,12,131391,2222,10,15,15,439,161898,183241,43200,132629,10002,2222
2222,4,1,116325,2222,20111,15,15,192,161895,183242,68400,116327,22222,2222
2218,10,1,116033,2218,212,11,11,426,161895,183420,68400,132588,22222,2218
2218,3,2,116035,2218,22220,11,11,33,161895,183421,75600,116417,22211,2218
2218,5,7,116039,2218,2211,11,11,468,161895,183422,68400,116034,12012,2218
2218,4,8,116416,2218,20210,11,11,176,161895,183423,68400,116036,0,2218
2218,11,6,131724,2218,10,11,11,179,161895,183424,68400,116037,20012,2218
2218,12,9,132370,2218,10,11,11,29,161895,183425,68400,116044,12002,2218
4,14,2,231,4,10101,20,20,180,161897,183647,74700,132231,222,4
10,12,3,245,10,11011,18,18,15,161898,184128,59400,100632,22212,10
10,4,16,1904,10,22211,18,17,178,161898,184129,75600,1910,101,10
10,15,14,1971,10,1120,17,18,228,161898,184130,72000,100638,22020,10
10,8,2,246,10,2022,18,18,487,161899,184131,60300,100646,22011,10
10,1,11,634,10,22222,18,18,249,161898,184132,72000,247,10021,10
10,7,18,100634,10,21211,18,18,178,161899,184133,52200,1908,11000,10
10,6,9,1913,10,2211,18,18,176,161899,184134,44100,1915,221,10
10,10,17,645,10,11110,18,17,228,161899,184135,52200,1903,0,10
10,5,13,1914,10,102,18,17,249,161898,184136,67500,1906,20201,10
2216,3,2,116010,2216,11221,12,12,28,161905,184366,45000,116009,11022,2216
2216,5,6,116015,2216,211,12,12,115,161906,184367,42900,116012,202,2216
2216,8,10,116016,2216,12200,12,12,265,161904,184368,68400,116013,200,2216
2216,11,9,116020,2216,12010,12,12,335,161906,184369,42900,116014,10020,2216
2216,4,12,116343,2216,1212,12,12,13,161906,184370,42900,116011,10011,2216
2216,1,7,132176,2216,22222,12,12,34,161906,184371,42900,116017,22001,2216
32,9,18,1848,32,2121,19,19,195,161898,184616,70200,112124,11010,32
32,14,8,1746,32,11102,19,19,33,161898,184617,54000,112494,212,32
32,15,16,1837,32,102,19,19,147,161897,184618,73800,113147,20120,32
32,5,2,205,32,22220,19,19,34,161898,184619,54000,110908,12222,32
32,7,20,200,32,2000,19,19,182,161899,184620,54000,1744,10201,32
32,17,4,1843,32,20020,19,19,193,161899,184621,62100,113974,22121,32
32,12,11,2038,32,2012,19,19,193,161898,184622,54000,112493,10112,32
32,6,13,110740,32,12100,19,19,26,161898,184623,62100,110915,20000,32
32,19,10,110912,32,11,19,19,33,161898,184624,54000,111433,12102,32
32,1,3,111811,32,22212,19,19,228,161898,184625,54000,111657,10220,32
350,9,16,111674,350,12020,13,13,149,161895,184933,73800,131798,10000,350
350,3,4,112387,350,12202,13,13,345,161895,184935,73800,112393,20222,350
350,12,5,112391,350,1001,13,13,149,161895,184937,63900,113057,1222,350
350,7,6,607,350,21220,13,14,345,161897,184941,73800,112096,22222,350
350,16,2,112139,350,10000,14,13,524,161898,184942,73800,111674,21000,350
350,17,8,112883,350,10000,14,13,149,161897,184943,63900,113060,122,350
350,3,15,113037,350,12202,13,13,149,161899,184944,73800,112393,1,350
350,14,12,113057,350,11200,13,13,149,161898,184945,59700,113217,1001,350
350,5,11,113222,350,1222,14,13,149,161899,184946,65700,112391,12002,350
350,10,18,115892,350,2222,14,13,149,161897,184947,60000,112390,100,350
350,4,13,131735,350,20222,13,13,149,161898,184948,65400,112387,20,350
350,1,9,131798,350,22222,13,14,229,161899,184949,73800,605,12020,350
351,7,8,111393,351,22220,12,12,175,161898,185184,68700,111397,2201,351
351,3,12,111396,351,12210,12,13,32,161898,185185,64800,114604,20,351
351,5,9,111399,351,2000,12,13,26,161897,185186,67500,111395,202,351
351,10,2,111400,351,2021,11,12,261,161899,185187,61200,111766,22012,351
351,1,6,112224,351,22012,13,12,179,161897,185188,70500,131739,10120,351
351,4,11,112427,351,22022,12,12,176,161898,185189,61200,111398,10002,351
4,4,8,674,4,20210,20,20,178,161898,186205,0,229,1002,4
4,7,16,537,4,22212,20,20,469,161898,186207,0,230,12001,4
4,15,10,681,4,10021,20,20,249,161898,186208,0,1750,12120,4
4,6,11,670,4,22020,20,20,228,161898,186209,0,232,10112,4
4,5,1,2014,4,2201,20,20,468,161898,186210,0,110724,1121,4
4,13,3,680,4,1201,20,20,228,161898,186211,0,100087,22022,4
4,9,12,15005,4,20110,20,20,180,161898,186212,0,673,11100,4
