overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
1,90,89,1,232580
-1,85,86,5,257534
3,91,88,9,256630
2,89,87,11,212198
-1,84,85,13,241096
1,90,89,21,202126
-2,84,86,21,229558
-2,82,84,21,234396
1,89,88,21,247827
3,88,85,22,215441
-3,86,89,73,235212
1,89,88,73,252145
-3,84,87,240,246191
3,92,89,241,277643
2,91,89,243,192119
2,91,89,243,238794
2,90,88,243,239053
2,89,87,325,232293
4,88,84,448,230869
-1,85,86,448,256516
4,88,84,605,223848
-1,84,85,110062,192448
-2,82,84,112172,204638
-1,84,85,115998,226302
2,91,89,116009,237288
3,90,87,116009,245802
3,88,85,116009,245872
2,91,89,116009,258980
2,89,87,116009,265239
-3,84,87,116010,238257
-1,84,85,116010,242830
-1,84,85,116010,245882
-1,84,85,116010,261733
-1,84,85,116010,265249
-2,82,84,116010,267382
-1,84,85,116013,246641
3,88,85,116017,233746
3,88,85,116017,245830
1,90,89,116017,246219
-1,86,87,116033,231432
-1,87,88,116033,246272
4,89,85,116033,265674
-1,82,83,116034,227346
-1,86,87,116034,233662
-2,82,84,116034,247504
-2,82,84,116034,262457
-1,84,85,116035,245697
2,90,88,116325,227190
-2,82,84,116325,268942
2,90,88,131682,231478
