overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
-1,80,80,81,82,81,81,2,81,80
1,76,77,76,76,76,77,8,76,77
1,78,81,80,82,84,79,11,83,85
1,80,80,79,77,78,81,14,75,79
1,77,78,77,78,76,78,19,78,77
1,83,85,84,89,85,84,21,91,86
-1,78,78,79,82,79,77,32,81,77
-1,80,79,80,81,80,79,45,80,79
1,79,82,81,79,82,79,48,78,82
1,78,81,80,77,80,78,52,77,81
-1,76,75,76,78,74,75,54,77,73
1,76,77,76,76,76,76,66,77,76
-1,77,77,78,77,78,76,69,76,78
-1,74,75,76,75,75,73,72,74,74
-1,74,75,76,76,76,74,74,75,76
1,79,78,77,76,77,79,106,77,78
-1,78,77,78,77,78,78,144,75,77
-1,74,75,76,76,77,72,189,75,75
1,79,80,79,80,79,79,219,81,80
1,78,79,78,78,78,79,236,78,78
-1,83,84,85,90,84,83,243,90,83
-1,74,75,76,76,76,72,246,74,76
1,76,78,77,76,80,76,247,77,82
-1,77,78,79,80,78,76,326,81,78
2,73,77,75,77,77,76,327,77,78
-1,79,79,80,78,81,78,448,76,81
1,77,80,79,79,79,77,449,79,80
-1,77,75,76,75,75,76,452,74,74
1,76,78,77,82,77,75,457,84,77
-1,76,76,77,76,78,75,480,75,76
-1,76,75,76,74,75,75,481,74,74
-1,78,78,79,80,79,76,483,80,78
-2,70,74,76,83,78,69,607,81,77
2,74,78,76,77,74,75,1745,77,76
-1,80,78,79,78,78,79,1799,78,76
-1,80,77,78,76,78,78,1824,76,77
1,78,78,77,78,77,78,1943,78,78
1,75,78,77,79,74,77,110374,80,76
-1,79,78,79,76,79,78,112172,77,77
-2,78,76,78,78,76,75,115841,76,74
1,83,85,84,82,83,84,116010,82,84
-1,74,75,76,77,76,73,116016,77,76
1,79,82,81,84,80,80,116017,85,82
1,84,85,84,86,82,84,116033,85,82
1,80,81,80,79,79,81,116034,82,80
1,77,78,77,73,78,78,116035,73,79
-1,76,75,76,73,76,76,116036,72,76
1,86,86,85,86,81,86,116325,87,80
-1,78,77,78,78,76,78,116327,78,74
1,82,84,83,86,83,82,131682,87,84
