overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-1,85,86,1,222665
1,90,89,1,232580
1,89,88,1,234378
-2,84,86,1,241651
1,89,88,1,243715
-2,83,85,2,202811
1,89,88,9,256630
1,90,89,10,230621
-1,84,85,10,237692
-1,90,91,10,239085
3,90,87,11,212198
-2,84,86,13,241096
2,91,89,21,202126
1,90,89,21,212622
2,89,87,21,213331
2,90,88,21,247827
1,89,88,21,256790
-2,83,85,32,234236
-2,82,84,45,222077
3,88,85,52,211110
2,92,90,73,231443
-2,85,87,73,247635
1,91,90,241,251854
-1,84,85,241,259532
3,92,89,241,277643
1,92,91,243,231747
-1,88,89,243,238794
-2,88,90,243,252371
-2,82,84,326,210257
-2,82,84,605,232656
-2,83,85,607,165153
-1,84,85,607,215914
-1,83,84,607,241852
-1,84,85,112139,204525
-2,82,84,112172,204638
1,90,89,116009,237288
2,89,87,116010,238257
3,88,85,116010,261733
-1,83,84,116012,227013
3,88,85,116017,233746
2,91,89,116017,246219
-1,86,87,116033,227310
-2,83,85,116033,278219
2,89,87,116034,233662
2,92,90,116325,227102
1,90,89,116325,236479
-2,87,89,116325,237289
-2,84,86,116325,253436
-1,84,85,131681,227796
1,89,88,131682,231478
