firstnameid,lastnameid,playerjerseynameid,commonnameid,role4,careerenddate,role3,gkglovetypecode,role5,role2,role1,eyebrowcode,skintypecode,careerstartdate,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,tattooback,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,facepsdlayer0,standingtackle,preferredposition3,longpassing,penalties,animfreekickstartposcode,lipcolor,isretiring,longshots,gkdiving,icontrait2,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,skinsurfacepack,vision,contractvaliduntil,finishing,dribbling,slidingtackle,accessorycode3,preferredposition5,accessorycolourcode1,headtypecode,driref,sprintspeed,undershortstyle,height,hasseasonaljersey,tattoohead,preferredposition2,strength,previousteamcountryid2,shoetypecode,birthdate,preferredposition1,tattooleftleg,skinmakeup,ballcontrol,phypos,previousteamcountryid1,previousteamid3,shotpower,trait1,socklengthcode,weight,hashighqualityhead,eyedetail,tattoorightarm,icontrait1,balance,gender,headassetid,gkkicking,defspe,internationalrep,preferredposition6,previousteamid2,shortpassing,modeavailability,freekickaccuracy,skillmoves,faceposerpreset,previousteamcountryid3,previousteamid1,usercaneditname,avatarpomid,finishingcode2,aggression,acceleration,paskic,headingaccuracy,iscustomized,preferredposition7,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,sockstylecode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,tattoofront,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,personality,gkkickstyle,stamina,playerid,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,trait2,shohan,skintonecode,shortstyle,overallrating,smallsidedshoetypecode,emotion,runstylecode,facepsdlayer1,muscularitycode,skincomplexion,jerseyfit,accessorycode2,shoedesigncode,goldenage,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,pacdiv,defensiveawareness,runningcode1,preferredposition4,volleys,accessorycolourcode2,tattoorightleg,facialhaircolorcode
17746,7572,16747,0,0,2018,33,0,0,140,137,50000,0,1998,3,0,87,0,90,0,0,0,80,0,19,0,46,18,76,73,0,0,0,87,9,0,52,21,87,87,7,0,81,83,242101,89,2030,85,92,41,0,-1,0,3,90,87,0,176,0,0,27,69,18,1,145757,23,0,0,91,72,14,65,81,4202880,0,73,1,2,0,1048576,87,0,27,13,51,4,-1,5,87,0,86,3,0,95,19,0,0,0,64,89,86,59,0,-1,0,0,6,2,0,1,0,25,160273,0,0,14,1,0,4,79,4,0,82,27,0,16,0,3,0,84,3,0,87,501,3,0,0,0,1,0,0,0,25,15,0,8,0,88,55,0,-1,82,0,0,3
2162,16352,142,16351,0,2024,39,0,0,131,121,60101,0,2002,0,287,82,1,87,0,0,0,93,0,297,0,63,27,93,68,0,0,0,80,6,0,71,0,86,92,7,0,94,91,223101,95,2030,81,93,59,0,-1,0,2518,92,80,0,171,3,0,18,59,163,1,146672,14,0,0,94,66,45,0,78,5254145,0,68,0,2,0,256,86,0,41,6,62,5,-1,0,95,0,72,3,0,190,241,0,0,0,58,86,91,54,0,-1,0,2,13,5,0,1,0,0,161715,0,0,45,1,0,4,63,3,0,86,41,0,13,0,3,2048,80,2,0,92,501,1,0,0,0,2,0,0,0,26,15,0,8,0,83,57,0,-1,80,0,0,0
1298,33719,33719,0,0,2006,0,0,0,41,144,1140401,0,1988,2,0,80,0,70,0,0,0,91,0,150,0,57,-1,62,92,0,0,0,85,5,0,43,15,76,89,9,0,86,87,252001,74,2030,93,76,53,0,-1,0,2004,78,81,0,182,0,0,-1,87,0,1,141652,25,0,0,82,84,14,13,93,4194372,0,78,0,2,0,16,73,0,51,10,49,5,-1,3,82,0,85,2,0,0,17,0,0,0,79,83,76,94,0,-1,0,1,6,1,0,1,0,22,160432,0,0,14,1,0,3,87,2,0,83,51,0,9,0,1,0,91,3,0,89,500,3,0,0,0,1,0,0,0,26,0,0,2,0,82,27,17,-1,92,0,0,6
31875,19163,19163,0,0,2006,114,0,0,19,118,2150000,0,1989,3,287,68,0,68,0,0,0,68,0,104,0,90,-1,86,68,0,0,0,81,8,0,92,15,71,86,14,0,90,88,252001,84,2030,69,75,85,0,-1,0,4003,78,73,0,180,0,0,10,84,42,1,142014,14,0,0,84,87,14,78,63,88408064,0,76,1,2,0,512,75,0,240,12,84,4,-1,14,89,0,70,1,0,25,11,0,0,0,93,70,82,75,0,-1,0,1,14,10,0,1,0,0,160432,0,0,25,1,0,3,77,3,0,91,240,0,14,0,1,4096,69,2,0,86,500,5,0,0,0,1,0,0,0,28,0,0,2,0,72,76,0,-1,56,0,0,3
29016,33095,33095,0,0,2013,0,0,0,131,121,10000,1,1993,7,0,75,1,70,0,0,0,90,0,75,0,58,-1,92,71,1,0,0,92,7,0,80,15,87,88,8,0,87,87,252001,92,2030,82,73,40,0,-1,0,2021,78,73,0,171,1,0,18,71,0,1,143208,14,0,0,85,80,14,0,90,1313798,0,71,1,2,0,256,87,0,246,5,62,4,-1,0,91,0,71,2,0,0,11,0,0,0,87,75,89,81,0,-1,0,1,12,8,0,1,0,0,160432,0,0,14,1,0,4,84,5,0,92,246,0,15,0,2,512,86,1,0,88,500,2,0,0,0,1,0,0,0,25,0,0,8,0,74,54,0,-1,83,0,0,7
8642,4000,4000,0,0,2013,122,0,0,24,123,240401,0,1992,5,0,95,0,76,0,0,0,88,0,70,0,67,23,93,88,5,0,0,94,11,0,68,31,95,88,8,0,90,91,242101,92,2030,80,84,61,0,-1,0,1505,85,82,0,182,1,0,14,75,45,18,143375,12,0,0,88,80,14,697,86,67114243,0,74,0,2,0,8,81,0,250,8,66,4,-1,243,90,0,94,2,0,95,11,0,0,0,78,77,92,71,0,-1,0,1,13,7,1,1,0,0,160432,0,0,14,1,0,3,81,2,0,90,250,0,16,2,2,0,85,3,0,88,503,4,0,0,0,1,0,0,0,26,30,0,391,0,80,65,3,-1,81,0,0,6
31435,19163,19163,0,0,2018,0,0,0,43,141,1140000,0,1997,6,287,81,0,86,0,0,0,90,0,61,0,41,-1,64,82,0,0,0,86,11,0,43,0,72,86,16,0,92,87,242101,81,2030,89,87,17,0,-1,0,34,88,86,0,175,0,0,-1,71,42,0,145269,25,0,0,89,76,14,697,88,1048641,0,73,0,2,0,2,86,0,330,13,45,4,-1,110,81,0,61,3,0,95,18,0,0,0,76,88,76,72,0,-1,0,0,9,2,0,1,0,25,160111,0,0,25,1,0,4,72,2,0,88,330,0,14,0,2,4096,88,3,0,86,501,4,0,0,0,1,0,0,0,28,15,0,2,0,87,50,0,-1,87,0,0,6
28023,18605,18605,0,0,2008,0,9,0,0,101,60101,0,1987,1,0,10,0,66,0,0,0,10,0,190,0,12,-1,32,22,0,0,0,12,93,16,15,15,12,91,95,0,89,63,223101,55,2030,11,13,34,0,-1,0,22,95,62,0,188,1,0,-1,82,0,1,141228,0,0,0,25,89,21,0,53,0,0,90,0,2,0,0,44,0,488,70,57,5,-1,1832,39,0,14,0,0,0,21,0,0,0,61,53,70,18,0,-1,0,1,86,8,1,1,0,0,161715,0,0,21,1,0,2,84,3,1,41,488,0,89,0,0,4104,86,3,0,91,500,5,0,0,0,2,0,0,0,28,0,0,2,0,93,14,0,-1,12,0,0,1
17272,27915,27915,0,0,2008,125,0,0,34,131,2150000,1,1990,21,28,92,1,92,0,0,0,87,0,71,0,39,25,78,84,0,0,0,88,9,0,46,11,80,88,13,0,83,89,250101,86,2030,78,95,33,0,-1,0,1001,93,84,0,173,1,0,12,62,48,0,142749,18,0,0,92,60,18,73,88,1056776,0,70,0,2,0,8388608,91,0,570,12,40,4,-1,326,82,0,93,4,0,14,4,0,0,0,41,90,83,61,0,-1,0,1,15,9,0,1,0,0,160601,0,0,133,1,0,4,54,4,0,72,570,0,9,0,4,0,83,10,0,88,501,4,0,0,0,9,0,0,0,30,15,0,2,0,87,33,0,-1,81,0,0,0
31964,8159,31962,31962,0,2008,0,0,0,33,131,240000,0,1990,3,287,84,0,84,0,0,0,86,0,12,0,38,-1,84,81,2,0,0,86,15,0,65,15,85,87,6,0,88,81,250101,87,2030,75,84,40,0,-1,0,1516,85,85,0,180,1,0,-1,80,27,1,142246,18,0,0,89,76,38,131681,86,5253120,1,74,0,2,0,256,81,0,1025,5,43,4,-1,110374,88,0,92,3,0,0,234,0,0,0,54,81,87,49,0,-1,0,1,5,3,0,1,0,0,160922,0,0,38,1,0,4,77,4,0,86,1025,0,10,0,3,0,80,5,0,87,503,3,0,0,0,3,0,0,0,24,21,0,2,1,83,32,0,-1,78,0,0,0
