bs_zygomaxilla_NL_XXX_D_U,bs_zygomaxilla_NR_XXX_R_A,bs_mandible_NR_IXA_B_F,bs_maxilla_NL_SXX_N_W,bs_chin_NN_SXX_SL_SR,bs_brow_NL_XLX_R_A,bs_canine_NL_XXX_N,bs_brow_NL_XLX_B_F,bs_brow_NR_SMX_B_F,bs_temple_NR_XXX_B_F,bs_orbits_NR_XXX_N_W,bs_orbits_NR_SXX_D_U,bs_teeth_NN_XXX_D_U,ca_ears_NR_XXX_N_W,bs_cuspid_NR_XXX_SL_SR,fl_eyes_NR_XXX_R_A,bs_skull_NN_SXX_N_W,bs_mandible_NR_XXP_B_F,ca_laryngeal_NN_XXX_N_W,bs_orbits_NL_XXX_R_A,bs_maxilla_NR_IXX_B_F,fl_eyes_NR_XXX_D_U,bs_incisorLower_NL_XLX_U,bs_mandible_NL_SXA_N_W,bs_cuspid_NL_XXX_N,bs_brow_NN_XMX_D_U,ca_ears_NL_XXX_B_F,bs_temple_NL_XXX_R_A,bs_zygomaxilla_NR_XXX_D_U,bs_coronal_NN_SXX_R,bs_incisor_NR_XLX_D_U,bs_incisor_NR_IMX_D_U,bs_brow_NN_XMX_SL_SR,bs_canine_NR_IXX_R,bs_maxilla_NR_SXX_D_U,bs_maxilla_NL_IXX_R_A,bs_incisorLower_NL_XLX_SL_SR,ca_ears_NL_XXX_SL_SR,bs_incisor_NL_IMX_R,bs_incisorLower_NL_XLX_N,bs_noseRoot_NN_XXX_D_U,bs_cuspid_NL_SXX_D_U,bs_incisor_NR_ILX_D_U,ca_ears_NL_XXX_R_A,bs_cuspid_NL_XXX_U,bs_cuspid_NR_SXX_D_U,bs_cuspid_NR_XXX_N,bs_mandible_NR_IXA_N_W,ca_ears_NR_XXX_R_A,bs_skull_NN_SXX_R_A,bs_noseBridge_NN_XXX_N_W,bs_incisorLower_NR_SMX_D_U,bs_chin_NN_XXX_B_F,bs_canine_NL_XXX_SL_SR,bs_incisor_NR_XLX_SL_SR,bs_brow_NR_XLX_N_W,bs_maxilla_NL_IXX_B_F,bs_incisorLower_NR_XLX_U,bs_mandible_NR_SXA_D_U,bs_skull_NN_XXP_N_W,bs_chin_NN_XXX_R_A,bs_orbits_NL_SXX_D_U,bs_temple_NL_XXX_B_F,ca_adamsapple_NN_XXX_D_U,bs_orbits_NL_XXX_N_W,bs_mandible_NL_XXP_N_W,bs_canine_NR_XXX_N,bs_nose_NN_XXX_N_W,bs_incisor_NL_XLX_N_W,bs_mandible_NR_XXP_N_W,ca_laryngeal_NN_XXX_B_F,bs_mandible_NL_IXA_B_F,bs_chin_NN_XXX_SL_SR,bs_molarsLower_NR_XXX_U,bs_brow_NL_XLX_N_W,bs_mandible_NL_IXA_R_A,bs_incisorLower_NL_SMX_D_U,bs_brow_NR_XLX_R_A,bs_incisor_NR_XMX_D_U,bs_cuspid_NR_XXX_U,bs_maxilla_NR_IXX_N_W,bs_mandible_NR_IXA_R_A,bs_incisorLower_NR_XLX_N,bs_noseBridge_NN_XXX_R_A,bs_incisor_NR_IMX_R,bs_canine_NL_IXX_R,bs_mandible_NL_IXA_D_U,bs_orbits_NR_XXX_R_A,bs_incisorLower_NL_SLX_D_U,bs_nose_NN_XXX_B_F,bs_mandible_NL_XXP_R_A,bs_temple_NR_XXX_N_W,bs_chin_NN_XXX_N_W,bs_chin_NN_SXX_D_U,bs_orbits_NR_XXX_B_F,bs_teethLower_NN_XXA_N_W,bs_brow_NL_SMX_D_U,bs_incisorLower_NL_XMX_N,bs_skull_NN_XXP_R_A,bs_chin_NN_SXX_N_W,bs_chin_NN_XXX_D_U,bs_canine_NL_XXX_D_U,bs_brow_NL_SMX_N_W,bs_temple_NL_XXX_N_W,bs_orbits_NL_XXX_B_F,bs_mandible_NR_SXA_B_F,bs_noseRoot_NN_XXX_SL_SR,ca_ears_NL_XXX_N_W,bs_coronal_NN_SXX_D_U,bs_maxilla_NL_IXX_N_W,bs_incisor_NL_XMX_D_U,bs_teeth_NN_XXX_SL_SR,bs_cuspid_NL_XXX_SL_SR,ca_ears_NL_XXX_D_U,bs_forehead_NN_XXX_U,bs_incisor_NL_XMX_N_W,bs_maxilla_NL_IXX_D_U,bs_maxilla_NR_IXX_R_A,bs_molarsLower_NL_XXX_U,bs_coronal_NN_SXX_N_W,bs_canine_NR_IXX_D_U,bs_incisor_NL_XLX_D_U,ca_adamsapple_NN_XXX_B_F,bs_incisor_NR_XMX_SL_SR,bs_temple_NR_XXX_R_A,bs_temple_NL_XXX_D_U,bs_noseRoot_NN_XXX_B_F,bs_orbits_NL_SXX_B_F,bs_forehead_NN_XXX_R_A,bs_orbits_NR_SXX_B_F,bs_incisorLower_NR_XMX_N,bs_temple_NR_XXX_D_U,bs_incisor_NL_XLX_SL_SR,bs_brow_NN_XMX_R_A,bs_zygomaxilla_NR_XXX_B_F,bs_teethLower_NN_XXA_D_U,bs_teeth_NN_XXX_B_F,bs_orbits_NL_SXX_N_W,bs_orbits_NL_XXX_D_U,bs_noseBridge_NN_XXX_SL_SR,bs_maxilla_NR_SXX_B_F,bs_teeth_NN_XXX_R_A,bs_incisor_NR_XMX_N_W,bs_maxilla_NR_IXX_D_U,bs_orbits_NR_SXX_R_A,bs_forehead_NN_XXX_B_F,bs_mandible_NL_IXA_N_W,bs_coronal_NN_SXX_B_F,bs_skull_NN_XXP_SL_SR,bs_coronal_NN_SXX_SL_SR,bs_brow_NL_XLX_D_U,bs_forehead_NN_XXX_SL_SR,bs_maxilla_NL_SXX_B_F,bs_noseRoot_NN_XXX_N_W,bs_incisorLower_NR_XMX_SL_SR,bs_zygomaxilla_NL_XXX_R_A,bs_zygomaxilla_NL_XXX_B_F,bs_maxilla_NL_SXX_R_A,bs_nose_NN_XXX_D_U,bs_mandible_NR_XXP_D_U,bs_incisor_NL_XMX_SL_SR,fl_eyes_NR_XXX_B_F,bs_incisor_NL_ILX_R,bs_molars_NL_XXX_D_U,bs_incisor_NR_XLX_N_W,ca_ears_NR_XXX_SL_SR,bs_brow_NR_SMX_R_A,bs_brow_NN_XMX_B_F,bs_canine_NR_XXX_SL_SR,bs_skull_NN_SXX_F,bs_mandible_NR_SXA_N_W,bs_brow_NL_SMX_R_A,fl_eyes_NR_XXX_N_W,ca_laryngeal_NN_XXX_D_U,bs_molars_NR_XXX_D_U,bs_skull_NN_XXP_D_U,bs_chin_NN_SXX_R_A,bs_mandible_NL_XXP_D_U,bs_forehead_NN_XXX_N_W,bs_nose_NN_XXX_SL_SR,fl_eyes_NL_XXX_B_F,bs_orbits_NR_SXX_N_W,bs_chin_NN_SXX_B_F,bs_noseBridge_NN_XXX_D_U,bs_orbits_NR_XXX_D_U,fl_eyes_NL_XXX_R_A,bs_mandible_NR_IXA_D_U,bs_mandible_NL_SXA_R_A,bs_teeth_NN_XXX_N_W,bs_brow_NL_SMX_B_F,bs_brow_NR_XLX_D_U,bs_maxilla_NR_SXX_N_W,bs_incisor_NL_ILX_D_U,bs_mandible_NL_SXA_B_F,bs_canine_NL_IXX_D_U,ca_laryngeal_NN_XXX_SL_SR,bs_brow_NR_SMX_N_W,bs_incisorLower_NL_XMX_U,bs_zygomaxilla_NR_XXX_N_W,ca_ears_NR_XXX_B_F,bs_incisorLower_NR_XLX_SL_SR,bs_canine_NR_XXX_D_U,bs_orbits_NL_SXX_R_A,bs_skull_NN_XXP_B_F,bs_incisor_NR_ILX_R,bs_incisorLower_NL_XMX_SL_SR,bs_teeth_NN_XXA_N_W,bs_mandible_NL_SXA_D_U,bs_mandible_NR_SXA_R_A,bs_mandible_NL_XXP_B_F,bs_brow_NN_XMX_N_W,fl_eyes_NL_XXX_D_U,bs_skull_NN_SXX_SL_SR,bs_teeth_NN_XXA_D_U,bs_noseBridge_NN_XXX_B_F,bs_brow_NR_XLX_B_F,ca_ears_NR_XXX_D_U,bs_skull_NN_SXX_D_U,fl_eyes_NL_XXX_N_W,bs_noseRoot_NN_XXX_R_A,bs_incisorLower_NR_XMX_U,bs_zygomaxilla_NL_XXX_N_W,bs_brow_NR_SMX_D_U,bs_incisor_NL_IMX_D_U,ca_adamsapple_NN_XXX_SL_SR,bs_nose_NN_XXX_R_A,bs_incisorLower_NR_SLX_D_U,bs_maxilla_NL_SXX_D_U,bs_mandible_NR_XXP_R_A,bs_maxilla_NR_SXX_R_A,assetid,fc_neck_restore,fc_mouthbag_restore
45,36,-37,-12,4,-19,0,13,-3,100,-9,30,-15,-37,0,-31,0,-44,6,1,17,-56,0,-22,0,-15,8,-77,34,0,5,3,9,0,36,-19,0,-67,0,0,-76,4,2,-33,0,5,0,-15,-27,8,-38,6,-10,-1,0,-29,42,0,-12,25,42,47,100,26,-13,13,0,34,3,18,-22,-53,4,0,-34,-79,4,-12,1,0,34,-84,0,60,0,0,-17,18,2,-2,48,-6,-43,-82,23,-3,-58,0,-32,-44,-1,5,30,-10,40,6,-6,-44,-47,41,5,6,-1,36,0,11,-66,-20,0,12,7,2,-26,4,-75,54,25,5,2,1,0,48,0,34,-30,-2,80,-27,-3,17,-1,-14,2,-78,-24,1,-23,-8,4,5,40,-8,-8,37,0,31,-25,-52,96,31,5,44,0,2,0,-73,35,-75,-2,0,-36,31,-75,12,5,3,89,35,-31,38,51,-8,-51,55,-16,-22,-18,8,-55,-11,16,-14,3,17,4,-1,23,0,6,7,-3,2,-22,6,0,1,6,-13,-4,-46,54,-57,11,5,-43,7,48,-25,-49,8,0,-2,-54,3,5,-36,2,31,45,-50,72543,0,100
-30,46,53,-47,-16,8,0,18,42,-19,4,-12,63,-2,0,-51,1,22,-7,-4,14,-3,0,-94,0,-1,18,-8,-19,0,1,3,11,0,53,-34,-2,-57,0,0,-9,5,-1,18,0,6,0,-17,3,14,-7,4,-18,-2,4,-5,25,0,65,30,43,-5,-21,28,-22,-38,0,-79,0,-42,-12,77,-36,0,-3,-32,3,15,1,0,-22,-27,0,82,0,0,37,-2,-1,-39,-21,10,-55,-59,-41,-3,40,0,-9,-96,46,5,28,1,-20,59,16,23,-60,-26,4,-10,-2,-8,0,1,-81,-36,0,-62,2,0,-44,4,-20,78,15,-17,-68,-10,0,76,1,60,-55,-3,-71,31,-11,0,10,-50,0,-82,-29,-49,-10,-25,12,18,-51,6,0,-25,-1,46,-57,-11,35,0,3,24,0,1,0,-20,-84,-54,-3,0,-95,-82,6,18,3,13,64,2,26,-22,49,49,-64,14,-9,-54,42,47,-77,29,-66,-50,0,53,2,-5,37,0,-35,7,-2,3,-39,19,0,-2,6,64,48,21,74,-7,14,1,-27,1,-7,23,-12,88,0,-34,34,4,7,-24,0,62,-19,-10,79440,100,100
-54,32,50,-48,9,-50,0,12,16,58,-31,4,56,63,0,-22,11,3,23,31,17,22,0,-58,0,-37,25,-2,-39,0,3,6,2,0,68,2,0,-23,0,0,-4,5,1,-40,0,4,0,-37,-36,49,-35,5,-19,0,3,-22,18,0,-18,48,22,5,52,22,-24,-45,0,-32,5,-25,25,39,-4,0,-4,-25,5,-54,3,0,-23,-20,0,58,0,0,25,37,2,-49,2,-9,-49,-8,-38,-2,-73,0,-32,-90,46,4,-58,-23,-19,62,-2,49,-27,-27,6,-10,1,-5,0,7,-4,-1,0,71,2,1,-27,3,5,46,0,-27,32,-10,0,52,4,77,-49,0,-42,77,-7,15,23,-20,1,-11,-20,-3,-41,9,13,5,-54,-16,25,-25,-1,25,-57,-10,86,13,4,5,0,2,2,-55,18,-49,-2,0,-64,22,1,13,4,20,71,12,25,21,15,74,-52,37,-13,-19,27,-18,-45,14,-57,-60,1,60,3,-3,-55,0,-58,27,-2,5,-16,4,0,1,4,-13,-38,-3,46,20,4,11,-39,10,-6,27,5,79,0,-73,-80,7,4,2,3,70,-3,-4,80380,0,100
62,-3,-13,-30,11,-5,0,30,12,25,-52,-47,-13,23,-5,5,34,-4,-19,65,10,-15,0,-50,0,-61,16,52,58,0,1,1,-7,0,6,22,1,-88,0,0,-54,3,-3,-5,0,2,0,-32,0,65,-19,2,17,0,-3,-37,19,0,-10,68,22,-55,42,-3,-38,56,0,-32,3,43,12,4,-26,0,-29,-27,3,-1,0,0,-33,-11,0,2,0,0,6,67,0,-72,-6,-4,-36,-70,-83,-3,-86,0,-27,-70,2,4,-79,1,-66,7,-23,45,-4,-12,1,-23,-1,0,0,4,-6,29,0,20,0,-1,-27,-3,56,64,33,42,20,37,0,52,0,-19,-12,-5,0,64,-21,-12,-20,-37,9,-9,-72,47,-24,-16,-1,-20,-20,-17,-27,-43,-4,0,-2,-31,2,42,2,8,0,2,4,-58,-8,-31,-4,0,-49,-25,-9,8,3,12,64,44,-6,-27,19,63,-26,-8,-26,3,18,-50,-73,20,-27,-36,-2,9,-1,-7,-73,0,11,0,-7,0,-82,-36,0,0,2,-5,-44,0,-56,-12,-22,4,-43,18,-7,55,-6,3,0,21,-78,2,10,-7,0,2,0,-26,81236,0,100
-11,14,-34,-57,3,0,0,-23,-57,60,100,66,-32,-12,-5,-14,-7,-15,7,-11,53,-3,0,-56,0,-1,56,-5,32,0,1,-4,28,0,-20,-8,5,-23,0,0,-61,0,-3,100,0,2,0,-83,100,-2,29,2,-6,4,-4,-8,41,0,-48,26,-13,60,49,13,21,-22,0,38,9,-35,14,-8,-22,0,-39,-85,0,40,0,0,5,-55,0,22,0,0,-43,-17,0,-6,28,3,-56,-81,28,1,47,0,3,-46,-13,1,-22,-11,4,61,33,-11,-59,35,2,-13,4,-36,0,22,-40,-10,0,0,3,1,-33,-2,-32,-20,61,45,14,26,0,-5,5,-53,0,-11,5,2,39,16,51,-5,16,-43,42,-83,-63,-5,4,20,-11,0,59,64,-3,18,12,13,36,-11,7,7,0,2,7,-1,-5,-84,-7,0,-90,42,3,16,3,1,29,-9,-11,-12,-2,52,-28,10,50,-4,-21,-18,-6,-59,4,-11,0,34,0,0,7,0,10,48,-6,0,24,26,0,6,8,-44,-27,-16,67,-7,6,-5,-37,-35,-37,-6,-34,-40,0,-10,46,-6,4,-8,0,-11,23,19,81238,0,100
-30,-7,-43,-5,21,-2,0,-20,2,29,21,68,23,-21,-2,-89,-7,-36,-45,68,-51,-24,0,30,0,-31,8,-48,-14,0,3,3,13,0,35,-14,-1,-16,0,0,-96,3,0,61,0,4,0,-17,54,0,-1,2,-2,-2,0,31,-44,0,-30,14,64,61,31,18,58,10,0,78,7,-8,9,-60,-27,0,47,-65,0,-1,2,0,83,-62,0,-38,0,0,-19,41,2,-70,64,3,-53,-75,-16,1,-12,0,19,-36,11,4,-46,2,-5,-82,-12,-12,-53,89,6,-1,-3,28,0,16,-53,-6,0,11,6,0,-12,2,-46,22,-18,10,-26,13,0,19,1,12,-75,-4,1,6,-4,-1,-29,-39,8,-43,-30,-2,-19,-14,8,0,5,-28,-35,30,0,-11,-79,-15,89,1,2,26,0,0,5,-15,24,-34,-4,0,34,24,-43,64,4,6,56,7,63,24,18,-15,-43,11,-15,-87,-17,15,-24,-24,9,-1,2,-96,3,-3,-48,0,31,5,-4,3,-27,30,0,0,13,-21,1,-33,75,-22,2,15,-100,2,26,-27,-42,-38,0,54,-30,2,8,-21,1,34,67,-14,81239,0,100
5,-8,14,-44,5,17,0,3,28,19,7,55,8,-21,0,-46,3,4,19,-5,14,49,0,-74,0,-28,19,12,-1,0,0,4,14,0,30,27,-1,-84,0,0,3,0,0,-25,0,2,0,-34,-21,12,-20,3,9,-2,3,-19,14,0,-31,22,16,46,30,5,-3,33,0,-28,0,17,33,22,-3,0,-10,11,2,17,2,0,-2,5,0,0,0,0,47,26,0,-59,3,-5,-41,-45,-27,-1,-28,0,-17,-75,19,0,-63,3,-20,76,1,-9,-2,-9,1,7,-1,2,0,1,35,27,0,37,3,0,-49,1,17,55,-42,42,-41,46,0,33,0,33,0,0,21,16,11,0,1,-34,0,19,-21,15,-30,-12,-2,18,-41,6,-11,-70,0,-4,-15,-9,73,-9,0,-37,0,3,0,-27,-29,22,0,0,-61,-13,-39,19,3,-12,41,0,74,-25,1,-8,-54,28,8,-55,31,-54,-59,41,-26,-39,0,77,2,-3,-63,0,52,7,0,0,-22,14,0,0,1,-28,-30,6,-68,55,4,9,-63,11,-10,-12,-56,17,0,46,-8,5,5,22,1,30,13,-20,81272,0,100
17,26,2,-81,-1,-9,0,18,20,64,9,23,-18,33,-2,-56,24,16,-52,35,-4,-27,0,-42,0,-6,48,-30,31,0,1,-3,-19,0,27,-1,2,-1,0,0,-48,4,-1,15,0,4,0,-38,12,27,-8,1,8,2,0,5,2,0,13,24,41,43,67,18,21,-7,0,-14,7,-12,27,-4,-19,0,2,-55,1,-1,0,0,31,-58,0,61,0,0,-44,35,-1,4,30,-15,-54,-51,-37,0,-48,0,20,-49,9,2,-19,-6,-28,41,-14,12,-62,72,1,21,2,22,0,15,-49,21,0,-5,1,0,-14,1,-28,5,46,7,3,18,0,10,5,12,28,-10,33,1,8,13,17,-34,11,-54,-51,45,-34,21,1,-13,28,-28,12,-29,-1,37,33,-12,43,6,8,31,0,0,7,-44,21,-2,-3,0,-49,9,-31,45,1,-5,44,9,36,20,36,9,-23,-30,6,-58,-41,-18,-77,19,13,-79,-1,65,-1,-3,-29,0,-23,43,-4,0,-42,49,0,2,6,19,-51,19,49,-36,-8,-5,-22,12,13,-62,-35,9,0,-72,-62,-5,5,-16,0,22,28,-19,81295,0,100
7,4,-3,-66,-5,-21,0,38,3,67,-53,41,77,29,-3,0,10,0,37,25,43,-5,0,-35,0,-55,6,-17,9,0,2,6,0,0,66,-4,0,-58,0,0,-20,5,1,-46,0,5,0,-6,-54,66,-20,6,-28,0,-2,-1,47,0,-23,19,39,37,64,38,-50,-44,0,-63,0,-35,57,13,-5,0,17,-36,5,-21,4,0,-37,-35,0,31,0,0,20,32,1,-33,-1,11,-25,1,-83,-2,-68,0,-28,-63,55,4,-55,0,-69,50,-11,33,-18,-31,7,-8,1,-12,0,2,-33,-4,0,56,4,0,-18,0,-16,20,3,40,49,40,0,22,0,21,-71,0,-44,77,-15,-39,13,-34,1,-27,-75,42,-7,16,9,-2,-41,-4,17,-36,-4,2,-70,5,77,12,2,19,0,4,0,-67,39,0,-5,0,-22,36,-51,13,5,12,70,12,-41,-46,18,74,-39,39,-18,0,23,-30,-75,7,-39,-70,1,54,3,-5,-57,0,-22,3,-5,3,-75,23,0,0,1,-19,-31,-3,28,-1,-6,11,5,36,-17,11,-52,46,0,-15,-63,7,5,0,1,63,0,8,81473,0,100
-36,50,22,-97,10,-23,0,-63,37,78,-90,-13,55,-38,0,-51,20,5,12,35,-3,23,0,-8,0,39,-29,6,-41,0,0,3,-9,0,20,25,-5,-18,0,0,-56,3,0,-38,0,3,0,10,-31,11,19,3,-13,-3,4,-22,1,0,-26,22,43,-13,75,19,-94,-79,0,-79,-4,-72,51,7,-29,0,-24,-6,2,-33,2,0,6,-4,0,64,0,0,21,43,0,-22,-60,-79,-73,-15,-39,-5,-55,0,-21,-88,29,3,-68,-87,-27,15,-2,-44,-80,-13,2,-5,-2,-9,0,-4,-19,21,0,-27,1,-1,-39,3,1,96,2,-16,7,-29,0,98,0,48,-63,-3,-100,40,-8,-2,25,-28,-7,-33,-23,-36,6,-5,8,-15,-25,-31,28,-18,0,41,-61,9,43,-3,1,-6,0,0,-6,-39,15,-75,-3,0,33,14,-90,12,2,-6,68,-3,-3,7,-5,42,-57,-1,-14,-31,28,-74,-91,20,-50,-100,0,33,1,-9,-65,0,-57,-25,-1,1,-28,20,0,-3,-8,-24,-80,1,90,30,2,8,-28,-56,0,-22,-80,58,0,-58,-43,2,7,12,0,24,-58,10,223740,0,100
