teamkitid,chestbadge,shortsnumberplacementcode,shortsnumbercolorprimg,teamcolorsecb,shortsrenderingdetailmaptype,jerseyfrontnumberplacementcode,jerseynumbercolorsecr,jerseynumbercolorprimr,jerseynumbercolorprimg,shortsnumbercolorsecb,teamcolorprimg,shortsnumbercolorterb,shortsnumbercolorprimr,teamcolortertb,jerseynumbercolorterg,jerseynameoutlinecolorr,shortsnumbercolorprimb,jerseynamelayouttype,jerseynumbercolorterr,jerseyrightsleevebadge,jerseynumbercolorprimb,jerseyshapestyle,jerseybacknameplacementcode,teamcolorprimr,jerseynamecolorg,jerseyleftsleevebadge,jerseynameoutlinecolorb,teamcolorsecg,shortsnumbercolorsecg,teamcolortertr,jerseynumbercolorsecg,renderingmaterialtype,shortsnumbercolorterr,teamcolorsecr,jerseycollargeometrytype,shortsnumbercolorterg,jerseynamecolorr,teamcolorprimb,jerseyrenderingdetailmaptype,jerseynameoutlinecolorg,jerseynumbercolorsecb,jerseynamecolorb,jerseynumbercolorterb,teamcolortertg,shortsnumbercolorsecr,jerseybacknamefontcase,teamkittypetechid,powid,isinheritbasedetailmap,islocked,numberfonttype,shortstemplateindex,jerseynamefonttype,teamcolorprimpercent,isgeneric,teamcolorsecpercent,year,jerseytemplateindex,captainarmband,teamtechid,isembargoed,hasadvertisingkit,jerseynameoutlinewidth,dlc,teamcolortertpercent,armbandtype,shortsnumberfonttype,shortstyle,jerseyfit,sockstemplateindex,jerseyrestriction
1344,0,1,30,230,0,0,220,220,220,220,19,220,234,230,12,12,45,1,12,13,220,0,1,210,220,0,12,230,220,230,220,0,220,230,0,220,220,51,0,12,220,220,12,230,220,0,0,-1,0,0,262,0,135,49,0,44,0,0,13,1,0,0,2,0,88,1,262,0,0,0,0
1345,0,1,220,85,0,0,220,220,220,220,58,12,220,67,12,12,220,1,12,13,220,0,1,55,220,0,12,58,220,42,220,0,12,55,0,12,220,85,0,12,220,220,12,49,220,0,1,-1,0,0,262,0,135,97,0,97,0,0,13,1,0,0,2,0,99,0,262,0,0,0,0
1346,0,1,12,48,0,0,25,12,12,25,233,220,12,153,220,220,12,1,220,13,12,0,1,239,12,0,220,35,25,234,25,0,220,133,0,220,12,125,0,220,25,12,220,237,25,0,2,0,0,0,265,0,135,93,0,6,0,0,13,1,0,0,2,0,92,0,265,0,0,0,1
1347,0,1,12,234,0,0,25,12,12,25,235,220,12,230,220,220,12,1,220,13,12,0,1,235,12,0,220,235,25,230,25,0,220,235,9,220,12,234,0,220,25,12,220,230,25,0,3,-1,0,0,265,0,135,96,0,96,0,0,13,1,0,0,2,0,96,0,265,0,0,0,0
1348,0,1,12,218,0,0,220,220,220,25,33,220,12,231,12,12,12,1,12,13,220,0,1,58,220,0,12,177,25,231,220,0,220,152,0,220,220,47,0,12,220,220,12,231,25,0,0,0,0,0,262,0,135,80,0,15,0,0,13,2,0,1,2,0,97,0,265,0,0,0,0
1349,0,1,220,87,0,0,220,220,220,220,31,12,220,30,12,12,220,1,12,13,220,0,1,31,220,0,12,85,220,30,220,0,12,83,0,12,220,31,0,12,220,220,12,30,220,0,1,-1,0,0,262,0,135,88,0,5,0,0,13,2,0,1,2,0,98,0,262,0,0,0,0
1765,0,1,12,47,0,0,25,12,12,25,232,220,12,152,220,220,12,1,220,13,12,0,1,241,12,0,220,34,25,233,25,0,220,130,0,220,12,113,0,220,25,12,220,236,25,0,2,0,0,0,265,0,135,93,0,5,0,0,13,2,0,1,2,0,97,1,265,0,0,0,0
5745,0,1,12,218,0,0,25,12,12,25,228,220,12,219,220,220,12,1,220,13,12,0,1,230,12,0,220,182,25,230,25,0,220,166,7,220,12,220,0,220,25,12,220,230,25,0,3,-1,0,0,265,0,135,79,0,14,0,0,13,2,0,1,2,0,96,0,265,0,0,0,0
1350,0,1,0,165,0,0,220,197,0,220,252,12,197,254,12,12,46,0,12,14,46,0,1,252,0,0,12,90,220,254,220,0,12,10,7,12,197,252,0,12,220,46,12,254,220,0,0,0,0,0,238,0,49,50,0,46,0,0,14,3,0,0,2,0,98,0,89,0,0,0,0
1351,0,1,12,70,0,0,220,12,12,220,146,220,12,69,220,220,12,0,220,14,12,0,1,185,12,0,220,146,220,200,220,0,220,185,0,220,12,70,0,220,220,12,220,155,220,0,1,0,0,0,238,0,49,91,0,91,0,0,14,3,0,0,2,0,94,0,89,0,0,0,0
1766,0,1,12,111,0,0,220,12,12,220,194,220,12,105,220,220,12,0,220,14,12,0,1,108,12,0,220,194,220,100,220,0,220,108,7,220,12,111,0,220,220,12,220,192,220,0,2,0,0,0,238,0,49,97,0,97,0,0,14,3,0,0,2,0,98,0,89,0,0,0,0
1352,0,1,220,65,0,0,220,197,0,12,254,15,220,64,220,197,220,0,220,60,46,0,1,254,0,0,46,33,12,10,220,0,194,11,13,8,197,254,0,0,220,46,220,32,12,0,0,0,0,0,23,0,49,86,0,8,0,0,14,4,0,0,0,0,92,0,89,3,0,0,0
