overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
1,90,89,1,232580
-1,85,86,1,241651
-2,83,85,5,239231
-1,84,85,5,247090
-1,86,87,5,257534
2,91,89,9,203376
2,91,89,9,212831
-2,82,84,10,218667
-1,84,85,10,237692
-1,84,85,10,240638
2,89,87,11,212198
-2,84,86,13,241096
3,89,86,13,247851
2,91,89,21,202126
2,88,86,21,241084
2,90,88,21,247827
-2,84,86,22,215441
2,88,86,22,235073
-1,84,85,32,210035
-2,82,84,32,228813
3,88,85,48,237238
1,91,90,73,231443
-2,85,87,73,272834
-2,83,85,106,199503
2,90,88,240,200389
-3,84,87,240,246191
-1,88,89,241,233419
-2,82,84,241,241461
4,89,85,241,259532
2,90,88,243,239053
-1,83,84,448,230869
-1,85,86,448,256516
3,88,85,607,165153
-2,83,85,112139,204525
1,90,89,116009,237288
2,89,87,116010,238257
3,88,85,116010,261733
-1,83,84,116012,227013
3,88,85,116017,233746
2,91,89,116017,246219
1,92,91,116325,227203
1,90,89,116325,236479
2,90,88,116325,241846
-2,84,86,116325,253436
3,88,85,116326,245879
-2,82,84,131681,210008
-1,84,85,131681,227796
-1,83,84,131681,241721
2,88,86,131682,208128
-1,87,88,131682,231478
