competitionid,isqualified,group,teamid,groupslot
223,1,1,48,1
223,1,1,234,2
223,1,1,2014,3
223,1,1,247,4
223,1,2,73,1
223,0,2,100135,2
223,1,2,10,3
223,1,2,9,4
223,1,3,241,1
223,1,3,1824,2
223,1,3,231,3
223,1,3,22,4
223,1,4,32,1
223,1,4,240,2
223,1,4,448,3
223,1,4,69,4
223,1,5,1,1
223,1,5,245,2
223,1,5,5,3
223,1,5,243,4
223,1,6,115845,1
223,1,6,21,2
223,1,6,13,3
223,1,6,266,4
223,1,7,325,1
223,1,7,113888,2
223,1,7,819,3
223,1,7,18,4
223,1,8,219,1
223,1,8,131682,2
223,1,8,483,3
223,1,8,918,4
223,1,9,237,1
223,1,9,45,2
223,0,9,100325,3
223,1,9,280,4
224,1,1,36,1
224,1,1,209,2
224,1,1,449,3
224,0,1,298,4
224,1,2,1884,1
224,1,2,66,2
224,1,2,14,3
224,0,2,114385,4
224,1,3,65,1
224,1,3,673,2
224,1,3,100632,3
224,1,3,100761,4
224,0,4,229,1
224,1,4,1516,2
224,1,4,896,3
224,1,4,236,4
224,1,5,78,1
224,1,5,2,2
224,1,5,900,3
224,1,5,919,4
224,1,6,246,1
224,1,6,72,2
224,1,6,52,3
224,1,6,393,4
224,1,7,1874,1
224,1,7,189,2
224,1,7,25,3
224,1,7,320,4
224,1,8,1896,1
224,1,8,326,2
224,1,8,450,3
224,1,8,211,4
224,1,9,110468,1
224,1,9,86,2
224,1,9,1903,3
224,1,9,191,4
226,0,1,670,1
226,0,1,10032,2
226,1,1,306,3
226,1,1,480,4
226,1,2,76,1
226,0,2,269,2
226,0,2,181,3
226,1,2,1871,4
226,0,3,256,1
226,1,3,1862,2
226,1,3,101047,3
226,1,3,101059,4
226,1,4,1799,1
226,1,4,1906,2
226,0,4,324,3
226,1,4,278,4
226,1,5,267,1
226,1,5,169,2
226,1,5,711,3
226,1,5,873,4
226,0,6,81,1
226,0,6,270,2
226,0,6,2041,3
226,1,6,114326,4
226,1,7,834,1
226,0,7,263,2
226,1,7,254,3
226,1,7,110374,4
226,0,8,1438,1
226,0,8,327,2
226,0,8,300,3
226,1,8,110745,4
226,0,9,708,1
226,1,9,308,2
226,1,9,77,3
226,1,9,748,4
227,1,1,116282,1
227,1,1,116325,2
227,0,1,131360,3
227,1,1,115995,4
227,0,2,131362,1
227,1,2,116009,2
227,0,2,131361,3
227,1,2,116326,4
227,1,3,116010,1
227,1,3,116033,2
227,0,3,116034,3
227,0,3,131125,4
227,1,4,116280,1
227,0,4,131358,2
227,0,4,131359,3
227,1,4,115998,4
227,0,5,131363,1
227,1,5,116017,2
1003,1,1,517,1
1003,1,1,101083,2
1003,1,1,15029,3
1003,1,1,110991,4
1003,1,2,1876,1
1003,1,2,112908,2
1003,1,2,111014,3
1003,1,2,110981,4
1003,1,3,1043,1
1003,1,3,110986,2
1003,1,3,110990,3
1003,1,3,112965,4
1003,1,4,598,1
1003,1,4,111008,2
1003,1,4,112670,3
1003,1,4,111010,4
1003,1,5,101085,1
1003,1,5,110980,2
1003,1,5,111052,3
1003,1,5,112992,4
1003,1,6,111325,1
1003,1,6,1048,2
1003,1,6,101100,3
1003,1,6,1598,4
1003,1,7,383,1
1003,1,7,110968,2
1003,1,7,111013,3
1003,1,7,112716,4
1003,1,8,101110,1
1003,1,8,101108,2
1003,1,8,101088,3
1003,1,8,131795,4
1014,1,1,110093,1
1014,1,1,111329,2
1014,1,1,112667,3
1014,1,1,112868,4
1014,1,2,111710,1
1014,1,2,114581,2
1014,1,2,115536,3
1014,1,2,1719,4
1014,1,3,101099,1
1014,1,3,111711,2
1014,1,3,112615,3
1014,1,3,1041,4
1014,1,4,1629,1
1014,1,4,111706,2
1014,1,4,111006,3
1014,1,4,114598,4
1014,1,5,568,1
1014,1,5,111328,2
1014,1,5,111716,3
1014,1,5,114615,4
1014,1,6,567,1
1014,1,6,110977,2
1014,1,6,101106,3
1014,1,6,132375,4
1014,1,7,110395,1
1014,1,7,569,2
1014,1,7,114611,3
1014,1,7,111334,4
1014,1,8,1035,1
1014,1,8,110989,2
1014,1,8,111011,3
1014,1,8,112531,4
