assetid,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,goalnetstanchioncolor2g,teamcolor2r,foundationyear,goalnetstanchioncolor2r,teamcolor3r,goalnetstanchioncolor1b,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,goalnetstanchioncolor2b,goalnetstanchioncolor1r,teamcolor2g,goalnetstanchioncolor1g,teamname,teamcolor3b,presassetone,powid,hassubstitutionboard,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,cksupport7,defensivedepth,hasvikingclap,jerseytype,pitchcolor,cksupport9,pitchwear,popularity,hastifo,presassettwo,teamstadiumcapacity,stadiumgoalnetstyle,iscompetitionscarfenabled,cityid,rivalteam,playsurfacetype,isbannerenabled,midfieldrating,cksupport8,stadiummowpattern_code,cksupport6,matchdayoverallrating,matchdaymidfieldrating,attackrating,longitude,buildupplay,matchdaydefenserating,hasstandingcrowd,favoriteteamsheetid,defenserating,iscompetitionpoleflagenabled,skinnyflags,uefa_consecutive_wins,longkicktakerid,trait1vweak,iscompetitioncrowdcardsenabled,rightcornerkicktakerid,throwerleft,gender,cksupport1,cornerflagpolecolor,uefa_cl_wins,hassuncanthem,domesticcups,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,numtransfersin,stanchionflamethrower,stadiumgoalnetpattern,throwerright,captainid,personalityid,prev_el_champ,leftfreekicktakerid,cksupport2,leaguetitles,genericbanner,crowdregion,uefa_uecl_wins,overallrating,ballid,profitability,utcoffset,penaltytakerid,pitchlinecolor,cksupport5,freekicktakerid,crowdskintonecode,internationalprestige,cksupport3,haslargeflag,trainingstadium,form,genericint1,cksupport4,trait1vstrong,matchdayattackrating
1,26,218,2500000,255,1,255,1886,1,228,1,53,3,51,206,3,1,1,255,1,Arsenal,60,0,-1,0,234378,0,10,-1,0,65,0,2,3,0,0,9,0,0,60704,0,0,285,18,0,1,84,0,1,0,84,83,85,0,1,83,0,-1,83,0,0,0,234378,131586,2,246669,0,0,0,0,0,0,14,4,234378,7,1,0,131586,0,0,0,0,222665,1,0,234378,0,13,0,3,0,84,151,9,0,222665,0,0,234378,2,9,0,0,316,0,-1,0,263170,84
2,0,102,800000,229,1,148,1874,1,124,1,51,2,52,47,2,1,1,190,1,Aston Villa,78,0,-1,0,200458,1,7,-1,0,50,0,2,4,0,0,7,0,0,42657,0,2,54,109,0,2,81,0,1,0,79,80,81,-1,2,78,0,-1,79,0,0,0,216393,132224,2,200458,0,0,0,0,1,0,7,3,216393,5,2,0,270464,0,0,0,0,210881,1,0,216393,0,7,0,3,0,80,151,9,0,221697,0,0,200458,2,7,0,0,316,0,-1,0,4198528,79
3,76,1,39000,255,76,255,1875,1,1,182,182,1,53,76,1,182,1,255,76,Blackburn Rovers,202,0,-1,0,225748,0,5,-1,0,30,0,2,4,0,0,4,0,0,31367,0,2,55,1796,0,2,70,0,1,0,68,69,69,-2,2,67,0,-1,68,2,0,0,225748,4195344,2,225748,0,0,0,0,0,0,6,4,225748,7,3,0,532496,0,0,0,0,225748,1,0,225748,0,3,0,3,0,69,55,4,0,245652,0,0,225748,2,1,0,0,366,0,-1,0,528400,69
4,255,255,8000,63,28,8,1874,14,255,80,255,1,53,255,1,80,14,21,28,Bolton Wanderers,255,0,-1,0,212366,0,8,-1,0,65,0,2,4,0,0,4,0,0,28723,0,2,61,1917,0,2,67,0,1,0,66,67,66,-2,1,67,0,-1,66,2,0,0,268927,132224,0,265700,0,0,0,0,0,0,4,2,212366,8,4,0,132224,0,0,0,0,212366,0,0,268927,0,0,0,3,0,66,55,7,0,236528,0,0,212366,2,1,0,0,366,0,-1,0,270464,66
5,20,0,2340000,255,85,255,1905,48,28,200,137,2,51,75,2,200,48,255,85,Chelsea,160,0,-1,0,257534,1,8,-1,0,50,0,2,3,0,0,9,0,0,40343,0,2,285,1,0,1,82,0,1,0,81,83,79,0,1,81,1,-1,80,1,0,0,257534,132233,3,257534,0,0,0,0,2,0,8,4,247090,4,5,2,263305,0,0,0,0,238074,0,0,257534,0,6,0,3,1,80,151,10,0,257534,0,0,257534,2,8,0,0,316,0,-1,0,4202633,80
7,54,0,700000,255,54,255,1878,0,45,156,156,2,53,99,2,156,0,255,54,Everton,201,0,-1,0,243282,0,4,-1,0,30,0,2,4,0,0,7,0,0,39414,0,0,282,9,0,2,76,0,1,0,77,77,77,-2,2,76,0,-1,78,0,0,0,243657,4195400,2,243282,0,0,0,0,0,0,5,1,243282,5,7,0,532552,0,0,0,0,204935,0,0,243282,0,9,0,3,0,77,151,4,0,251892,0,0,243282,2,4,0,0,316,0,-1,0,528456,79
8,255,255,390000,134,205,46,1919,235,235,134,255,2,53,225,2,0,46,67,67,Leeds United,1,0,-1,0,247361,0,2,-1,0,90,0,1,5,0,0,7,0,0,37890,0,2,269,11,0,1,75,0,1,0,76,75,75,-1,1,77,0,-1,76,2,0,0,247361,66689,2,247361,0,0,0,0,0,0,1,3,247361,4,8,0,66689,0,0,0,0,235735,0,0,247361,0,3,0,3,0,76,151,7,0,247249,0,0,247361,2,1,0,0,366,0,-1,0,139393,75
9,27,227,4650480,255,1,255,1892,1,255,1,35,3,53,215,3,1,1,255,1,Liverpool,0,0,-1,0,239837,0,10,-1,0,65,0,1,3,0,0,9,0,0,53394,0,1,282,11,0,1,85,0,1,0,85,85,83,-2,1,85,0,-1,84,1,0,0,239837,131712,3,239837,0,0,0,0,6,0,8,3,239837,4,9,3,131712,0,0,0,0,203376,0,0,239837,0,20,0,3,0,84,151,6,0,209331,0,0,239837,2,10,0,0,316,0,-1,0,263296,83
10,173,108,4564360,255,177,255,1880,133,0,222,233,3,53,40,3,222,133,255,177,Manchester City,94,0,-1,0,218667,0,10,-1,0,65,0,2,4,0,0,9,1,0,53400,0,1,300,11,0,2,85,0,1,0,84,84,85,-2,1,81,1,-1,82,1,0,0,218667,131712,3,218667,0,0,0,0,1,0,7,2,218667,3,10,0,131712,0,0,0,0,239818,1,0,218667,0,10,0,3,0,84,151,8,0,239085,0,0,218667,2,10,0,0,316,0,-1,0,263296,85
11,1,199,5683920,255,1,255,1878,1,30,1,1,2,53,30,2,1,1,255,1,Manchester United,30,0,-1,0,212198,0,7,-1,0,50,0,2,5,0,0,10,0,0,74310,0,0,300,9,0,0,82,0,1,0,80,81,81,-2,2,78,1,-1,78,0,0,0,212198,132244,0,212198,0,0,0,0,3,0,13,4,212198,9,11,1,270484,0,0,0,0,212198,0,0,212198,0,20,0,3,0,80,151,6,0,212198,0,0,212198,2,7,0,0,316,0,-1,0,4198548,81
12,25,224,80000,255,1,255,1876,1,235,1,34,1,54,25,1,1,1,255,1,Middlesbrough,34,0,-1,0,253054,0,7,-1,0,50,0,2,4,0,0,5,0,0,33931,0,2,315,13,0,2,70,0,1,0,73,73,70,-1,1,73,0,-1,71,2,0,0,253054,263298,2,253054,0,0,0,0,0,0,0,2,253054,6,12,0,4195458,0,0,0,0,253054,0,0,253054,0,0,0,3,0,71,55,6,0,261283,0,0,253054,2,1,0,0,366,0,-1,0,532610,74
13,30,30,900000,255,40,255,1892,9,30,25,30,2,54,30,2,25,9,255,40,Newcastle United,30,0,-1,0,241096,0,8,-1,0,65,0,2,4,0,0,7,0,0,52305,0,0,342,106,0,2,84,0,1,0,81,84,82,-1,3,80,0,-1,80,0,0,0,247851,135296,2,242964,0,0,0,0,0,0,6,2,242964,5,13,0,133248,0,0,0,0,247851,0,0,241096,0,4,0,3,0,81,151,10,0,233731,0,0,241096,2,8,0,0,316,0,-1,0,264320,82
14,36,221,440000,255,36,255,1865,221,210,33,33,2,52,36,2,33,221,255,36,Nottingham Forest,33,0,-1,0,236015,0,6,-1,0,50,0,2,5,0,0,6,0,0,30445,0,2,352,91,0,2,79,0,1,0,78,78,79,-1,3,78,0,-1,81,2,0,0,236015,135488,2,236015,0,0,0,0,2,0,2,5,236015,6,14,0,264512,0,0,0,0,236015,0,0,236015,0,1,0,3,0,79,151,10,0,192123,0,0,236015,2,6,0,0,366,0,-1,0,4196672,78
15,66,32,35000,255,43,255,1882,31,32,109,151,1,51,66,1,109,31,255,43,Queens Park Rangers,171,0,-1,0,238490,0,5,-1,0,30,0,2,4,0,0,4,0,0,18439,5,2,285,144,0,2,70,0,1,0,70,71,69,0,2,67,0,-1,67,2,0,0,238490,4195584,2,238490,0,0,0,0,0,0,0,2,243223,6,15,0,532736,0,0,0,0,193011,0,0,238490,0,0,0,3,0,70,55,5,0,243223,0,0,238490,2,1,0,0,366,0,-1,0,528640,69
17,0,228,200000,255,26,255,1885,236,211,27,43,2,50,10,2,27,236,255,26,Southampton,10,0,-1,0,207807,1,10,-1,0,90,0,1,3,0,0,6,0,0,32384,0,0,459,1790,0,2,70,0,1,0,72,69,73,-1,1,71,0,-1,72,0,0,0,207807,66688,2,207807,0,0,0,0,0,0,1,1,265993,8,17,0,66688,0,0,0,0,202697,1,0,207807,0,0,0,3,0,72,55,7,0,221841,0,0,207807,2,2,0,0,366,0,-1,0,139392,73
18,255,255,2430000,75,37,15,1882,29,153,110,255,2,51,177,2,110,29,32,37,Tottenham Hotspur,211,0,-1,0,243576,0,7,-1,0,90,0,1,6,0,0,8,1,0,62850,0,0,285,1,0,1,80,0,1,0,80,79,79,0,1,80,1,-1,80,2,0,0,243576,66692,3,245155,0,0,0,0,0,0,8,2,243576,6,18,3,66692,0,0,0,0,232488,1,1,243576,0,2,0,3,0,81,151,8,0,225539,0,0,243576,2,7,0,0,316,0,-1,0,139396,79
19,37,123,915300,231,38,27,1895,16,100,32,57,2,51,30,2,32,16,177,38,West Ham United,60,1,-1,0,205569,0,3,-1,0,30,0,2,3,0,0,7,0,0,60000,0,1,285,97,0,2,78,0,1,0,78,78,80,0,2,78,0,-1,77,0,0,0,205569,4195472,2,205569,0,0,0,0,0,0,3,2,205569,6,19,0,532624,0,0,0,0,224371,0,0,205569,0,0,0,3,1,78,151,8,0,224371,0,0,205569,2,4,0,0,316,0,-1,0,528528,80
