competitionid,awayteamleaguepos,hometeamleaguepos,hometeamid,homeleagueid,awayteamform,hometeammatchesplayed,awayteammatchesplayed,stadiumid,fixturedate,fixtureid,fixturetime,awayteamid,hometeamform,awayleagueid
65,8,6,834,65,10,27,28,469,161766,173128,61200,1571,11221,65
65,3,2,305,65,10121,29,29,34,161771,173130,71100,445,10121,65
65,7,2,305,65,20100,29,29,34,161778,173135,71100,753,10121,65
65,1,10,422,65,21212,29,28,34,161778,173136,71100,306,2102,65
65,5,9,563,65,22100,29,29,34,161778,173138,71100,1572,20021,65
65,8,4,423,65,10,29,28,34,161778,173139,71100,1571,12221,65
41,4,14,1523,41,11002,20,20,35,161773,173565,52200,418,1010,41
41,12,1,918,41,121,20,20,34,161771,173566,68400,113459,22122,41
41,6,16,1463,41,21200,20,19,34,161773,173567,69300,298,201,41
41,15,13,1756,41,2012,20,20,178,161773,173568,61200,922,210,41
41,9,10,417,41,1211,20,19,178,161772,173569,57600,2041,22120,41
41,5,3,919,41,2222,19,20,249,161772,173570,64800,920,20221,41
41,7,11,112199,41,20010,20,19,228,161773,173571,61200,1757,2,41
41,2,8,131491,41,222,20,20,34,161773,173572,61200,300,21110,41
56,9,3,433,56,21002,22,22,176,161774,173821,68400,111705,11022,56
56,2,8,710,56,22002,22,22,261,161773,173822,50400,708,11122,56
56,6,10,711,56,22212,22,22,249,161774,173823,69000,319,1020,56
56,11,13,321,56,220,22,22,34,161772,173824,63000,702,10020,56
56,4,7,700,56,20211,22,22,179,161773,173825,59400,320,21000,56
56,16,14,1870,56,11200,22,22,178,161773,173826,50400,112126,11200,56
56,5,12,113458,56,10202,22,22,34,161773,173827,59400,111594,12220,56
56,1,15,113892,56,22122,22,22,34,161772,173828,54000,112072,1001,56
83,3,1,1477,83,2002,28,28,180,161772,174053,68400,980,22202,83
83,8,4,1474,83,2000,28,28,196,161772,174054,68400,1473,22220,83
83,12,2,2055,83,1012,28,28,158,161773,174055,68400,2056,21220,83
83,5,7,112115,83,21020,28,28,33,161772,174056,68400,982,11122,83
83,11,9,112555,83,110,28,28,35,161773,174057,68400,1478,22,83
83,6,10,112558,83,202,28,28,182,161773,174058,68400,112258,20200,83
39,21,19,693,39,0,27,28,181,161765,174264,70200,691,0,39
39,30,20,698,39,0,28,27,178,161765,174421,70200,697,0,39
39,13,24,112885,39,0,28,28,402,161772,174489,70200,687,0,39
39,11,5,114640,39,0,29,25,193,161772,174490,70200,112893,0,39
39,15,19,693,39,0,27,27,181,161772,174491,70200,112828,0,39
39,7,3,113149,39,0,29,29,147,161772,174492,70200,114162,0,39
39,20,16,694,39,0,29,28,33,161772,174493,70200,698,0,39
39,9,29,688,39,0,29,28,32,161772,174494,70200,112606,0,39
39,28,27,111139,39,0,29,28,249,161772,174496,70200,113018,0,39
39,26,21,691,39,0,28,28,196,161772,174497,70200,111651,0,39
39,17,12,111140,39,0,28,29,435,161772,174498,70200,689,0,39
39,25,22,111065,39,0,27,28,32,161772,174499,70200,696,0,39
39,4,2,131439,39,0,28,29,183,161772,174500,70200,111138,0,39
39,10,18,111928,39,0,29,25,32,161772,174501,63000,112996,0,39
39,30,8,111144,39,0,27,27,341,161772,174502,63000,697,0,39
39,14,25,696,39,0,28,27,178,161766,174562,64800,114161,0,39
39,23,28,113018,39,0,28,27,178,161765,174573,70200,695,0,39
39,1,6,101112,39,0,27,29,248,161772,174645,66600,112134,12012,39
2221,14,9,116303,2221,10112,18,18,468,161765,175309,70200,131478,10110,2221
2221,5,2,116304,2221,20111,18,18,193,161766,175310,57600,116300,21121,2221
2221,4,13,116305,2221,11100,18,18,181,161766,175311,50400,116307,11111,2221
2221,6,7,116308,2221,2100,18,18,158,161764,175312,72000,116302,1121,2221
2221,10,8,116310,2221,1122,18,17,430,161766,175313,61200,116311,11012,2221
2221,11,3,116312,2221,12211,18,18,153,161766,175314,63000,116306,11201,2221
2221,1,12,131477,2221,22122,17,18,32,161765,175315,68400,116309,11000,2221
2012,8,3,112540,2012,0,22,22,195,161771,176022,43200,131531,0,2012
2012,16,4,116360,2012,0,22,22,32,161771,176023,48900,111769,0,2012
2012,2,11,111779,2012,0,22,22,195,161771,176024,48900,111768,0,2012
2012,5,1,110955,2012,0,22,22,195,161771,176025,50400,111724,0,2012
2012,15,13,114628,2012,0,22,22,195,161772,176026,46800,131173,0,2012
2012,7,10,131488,2012,0,22,22,193,161772,176027,48900,112163,0,2012
2012,14,9,132305,2012,0,22,22,195,161773,176028,46800,131487,0,2012
2012,12,6,111774,2012,0,22,22,195,161773,176029,50400,116361,0,2012
1,1,4,269,1,20212,7,7,176,161772,176360,54000,819,2200,1
1,2,8,1788,1,11222,7,7,178,161773,176361,57600,1516,22,1
1,12,6,15006,1,20000,7,7,34,161774,176362,68400,822,1220,1
1,10,5,1447,1,20000,7,7,34,161771,176363,68400,1786,20022,1
1,9,11,270,1,2010,7,7,228,161773,176364,64800,272,2200,1
1,3,7,1443,1,12222,7,7,228,161773,176365,50400,271,22002,1
13,10,3,1,13,210,3,3,156,161772,176480,45000,14,220,13
13,11,7,1943,13,102,3,3,348,161772,176481,54000,1808,22,13
13,1,14,1796,13,222,3,3,336,161773,176482,50400,9,20,13
13,6,8,1799,13,202,3,3,330,161772,176483,54000,106,112,13
13,19,5,7,13,100,3,3,492,161772,176484,54000,2,22,13
13,12,18,144,13,201,3,3,328,161772,176485,54000,8,110,13
13,9,13,10,13,12,3,3,246,161773,176486,59400,11,200,13
13,20,17,13,13,0,3,3,100,161772,176487,54000,110,101,13
13,4,16,19,13,220,3,3,355,161772,176488,63000,18,2,13
13,2,15,1925,13,122,3,3,450,161772,176489,72000,5,20,13
14,12,16,89,14,2020,4,4,26,161772,176878,45000,97,2100,14
14,11,5,1800,14,202,4,4,497,161772,176879,54000,1792,1221,14
14,24,20,94,14,0,4,4,350,161771,176880,72000,1794,1101,14
14,4,22,1951,14,2022,4,4,228,161772,176881,45000,95,1,14
14,1,9,1801,14,2222,4,4,180,161772,176882,45000,12,1220,14
14,6,23,1807,14,2112,4,4,180,161772,176883,54000,1919,10,14
