overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
-1,79,79,80,81,81,78,2,79,80
1,80,81,80,79,82,81,5,80,83
1,84,85,84,83,85,85,9,83,85
-1,81,78,79,79,79,78,14,78,78
-1,80,80,81,79,80,80,18,79,79
1,82,84,83,89,85,82,21,91,86
1,78,82,81,87,79,79,22,89,80
-1,77,74,75,73,74,75,25,70,71
2,71,75,73,73,74,72,31,77,74
1,74,75,74,74,75,75,64,75,76
1,75,77,76,79,76,75,65,79,78
1,76,77,76,77,75,77,66,77,76
-1,75,75,76,76,77,74,110,77,76
-1,77,76,77,77,76,76,144,77,76
-1,76,76,77,78,77,75,175,78,76
-1,77,78,79,80,78,76,219,80,77
-1,76,78,79,77,80,76,237,77,79
1,73,76,75,74,77,75,246,74,79
-2,76,75,77,76,78,74,247,74,77
1,78,80,79,84,80,79,325,85,80
-1,75,75,76,75,77,74,327,74,76
-1,76,77,78,82,78,75,457,82,78
1,76,77,76,77,76,77,461,77,77
1,76,77,76,77,77,76,479,76,77
-1,70,75,76,77,75,68,1745,75,74
-1,75,74,75,74,74,74,1796,74,74
1,79,79,78,77,77,81,1799,78,78
-2,75,73,75,72,74,74,1831,72,73
-1,75,74,75,75,75,74,1860,75,75
1,76,77,76,76,75,78,1876,76,76
1,71,76,75,76,75,73,1877,75,76
-1,76,76,77,82,77,75,1925,82,76
2,73,75,73,75,72,75,2014,76,73
-1,76,74,75,75,73,75,100409,75,73
-1,74,73,74,76,74,73,101085,74,73
-1,71,73,74,77,74,69,111974,76,73
1,80,80,79,78,76,81,112172,78,77
1,77,80,79,79,77,78,115841,81,79
1,75,77,76,79,74,76,116300,79,73
-1,76,78,79,79,76,75,116304,78,76
-1,77,77,78,81,77,76,116307,81,76
1,74,76,75,74,75,74,116308,74,76
1,75,79,78,81,78,75,116310,82,78
1,75,76,75,76,75,75,116311,77,75
1,84,86,85,85,87,85,116325,87,88
-1,80,81,82,83,82,79,116326,83,82
1,78,79,78,77,79,78,116327,78,80
-1,75,73,74,83,73,74,131477,83,73
1,78,81,80,81,80,79,131681,82,80
-1,83,83,84,86,84,82,131682,86,83
