overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
3,90,87,1,220901
1,90,89,1,232580
1,89,88,1,243715
-2,85,87,1,246669
-2,82,84,2,260247
1,89,88,5,256079
-1,84,85,9,239837
1,90,89,10,230621
1,92,91,10,239085
-2,83,85,10,240638
-2,82,84,10,251570
-2,86,88,11,212198
-1,89,90,21,202126
1,90,89,21,212622
2,91,89,21,247827
-3,82,85,32,234236
3,88,85,52,211110
-2,82,84,73,264652
-1,87,88,240,200389
1,91,90,241,251854
1,91,90,243,192119
-1,83,84,243,205452
-1,84,85,243,231281
-1,88,89,243,238794
-1,83,84,243,241637
-2,87,89,243,252371
3,89,86,325,232293
3,89,86,112893,158023
-2,82,84,112996,200104
2,88,86,115995,243404
-2,82,84,115998,240717
-1,84,85,116009,245872
2,91,89,116009,258980
2,88,86,116010,227125
-2,85,87,116010,227246
3,88,85,116010,265249
-1,83,84,116012,227013
-1,84,85,116012,263011
2,88,86,116017,245830
-1,87,88,116033,246272
2,89,87,116034,233662
1,89,88,116325,227190
-2,89,91,116325,227203
2,91,89,116325,237289
2,89,87,116325,262531
3,88,85,116326,273153
-1,86,87,131681,215698
-2,82,84,131681,241721
1,89,88,131682,224232
2,90,88,131682,231478
