overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
2,79,82,80,82,82,80,11,83,83
-1,80,80,81,79,84,79,13,78,83
1,80,81,80,79,80,81,18,79,80
1,77,78,77,76,78,77,19,76,79
1,80,82,81,78,81,82,48,80,82
1,71,74,73,72,73,72,50,73,74
1,80,81,80,80,80,81,52,81,80
-1,73,72,73,73,73,72,55,73,72
1,78,78,77,76,78,78,106,75,79
1,78,79,78,78,78,79,144,78,79
-1,81,81,82,84,82,80,240,84,80
1,70,72,71,71,71,71,347,72,72
-1,79,79,80,79,81,78,448,79,80
1,77,77,76,79,75,77,450,78,76
-1,76,77,78,83,78,76,457,83,77
-1,77,76,77,78,77,76,479,78,76
-1,77,76,77,81,77,76,480,81,77
1,77,80,79,80,80,78,483,82,81
2,67,71,69,71,69,68,573,72,71
1,68,71,70,71,70,70,687,72,72
-1,67,69,70,76,69,66,693,76,69
-1,67,67,68,71,68,66,694,71,68
1,75,78,77,77,77,75,1745,79,79
-1,78,77,78,80,79,77,1808,78,78
2,73,75,73,72,72,75,1842,74,74
-1,68,67,68,68,68,68,1854,67,68
1,72,73,72,72,72,72,1861,71,73
-1,68,68,69,70,69,67,1867,71,68
-1,67,67,68,68,68,66,1968,69,68
1,67,72,71,73,73,68,101112,75,74
-1,76,76,77,76,77,76,110062,76,76
-1,73,72,73,74,72,72,110827,74,71
-2,72,71,73,74,71,70,111434,72,70
1,71,75,74,76,76,71,112391,77,79
-2,68,67,69,68,70,65,112606,67,70
-1,66,68,69,72,70,65,112828,71,69
-1,69,71,72,80,72,67,112893,83,71
2,70,73,71,77,71,72,112996,78,73
-2,67,67,69,69,68,65,114161,69,67
1,68,72,71,68,72,68,114640,72,74
1,86,86,85,87,83,86,116325,88,83
-1,78,77,78,78,76,77,116327,77,76
1,73,74,73,71,75,74,116332,72,75
-1,68,69,70,69,69,67,116333,68,68
-1,71,70,71,73,73,69,116334,72,72
2,74,77,75,74,76,77,116336,77,78
1,73,75,74,77,74,73,131125,77,75
-1,78,80,81,82,82,76,131681,81,81
-1,68,71,72,75,70,67,131720,74,70
1,70,72,71,71,72,70,131733,70,73
