overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-1,84,85,5,239231
-1,84,85,5,247090
-2,86,88,5,256079
-1,87,88,9,203376
-2,84,86,9,236772
-1,84,85,9,237678
-2,84,86,9,239837
-1,86,87,9,256630
1,91,90,21,202126
2,91,89,21,212622
2,90,88,21,247827
-2,82,84,45,222077
-2,84,86,45,239580
2,89,87,48,192985
1,89,88,73,252145
1,91,90,73,255253
-2,84,86,241,188545
-2,82,84,241,241461
3,89,86,241,259532
-1,88,89,241,277643
-1,83,84,243,204963
2,91,89,243,238794
3,89,86,112893,158023
3,88,85,116009,227110
-2,82,84,116009,227119
-2,82,84,116009,239761
-1,85,86,116009,257001
2,91,89,116009,258980
2,89,87,116009,265239
2,88,86,116010,227125
-2,85,87,116010,227246
-3,82,85,116010,263009
3,88,85,116010,265249
-1,83,84,116010,267382
-1,84,85,116012,244302
3,89,86,116017,233746
3,89,86,116017,245830
1,88,87,116017,257008
3,90,87,116034,233662
3,88,85,116035,245697
1,89,88,116325,227190
1,92,91,116325,227203
1,90,89,116325,237289
3,89,86,116325,253436
3,87,84,131681,177003
2,89,87,131681,215698
-1,85,86,131682,177683
-2,84,86,131682,226268
-3,82,85,131682,228093
-2,82,84,131682,233096
