artificialkey,adsponserid,teamid,isapproved,dynamicimageid
1,38,111235,1,0
2,38,111235,1,0
3,38,111235,1,0
4,38,111235,1,0
5,38,111235,1,0
6,38,111235,1,0
7,38,111235,1,0
8,38,111235,1,0
9,38,111235,1,0
10,38,111235,1,0
11,38,31,1,0
12,38,31,1,0
13,38,31,1,0
14,38,31,1,0
15,38,31,1,0
16,38,31,1,0
17,38,31,1,0
18,38,31,1,0
19,38,31,1,0
20,38,31,1,0
21,38,171,1,0
22,38,171,1,0
23,38,171,1,0
24,38,171,1,0
25,38,171,1,0
26,38,171,1,0
27,38,171,1,0
28,38,171,1,0
29,38,171,1,0
30,38,171,1,0
31,38,1831,1,0
32,38,1831,1,0
33,38,1831,1,0
34,38,1831,1,0
35,38,1831,1,0
36,38,1831,1,0
37,38,1831,1,0
38,38,1831,1,0
39,38,1831,1,0
40,38,1831,1,0
41,38,169,1,0
42,38,169,1,0
43,38,169,1,0
44,38,169,1,0
45,38,169,1,0
46,38,169,1,0
47,38,169,1,0
48,38,169,1,0
49,38,169,1,0
50,38,169,1,0
51,38,1,1,0
52,38,1,1,0
53,38,1,1,0
54,38,1,1,0
55,38,1,1,0
56,38,1,1,0
57,38,1,1,0
58,38,1,1,0
59,38,1,1,0
60,38,1,1,0
61,38,2,1,0
62,38,2,1,0
63,38,2,1,0
64,38,2,1,0
65,38,2,1,0
66,38,2,1,0
67,38,2,1,0
68,38,2,1,0
69,38,2,1,0
70,38,2,1,0
71,38,32,1,0
72,38,32,1,0
73,38,32,1,0
74,38,32,1,0
75,38,32,1,0
76,38,32,1,0
77,38,32,1,0
78,38,32,1,0
79,38,32,1,0
80,38,32,1,0
81,38,22,1,0
82,38,22,1,0
83,38,22,1,0
84,38,22,1,0
85,38,22,1,0
86,38,22,1,0
87,38,22,1,0
88,38,22,1,0
89,38,22,1,0
90,38,22,1,0
91,38,23,1,0
92,38,23,1,0
93,38,23,1,0
94,38,23,1,0
95,38,23,1,0
96,38,23,1,0
97,38,23,1,0
