competitionid,hometeamid,matchupid,homepotid,awayteamid
223,45,1,1,247
224,1906,1,1,700
226,101014,1,1,254
227,116282,1,1,131359
223,900,2,2,18
224,918,2,2,236
226,1887,2,2,263
227,116325,2,0,116017
223,21,3,0,211
224,101047,3,2,115841
226,111235,3,1,271
227,131360,3,2,131363
223,131681,4,1,9
224,1516,4,2,10029
226,1750,4,3,898
227,115995,4,0,115998
223,237,5,2,65
224,325,5,2,393
226,433,5,2,873
227,131362,5,2,116034
223,243,6,0,36
224,114385,6,2,266
226,310,6,5,80
227,116009,6,0,116033
223,189,7,3,101059
224,11,7,0,1908
226,461,7,5,897
227,131361,7,2,131125
223,267,8,3,191
224,72,8,3,457
226,1871,8,1,449
227,116326,8,0,131358
223,78,9,2,1809
224,229,9,3,1874
226,417,9,1,563
227,116010,9,0,116280
223,231,10,1,22
224,326,10,1,2014
226,71,10,2,298
227,116033,10,0,131359
223,10,11,0,131682
224,320,11,2,86
226,110374,11,0,230
227,116282,11,1,116017
223,73,12,0,110062
224,245,12,0,327
226,5,12,0,674
227,116325,12,0,131360
223,1799,13,2,234
224,1824,13,0,110468
226,819,13,0,110745
227,116034,13,1,131363
223,246,14,2,32
224,100761,14,3,269
226,10032,14,3,100325
227,131361,14,2,115998
223,115845,15,1,1
224,66,15,1,280
226,77,15,4,10020
227,115995,15,0,116010
223,240,16,1,112172
224,52,16,0,448
226,101037,16,4,1884
227,131362,16,2,116009
223,378,17,3,209
224,1896,17,1,896
226,252,17,0,710
227,131125,17,1,116326
223,69,18,3,241
224,2,18,0,113888
226,306,18,3,100135
227,116280,18,1,131358
223,191,19,2,378
224,1874,19,1,2
226,100135,19,1,101037
227,116033,19,0,116325
223,36,20,3,267
224,115841,20,0,72
226,710,20,1,1887
227,131358,20,1,131125
223,241,21,0,900
224,896,21,1,1516
226,898,21,4,110374
227,116280,21,1,131362
223,32,22,1,131681
224,280,22,1,1896
226,80,22,3,71
227,131360,22,2,116282
223,22,23,0,78
224,113888,23,2,320
226,110745,23,4,77
227,131359,23,2,116017
223,131682,24,0,1799
224,457,24,1,229
226,674,24,0,417
227,115998,24,2,116326
223,247,25,2,237
224,269,25,3,325
226,563,25,5,306
227,116009,25,0,131363
223,1809,26,3,10
224,266,26,0,245
226,263,26,5,101014
227,116034,26,1,116010
223,1,27,1,73
224,10029,27,3,101047
226,1884,27,4,5
227,131361,27,2,115995
223,110062,28,3,246
224,448,28,3,1906
226,254,28,2,461
227,131359,28,2,116325
223,101059,29,1,115845
224,327,29,3,1824
226,897,29,3,10032
227,116033,29,0,116282
223,18,30,3,21
224,700,30,3,52
226,873,30,4,1871
227,131363,30,2,116280
223,234,31,1,240
224,236,31,0,11
226,100325,31,2,310
227,115995,31,0,131125
223,211,32,2,69
224,1908,32,3,326
226,271,32,2,252
227,116017,32,1,131360
223,65,33,2,243
224,393,33,1,100761
226,10020,33,5,111235
227,116010,33,0,116326
223,9,34,0,189
224,86,34,0,66
226,449,34,0,819
227,115998,34,2,131358
223,112172,35,0,45
224,2014,35,2,918
226,230,35,3,433
227,116009,35,0,116034
223,209,36,3,231
224,110468,36,2,114385
226,298,36,5,1750
227,131362,36,2,131361
223,131681,37,1,231
224,325,37,2,700
226,77,37,4,254
227,116017,37,1,116033
223,69,38,3,1799
224,1896,38,1,918
226,873,38,4,10032
227,131359,38,2,131360
223,18,39,3,189
224,1824,39,0,269
226,100325,39,2,271
227,115998,39,2,131362
223,110062,40,3,1809
224,1516,40,2,2014
226,674,40,0,71
227,116325,40,0,116009
223,45,41,1,36
224,1874,41,1,72
226,1871,41,1,310
