starrating,firstname,commonname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,managerid,accessorycode4,hairtypecode,facepsdlayer0,lipcolor,skinsurfacepack,accessorycode3,accessorycolourcode1,headtypecode,height,seasonaloutfitid,birthdate,isrewardable,skinmakeup,trait1vweak,weight,hashighqualityhead,eyedetail,gender,headassetid,ethnicity,faceposerpreset,islicensed,teamid,trait1vequal,eyecolorcode,personalityid,accessorycolourcode3,accessorycode1,headclasscode,nationality,sideburnscode,accessorycolourcode4,headvariation,skintonecode,outfitid,facepsdlayer1,skincomplexion,accessorycode2,hairstylecode,bodytypecode,managerjointeamdate,trait1vstrong,accessorycolourcode2,facialhaircolorcode
4.5,Mikel,Mikel Arteta,Arteta Amatriain,2150302,0,0,251,254782,0,160,1,0,232201,0,0,2521,175,5557,145895,0,0,131586,75,0,2,0,45119,4,0,1,1,180738,5,1,0,0,0,45,0,0,0,4,5566,4,4,0,0,81,159678,263170,0,0
4.5,Unai,Unai Emery,Emery Etxegoien,60000,0,0,0,237389,0,30,3,0,250101,0,0,2020,181,5509,142099,0,0,263296,75,1,2,0,237389,3,0,1,2,4251776,4,1,0,0,0,45,0,0,0,4,5586,0,3,0,0,81,160725,528512,0,0
3.0,,,,60101,0,3,45,45367,0,689,3,0,223101,0,0,3002,191,5558,145139,0,0,262672,83,0,2,0,26547,6,0,0,3,4227600,3,1,0,0,0,18,0,0,0,6,5718,3,6,0,0,85,161572,525328,0,6
2.0,,,,60101,0,9,246,265778,0,65,3,0,223101,0,0,42,183,5509,145139,0,0,131712,75,0,2,0,26543,2,0,0,4,131712,7,0,0,0,0,14,0,0,0,2,5713,2,2,0,0,82,161138,263296,0,0
4.0,Enzo,,Maresca,2150301,0,8,259,263428,0,0,3,0,242101,0,0,52,180,5511,145120,0,0,262793,75,1,3,0,263428,4,0,1,5,4244105,5,0,0,0,0,27,0,0,0,4,5520,2,4,0,0,82,160952,525449,0,8
4.0,David,,Moyes,30301,0,24,0,235732,0,648,3,0,223101,0,0,3516,185,5509,138985,0,0,4195400,79,1,0,0,235732,1,0,1,7,548936,8,0,0,0,0,42,0,0,0,3,5718,2,1,0,0,85,161527,528456,0,4
3.5,Daniel,,Farke,30301,0,5,251,249179,0,35,3,0,223101,0,0,1546,182,5509,143922,0,0,66177,75,1,0,0,249179,3,0,1,8,82561,4,0,0,0,0,21,0,0,0,4,5713,4,1,0,0,82,160970,132225,0,23
5.0,Arne,,Slot,60103,0,0,0,250808,0,0,3,0,242101,0,0,48,184,5509,144609,0,0,131712,75,1,2,0,250808,3,0,1,9,180864,4,0,0,0,0,34,0,0,0,2,5718,4,6,0,0,82,161303,263296,0,3
5.0,Josep,Pep Guardiola,Guardiola i Sala,60201,0,23,251,169894,0,0,3,0,242201,0,0,1526,180,5509,141810,0,0,131712,73,1,0,0,243712,2,0,1,10,164480,4,1,0,0,0,45,0,0,1,4,5718,4,2,0,0,82,158411,263296,0,8
4.0,Rúben Filipe,Rúben Amorim,Marques Amorim,2150401,0,0,245,254801,0,679,1,0,240201,0,0,1533,180,5509,146933,0,0,263316,75,1,2,0,138463,4,0,1,11,4202644,3,0,0,0,0,38,0,0,0,4,5707,2,4,0,0,82,161466,528532,0,0
3.0,,,,60101,0,6,0,102001,0,176,3,0,223101,0,0,2010,185,5509,145139,0,0,4194946,74,0,2,0,26541,2,0,0,12,557698,6,0,0,0,0,50,0,0,0,2,5566,0,2,0,0,84,161691,525442,0,5
4.5,Eddie,,Howe,1140401,0,1,287,232297,0,118,3,0,242101,0,0,2021,178,5511,144317,0,0,135296,75,1,2,0,232297,2,0,1,13,182400,2,0,0,0,0,14,0,0,0,3,5510,4,1,0,0,81,160367,264320,0,1
4.0,Nuno Herlander,Nuno Espírito Santo,Espírito Santo,2320101,0,23,40,250187,0,26,3,0,250101,0,0,507,188,5511,142913,0,0,266560,75,0,3,0,250187,5,0,1,14,4245824,9,0,0,0,0,38,0,0,0,7,5707,4,4,0,0,85,161139,526656,0,9
3.0,,,,1360000,0,3,287,249814,0,642,3,0,232001,0,0,2030,183,5555,145139,0,0,4202752,75,0,2,0,26541,2,0,0,15,577792,6,0,0,0,0,18,0,0,0,2,5504,0,2,0,0,81,161692,526592,0,0
3.5,,,,60101,0,7,0,260609,0,148,3,0,223101,0,0,2002,190,5511,145139,0,0,262784,75,0,2,0,26539,1,0,0,17,4244096,1,1,0,0,0,7,0,0,0,1,5506,4,1,0,0,85,161661,525440,0,7
4.0,Thomas,,Frank,240501,0,6,0,250581,0,69,3,0,250101,0,0,2004,182,5557,142805,0,0,66180,75,1,6,0,250581,2,0,1,18,82564,5,1,0,0,0,13,0,0,0,3,5707,0,4,0,0,81,161679,132228,0,22
3.5,Graham,,Potter,30301,0,5,58,156320,0,154,1,0,223101,0,0,1511,185,5511,143393,0,0,4195472,75,1,0,0,156320,2,0,1,19,565392,2,0,0,0,0,14,0,0,0,2,5505,4,1,0,0,84,161525,528528,0,19
4.0,Vincent,,Kompany,2150000,0,0,247,251204,0,3011,0,0,223101,0,0,1001,190,5509,147371,0,0,131716,75,1,2,0,139720,6,0,1,21,180868,9,0,0,0,0,7,0,0,1,6,5520,4,6,0,0,5,160585,263300,0,0
4.5,,,,40301,0,23,243,3800,0,57,3,0,233101,0,0,2002,178,5509,145139,0,0,131716,72,0,6,0,26541,2,0,0,22,164484,6,0,0,0,0,10,0,0,0,2,5717,0,2,0,0,82,160602,263300,0,23
3.5,,,,2190101,0,3,287,138420,0,35,3,0,232001,0,0,2512,186,5541,145139,0,0,263170,83,0,0,0,26541,3,0,0,23,4218882,6,0,0,0,0,47,0,0,0,3,5507,0,1,0,0,85,160237,528386,0,6
3.5,,,,60101,0,19,259,73498,0,114,3,0,223101,0,0,48,189,5557,145139,0,0,262658,75,0,2,0,26541,3,0,0,25,4194818,6,0,0,0,0,21,0,0,0,3,5707,0,3,0,0,84,161333,525314,0,0
1.5,Daniel,,Brinkmann,2150301,0,5,255,75593,0,655,0,0,234101,0,0,3,193,5510,147300,0,0,270592,75,0,2,0,75593,2,0,1,27,4215040,5,1,0,0,1,21,0,0,0,2,5707,0,1,0,0,85,161457,526592,0,3
3.0,,,,60101,0,6,35,71014,0,667,3,0,223101,0,0,4005,182,5511,145139,0,0,139265,75,0,2,0,26543,3,0,0,28,184321,7,0,0,0,0,21,0,0,0,3,5520,2,3,0,0,82,161193,264193,0,6
2.5,,,,2310101,0,6,246,169229,0,0,3,0,232001,0,0,3513,174,5521,145139,0,0,131585,68,0,0,0,26538,3,0,0,29,180737,2,1,0,0,0,21,0,0,0,3,5552,4,1,0,0,88,161628,263169,0,6
3.0,,,,2330101,0,2,255,249957,0,186,3,0,232001,0,0,2515,178,5552,145139,0,0,262784,75,0,0,0,26541,3,0,0,31,4194944,6,1,0,0,0,21,0,0,0,3,5522,0,1,0,0,82,160237,525440,0,3
4.0,,,,1140401,0,9,58,249329,0,0,3,0,250101,0,0,4008,182,5509,145139,0,0,262656,75,0,2,0,26538,3,0,0,32,4227584,2,0,0,0,0,34,0,0,0,3,5507,4,1,0,0,81,161698,525312,0,3
1.5,Patrick,,Glöckner,2090201,0,22,259,253443,0,57,0,0,232201,0,0,2031,185,5527,143941,0,0,263184,75,0,2,0,253443,4,0,1,33,4202512,2,0,0,0,1,21,0,0,0,4,5566,0,4,0,0,85,160731,528400,0,8
2.5,,,,60201,0,23,40,260437,0,172,3,0,242101,0,0,1546,184,5528,145139,0,0,263169,75,0,2,0,26543,4,0,0,34,4202497,7,1,0,0,0,4,0,0,0,4,5718,2,4,0,0,82,161667,528385,0,23
4.5,,,,2080000,0,5,251,251527,0,3011,1,0,232001,0,0,34,178,5527,145139,0,0,131585,75,0,0,0,26540,3,0,0,36,164353,1,0,0,0,0,21,0,0,0,3,5728,0,4,0,0,82,160878,263169,0,23
2.5,,,,240101,0,8,0,249571,0,234,3,0,232001,0,0,4011,182,5527,145139,0,0,263296,75,0,0,0,26542,3,0,0,38,4202624,3,1,0,0,0,21,0,0,0,3,5728,4,3,0,0,82,159261,528512,0,5
3.5,Igor,,Tudor,2190101,0,9,289,6007,0,25,0,0,232001,0,0,3513,193,5527,144455,0,0,262720,90,0,0,0,6007,4,0,1,45,4244032,3,0,0,0,1,10,0,0,0,4,5522,0,1,0,0,85,161598,525376,0,9
4.5,Antonio,,Conte,2010000,0,19,0,1067,0,125,0,0,252001,0,0,1502,178,5509,141274,0,0,262788,73,1,2,0,1067,4,0,1,48,4194948,2,1,0,0,0,27,0,0,0,3,5713,4,4,0,0,82,161333,525444,0,3
2.0,Carlos,,Cuesta,30301,0,19,16,79171,0,289,0,0,223101,0,0,1547,180,5555,150768,0,0,263176,75,0,0,0,79171,4,0,1,50,4235272,4,0,0,0,1,45,0,0,0,4,5551,0,1,0,0,82,161698,528392,0,6
4.0,,,,2150101,0,24,0,249472,0,104,3,0,232001,0,0,3501,177,5509,145139,0,0,131652,75,0,0,0,26542,3,0,0,52,164420,3,1,0,0,0,27,0,0,0,3,5514,4,3,0,0,82,161698,263236,0,0
3.0,Marco,,Baroni,2320101,0,8,38,249993,0,641,0,0,253101,0,0,3509,185,5532,139124,0,0,4195336,75,0,2,0,249993,2,0,1,54,548872,9,0,0,0,1,27,0,0,0,2,5566,0,2,0,0,85,161698,528392,0,8
3.0,Kosta,,Runjaić,1130401,0,9,287,249867,0,177,0,0,244101,0,0,30,177,5509,141947,0,0,263176,75,0,2,0,249867,2,0,1,55,4218888,2,0,0,0,1,21,0,0,0,2,5567,0,2,0,0,83,161333,528392,0,0
3.0,,,,2150101,0,9,0,249132,0,105,1,0,232001,0,0,3513,176,5509,145139,0,0,4195457,75,0,0,0,26540,2,0,0,57,532609,1,0,0,0,0,18,0,0,0,2,5523,0,1,0,0,82,160719,528513,0,0
2.5,,,,60101,0,24,30,72676,0,147,3,0,223101,0,0,41,183,5511,145139,0,0,4195392,75,0,2,0,26537,2,0,0,58,532544,1,0,0,0,0,18,0,0,0,2,5707,0,2,0,0,82,161307,528448,0,24
3.0,,,,2320101,0,23,253,250556,0,198,1,0,232001,0,0,17,176,5509,145139,0,0,262658,75,0,0,0,26540,2,0,0,62,4227586,1,0,0,0,0,18,0,0,0,2,5718,0,3,0,0,81,161300,525314,0,23
3.5,,,,60101,0,21,259,279795,0,148,3,0,223101,0,0,57,178,5527,145139,0,0,66688,75,0,2,0,26543,2,0,0,64,123008,7,0,0,0,0,18,0,0,0,2,5520,2,2,0,0,82,161669,135296,0,0
3.5,,,,40101,0,8,16,249073,0,230,3,0,232001,0,0,3510,172,5511,145139,0,0,131592,75,0,0,0,26539,1,0,0,65,164360,1,0,0,0,0,18,0,0,0,1,5520,4,1,0,0,88,161307,263176,0,8
3.5,,,,60101,0,22,287,250262,0,667,3,0,223101,0,0,25,188,5509,145139,0,0,131586,75,0,2,0,26543,4,0,0,66,164354,7,1,0,0,0,38,0,0,0,4,5514,2,4,0,0,84,161547,263170,0,22
2.5,,,,60101,0,23,0,276105,0,26,3,0,223101,0,0,2507,183,5509,145139,0,0,131712,75,0,2,0,26544,2,0,0,68,148096,9,0,0,0,0,18,0,0,0,2,5567,4,2,0,0,81,161336,263296,0,23
4.0,,,,240000,0,8,243,248898,0,150,3,0,232001,0,0,2504,184,5509,145139,0,0,131718,75,0,0,0,26544,2,0,0,69,180870,9,0,0,0,0,4,0,0,0,2,5566,4,4,0,0,82,160970,263302,0,8
2.0,,,,30301,0,0,27,78107,0,0,4,0,223101,0,0,1024,182,5511,145139,0,0,263168,75,0,0,0,26545,9,0,0,70,4202496,9,0,0,0,0,18,0,0,0,9,5707,1,1,0,0,81,161614,528384,0,22
2.5,,,,60101,0,9,0,73139,0,687,1,0,223101,0,0,2505,175,5532,145139,0,0,270593,75,0,2,0,26540,3,0,0,71,4247809,1,0,0,0,0,38,0,0,0,3,5718,0,3,0,0,81,161686,526593,0,0
3.5,,,,2320101,0,23,251,116880,0,150,3,0,232001,0,0,58,179,5509,145139,0,0,263306,76,0,2,0,26543,2,0,0,72,4251786,7,0,0,0,0,18,0,0,0,2,5569,2,1,0,0,82,161308,528522,0,9
5.0,Luis Enrique,Luis Enrique,Martínez García,1140000,1,8,259,249948,0,150,3,0,252001,0,0,47,180,5509,141555,0,0,66180,75,1,2,0,249948,3,0,1,73,98948,6,1,0,0,0,45,0,0,0,3,5567,4,6,0,0,81,160971,132228,0,8
3.0,,,,60101,0,22,245,72146,0,241,4,0,220101,0,0,1013,182,5557,145139,0,0,262660,75,0,2,0,26545,7,0,0,74,4227588,9,0,0,0,0,136,0,0,0,7,5713,1,6,0,0,82,161546,525316,0,23
3.0,,,,2080101,0,0,243,270334,0,239,4,0,232001,0,0,1031,178,5529,145139,0,0,132098,75,0,0,0,26545,6,0,0,76,155650,9,0,0,0,0,14,0,0,0,6,5718,1,1,0,0,81,161357,266242,0,0
3.0,Jimmy,,Thelin,1140101,0,8,30,249671,0,57,0,0,232001,0,0,68,180,5557,144422,0,0,263424,75,0,2,0,249671,1,0,1,77,4251904,2,0,0,0,1,46,0,0,0,1,5718,0,1,0,0,82,161257,528640,0,18
3.5,Brendan,,Rodgers,80103,0,5,0,249063,0,150,3,0,252001,0,0,2515,170,5535,142549,0,0,131732,75,1,2,0,249063,2,0,1,78,164500,7,0,0,0,0,35,0,0,0,3,5514,2,4,0,0,88,160955,263316,0,5
1.5,John,,McGlynn,30301,0,24,0,78918,0,0,0,0,223101,0,1,2,180,5511,138493,0,0,263168,75,0,0,0,78918,1,0,1,79,4202496,9,0,0,300,1,42,0,0,0,1,5510,0,1,0,0,82,160544,528384,0,15
3.0,Derek,,McInnes,2310101,0,9,252,51495,0,1106,0,0,252102,0,0,1526,170,5509,141978,0,0,262804,65,0,2,0,51495,3,0,1,80,4211348,6,0,0,0,1,42,0,0,0,3,5508,0,4,0,0,88,161655,525460,0,9
2.5,David,,Gray,60201,0,3,243,268731,0,0,0,0,242101,0,0,1,180,5509,148126,0,0,263188,75,0,2,0,268731,2,0,1,81,4251668,1,0,0,0,1,42,0,0,0,2,5725,0,2,0,0,82,161308,528404,0,18
2.0,Stuart,,Kettlewell,2150101,0,23,30,208673,0,292,0,0,234101,0,0,4014,183,5506,146696,0,0,263496,70,0,2,0,208673,3,0,1,82,4219208,2,0,0,0,1,42,0,0,0,3,5506,0,1,0,0,82,161662,528712,0,23
1.5,Jens Berthel,,Askou,2190101,0,1,287,249660,0,0,0,0,240201,0,0,2027,190,5527,146041,0,0,4195400,75,0,2,0,249660,1,0,1,83,548936,1,1,0,0,1,13,0,0,0,1,5707,0,1,0,0,85,161679,528456,0,1
3.5,Russell,,Martin,60000,0,0,289,254124,0,1093,4,0,232101,0,0,1550,185,5557,147275,0,0,66176,75,0,2,0,162886,2,0,1,86,115328,5,0,0,0,0,42,0,0,0,1,5713,4,1,0,0,85,161672,132224,0,0
2.5,,,,60101,0,19,0,73491,0,681,3,0,223101,0,0,25,177,5511,145139,0,0,132232,75,0,2,0,26541,1,0,0,88,139400,6,0,0,0,0,14,0,0,0,1,5510,0,1,0,0,82,161308,266376,0,3
2.5,,,,2320101,0,5,243,53853,0,40,3,0,232001,0,0,3500,170,5509,145139,0,0,262721,69,0,0,0,26541,2,0,0,89,4211265,6,1,0,0,0,50,0,0,0,2,5520,0,3,0,0,88,161185,525377,0,8
3.0,,,,60101,0,5,259,53686,0,114,3,0,223101,0,0,3505,183,5510,145139,0,0,131665,84,0,2,0,26541,2,0,0,91,148049,6,0,0,0,0,14,0,0,0,2,5510,0,2,0,0,83,161560,263249,0,23
1.0,,,,2120000,0,9,243,100707,0,294,3,0,232001,0,0,15,191,5509,145139,0,0,139328,82,0,0,0,26541,2,0,0,92,151616,6,0,0,0,0,205,0,0,0,2,5522,0,3,0,0,85,161116,264256,0,8
3.5,,,,60201,6,8,246,266184,0,190,3,0,242102,0,0,47,185,5509,145139,0,0,4202626,71,0,2,0,26541,1,0,0,94,544898,6,0,0,0,0,35,0,0,0,1,5552,0,1,0,0,85,160405,526466,0,9
2.5,,,,30301,0,0,0,63001,0,16,3,0,223101,0,0,1,180,5500,145139,0,0,4202496,75,0,0,0,26537,2,0,0,95,577536,1,1,0,0,0,14,0,0,0,2,5500,0,1,0,0,86,161517,526336,0,0
3.0,,,,30301,0,24,0,2629,0,26,3,0,223101,0,0,3510,170,5527,145139,0,0,4195400,70,0,0,0,26538,2,0,0,97,548936,2,0,0,0,0,42,0,0,0,2,5520,4,1,0,0,88,161515,528456,0,5
3.5,Régis,,Le Bris,60101,0,22,0,270696,0,72,0,0,223101,0,0,1510,180,5511,143593,0,0,262720,75,0,2,0,270696,2,0,1,106,4227648,3,0,0,0,1,18,0,0,0,2,5566,0,2,0,0,82,161324,525376,0,6
2.5,,,,60101,0,3,287,261949,0,162,3,0,223101,0,0,3513,175,5511,145139,0,0,4195352,75,0,2,0,26541,1,0,0,109,548888,6,0,0,0,0,14,0,0,0,1,5510,0,1,0,0,81,161669,528408,0,3
4.0,Vitor Manuel,Vitor Pereira,Lopes Pereira,2120000,0,9,45,250665,0,65,0,0,244101,0,0,1506,175,5511,140904,0,0,4195336,75,0,2,0,250665,4,0,1,110,565256,3,1,0,0,1,38,0,0,0,4,5510,0,4,0,0,82,161504,528392,0,23
2.5,,,,30301,0,0,0,268328,0,16,3,0,223101,0,0,1,180,5511,145139,0,0,0,75,0,0,0,26537,2,0,0,111,0,1,0,0,0,0,70,0,0,0,2,5570,0,1,0,0,83,161517,0,0,0
2.5,,,,30301,0,0,0,268329,0,16,3,0,223101,0,0,1,180,5529,145139,0,0,0,75,0,0,0,26537,2,0,0,112,0,1,0,0,0,0,95,0,0,0,2,5502,0,1,0,0,83,161517,0,0,0
1.0,,,,60101,0,3,259,272649,0,693,3,0,223101,0,0,2009,178,5511,145139,0,0,4195330,75,0,2,0,26541,2,0,0,121,548866,6,0,0,0,0,14,0,0,0,2,5510,0,1,0,0,81,160728,528386,0,3
1.5,,,,60101,0,8,251,250077,0,0,3,0,223101,0,0,51,175,5511,145139,0,0,4202496,75,0,2,0,26538,1,0,0,127,544768,2,0,0,0,0,14,0,0,0,1,5566,4,2,0,0,83,161601,526336,0,9
0.5,,,,30301,0,23,47,78417,0,160,3,0,223101,0,1,11,175,5511,145139,0,0,262736,75,0,0,0,26541,2,0,0,135,4211280,6,0,0,300,0,25,0,0,0,2,5707,0,1,0,0,83,160468,525392,0,23
1.5,,,,2150101,0,8,254,249499,0,289,3,0,232001,0,0,3500,178,5511,145139,0,0,263306,75,0,0,0,26539,2,0,0,142,4202634,1,0,0,0,0,35,0,0,0,2,5707,4,4,0,0,82,160917,528522,0,9
