overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
2,91,89,1,232580
-2,84,86,1,241651
1,88,87,1,246669
-2,83,85,2,202811
2,87,85,5,247090
2,88,86,5,257534
-1,87,88,9,203376
1,90,89,9,209331
-1,87,88,9,212831
-1,84,85,9,237678
-2,84,86,9,246104
-2,83,85,9,257289
-2,87,89,10,230621
2,91,89,10,231866
-1,90,91,10,239085
-2,85,87,10,239818
-1,84,85,11,243014
2,87,85,13,241096
1,90,89,21,212622
1,87,86,21,229558
2,89,87,21,241084
1,89,88,21,256790
2,87,85,22,215441
2,88,86,22,247819
2,87,85,32,210035
-2,84,86,45,239580
-2,82,84,52,229582
-2,87,89,73,235212
-2,85,87,73,247635
-2,88,90,73,255253
-2,85,87,73,256196
-2,83,85,73,271421
-1,87,88,240,200389
-1,83,84,241,244260
1,91,90,241,251854
3,89,86,241,259532
2,91,89,241,277643
1,91,90,243,192119
-1,84,85,243,231281
2,90,88,243,239053
3,87,84,243,241637
2,87,85,605,165153
3,87,84,112387,204485
2,87,85,115845,252154
3,87,84,131681,177003
2,89,87,131681,215698
-1,83,84,131681,241721
-1,85,86,131682,177683
-2,86,88,131682,224232
-2,84,86,131682,226268
