overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
1,89,88,1,232580
-2,83,85,2,216393
1,91,90,9,203376
-2,85,87,9,239837
-1,88,89,9,256630
1,90,89,10,230621
-1,89,90,10,231866
2,92,90,10,239085
-1,85,86,10,240638
-2,83,85,11,243014
2,91,89,21,202126
1,90,89,21,212622
3,89,86,21,247827
2,89,87,48,192985
-1,85,86,52,211110
1,90,89,73,255253
-2,82,84,240,216549
2,90,88,241,188545
3,92,89,241,233419
3,92,89,241,251854
-1,84,85,243,204963
2,93,91,243,231747
-1,88,89,243,238794
-2,87,89,243,239053
-2,83,85,448,230869
-1,84,85,112139,20801
3,88,85,112139,204525
-2,82,84,115841,220502
-2,83,85,115997,261773
1,90,89,116009,237288
2,91,89,116009,258980
2,89,87,116010,227125
-2,85,87,116010,238257
-1,84,85,116010,261733
1,90,89,116017,246219
-1,86,87,116033,231432
2,89,87,116310,232075
-1,84,85,116312,232202
1,89,88,116325,227190
1,92,91,116325,227203
2,91,89,116325,237289
2,93,91,116325,241667
1,89,88,116325,241846
-1,83,84,116326,247789
-3,84,87,131682,177683
3,89,86,131682,208128
-1,86,87,131682,224232
-2,83,85,131682,226268
-1,87,88,131682,231478
-1,86,87,131682,237383
