overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,79,81,80,84,81,80,2,82,82
1,77,78,77,76,78,78,7,75,78
1,79,81,80,82,81,79,11,83,81
1,80,82,81,80,84,81,13,81,86
1,82,85,84,89,85,83,21,91,86
1,78,80,79,82,79,80,32,82,80
1,74,76,75,78,75,75,38,78,76
1,80,82,81,78,83,80,48,80,83
-1,76,75,76,74,75,75,66,76,75
-1,75,75,76,76,77,74,74,77,76
1,75,76,75,73,74,76,78,73,74
-1,74,74,75,77,76,73,169,74,73
-1,76,76,77,79,76,73,175,79,75
1,74,77,76,76,77,75,189,77,79
1,79,80,79,80,79,80,219,80,80
-1,77,77,78,77,79,77,234,74,79
-1,75,76,77,77,76,76,236,76,76
-1,83,84,85,85,85,82,241,84,85
1,83,86,85,88,86,83,243,89,87
-1,75,75,76,75,78,74,327,74,77
-1,76,76,77,78,76,76,479,77,76
-1,79,78,79,78,77,79,1799,77,77
-2,79,76,78,79,78,78,1824,78,75
-2,75,73,75,71,74,75,1831,69,73
-1,75,74,75,73,75,73,1860,73,75
-1,76,75,76,76,75,75,1876,75,75
1,72,76,75,76,75,76,1877,76,76
-1,76,76,77,76,77,76,1925,76,76
-1,76,76,77,79,75,74,110374,78,74
1,80,79,78,77,76,81,112172,77,77
-1,78,78,79,79,77,77,115841,79,78
1,79,80,79,79,79,80,115845,79,79
1,76,79,78,79,80,77,115997,80,81
2,75,81,79,82,78,76,115998,84,81
-3,81,81,84,85,86,78,116009,82,83
1,74,77,76,73,76,76,116011,75,77
-1,75,75,76,77,77,74,116013,76,76
-1,75,75,76,76,76,74,116014,74,76
1,78,78,77,78,76,79,116015,79,76
-1,76,76,77,71,79,75,116035,69,78
1,76,77,76,78,76,77,116036,76,77
1,71,78,77,74,77,71,116302,74,78
-1,75,74,75,73,75,73,116303,72,75
1,74,76,75,74,75,74,116308,76,76
1,76,79,78,78,78,78,116310,78,79
-1,74,74,75,76,73,73,116311,75,71
-1,75,76,77,74,78,74,116312,74,77
1,78,83,82,81,83,79,116326,82,84
-1,75,74,75,80,74,73,116336,81,73
1,78,81,80,81,80,80,131681,82,81
