overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,79,81,80,84,81,80,2,85,81
-1,79,79,80,82,81,77,11,81,80
1,81,82,81,87,80,82,22,87,81
-1,73,74,75,78,74,69,23,76,72
-1,78,78,79,82,79,77,32,81,78
-1,75,74,75,78,75,73,38,76,73
1,80,82,81,78,83,80,48,78,84
-1,81,79,80,78,79,80,52,77,79
-1,76,75,76,77,74,74,54,77,74
-2,77,76,78,77,79,75,69,75,78
-1,75,75,76,76,77,74,74,74,76
1,77,77,76,75,75,78,106,74,76
-1,76,76,77,79,76,75,175,78,76
1,75,78,77,75,76,77,236,76,78
1,82,83,82,85,81,82,240,86,83
-1,83,84,85,88,86,81,243,88,85
1,74,76,75,76,75,74,245,77,77
1,73,76,75,74,77,75,246,76,78
-1,78,79,80,78,82,78,448,76,81
-1,76,76,77,78,76,75,450,78,75
1,76,77,76,76,76,77,461,78,76
-2,76,75,77,78,76,74,479,76,75
-1,76,75,76,75,75,76,481,74,75
-1,75,74,75,72,75,73,1796,72,75
1,79,79,78,77,78,80,1799,77,78
1,78,79,78,79,78,78,1824,80,79
-1,75,74,75,73,75,74,1860,72,74
-1,76,75,76,76,75,75,1876,75,75
1,76,77,76,75,77,76,1925,79,78
-1,76,76,77,79,75,74,110374,78,74
1,80,79,78,76,77,81,112172,77,77
1,79,80,79,79,77,80,115841,81,78
1,82,84,83,86,83,83,115995,88,84
1,75,80,79,82,78,75,115998,83,79
1,84,85,84,82,84,85,116010,84,84
2,75,78,76,77,77,77,116013,78,79
-1,75,75,76,76,76,73,116014,76,75
-1,78,76,77,78,76,78,116015,78,75
1,84,85,84,86,84,84,116033,86,86
-1,79,79,80,79,81,78,116034,78,80
1,76,78,77,85,77,77,116035,88,78
1,76,77,76,77,76,77,116036,76,78
-1,74,75,76,79,72,74,116300,78,71
-1,77,75,76,71,75,76,116306,71,74
1,75,79,78,78,78,77,116310,77,79
1,84,86,85,84,90,85,116325,85,92
1,78,79,78,77,78,79,116327,78,80
-1,76,74,75,71,76,76,116328,69,75
1,78,81,80,81,80,80,131681,81,81
-1,80,78,79,76,78,80,132176,77,78
