overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-1,86,87,1,220901
-1,85,86,1,222665
-2,87,89,1,232580
-2,86,88,1,234378
-3,85,88,1,243715
-2,83,85,1,248148
3,88,85,2,202811
-1,88,89,9,203376
-1,88,89,9,212831
-2,84,86,9,239837
-1,87,88,9,256630
2,91,89,10,231866
-1,84,85,10,240638
-1,86,87,11,212198
-2,87,89,21,202126
-2,84,86,21,241084
-3,85,88,21,256790
2,88,86,22,235073
-2,83,85,48,237238
1,91,90,73,255253
2,90,88,240,200389
-1,86,87,241,188545
3,92,89,241,233419
3,92,89,241,277643
2,91,89,243,192119
2,93,91,243,231747
2,91,89,243,238794
2,90,88,243,239053
1,91,90,243,252371
3,88,85,607,215914
-1,84,85,110062,192448
2,91,89,116009,237288
3,90,87,116009,245802
3,88,85,116009,245872
2,91,89,116009,258980
2,89,87,116009,265239
-2,85,87,116010,227125
-1,86,87,116010,227323
-1,85,86,116012,244302
3,88,85,116017,233746
2,91,89,116017,246219
-1,86,87,116033,227310
2,89,87,116034,233662
2,92,90,116325,227102
1,90,89,116325,236479
-2,87,89,116325,237289
-2,84,86,116325,253436
-3,83,86,131682,177683
3,88,85,131682,226268
1,89,88,131682,231478
