overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
1,89,88,1,232580
-2,85,87,1,241651
2,90,88,1,246669
-1,84,85,2,202811
-2,88,90,9,203376
-1,90,91,9,209331
-2,86,88,9,233731
-1,85,86,9,237678
-2,85,87,9,239837
1,90,89,10,230621
1,91,90,10,239085
3,89,86,13,247851
2,91,89,21,202126
2,91,89,21,212622
2,89,87,21,213331
3,88,85,21,241084
3,90,87,48,192985
-2,83,85,48,237238
3,91,88,240,200389
-2,85,87,240,246191
-1,87,88,241,188545
-2,85,87,241,228702
-1,86,87,241,241486
-1,84,85,241,244260
-1,88,89,241,251854
2,93,91,243,231747
3,92,89,243,238794
1,90,89,243,239053
2,92,90,243,252371
-1,86,87,325,232293
-2,83,85,110374,193080
3,89,86,112893,158023
-1,83,84,115845,230899
-2,85,87,116010,238257
-1,84,85,116013,246641
2,91,89,116017,246219
-1,83,84,116033,227392
2,89,87,116034,233662
-1,84,85,116035,245697
-2,83,85,116304,266928
2,89,87,116310,232075
1,91,90,116325,227102
2,91,89,116325,236479
-2,86,88,116325,241846
3,88,85,116326,273153
-1,83,84,131681,227796
3,90,87,131682,224232
3,88,85,131682,226268
1,89,88,131682,231478
-1,85,86,132176,237197
