overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
1,89,88,1,232580
3,90,87,1,234378
-2,86,88,1,246669
-3,82,85,2,202811
3,90,87,5,256079
-2,82,84,7,204935
1,91,90,9,203376
1,92,91,9,209331
-2,87,89,10,230621
2,92,90,10,239085
1,90,89,21,212622
-3,82,85,32,234236
-1,85,86,52,211110
3,88,85,106,199503
2,91,89,241,277643
2,93,91,243,231747
1,90,89,243,239053
3,93,90,243,252371
-2,83,85,448,230869
3,88,85,112139,20801
-1,84,85,112172,185122
-1,83,84,115845,230899
2,88,86,115995,244302
-1,83,84,115995,264886
-1,84,85,115998,226302
2,91,89,116009,237288
1,90,89,116009,258980
2,89,87,116010,227125
2,89,87,116010,227246
2,89,87,116010,238257
3,88,85,116010,242830
3,88,85,116010,245882
-1,84,85,116010,261733
-1,83,84,116012,265293
-1,86,87,116033,227310
-1,87,88,116033,227361
2,89,87,116034,233662
-1,84,85,116035,245697
2,89,87,116310,232075
-2,82,84,116311,238470
-1,89,90,116325,227102
-2,89,91,116325,227203
-2,89,91,116325,241667
-1,83,84,116326,246774
3,90,87,131681,215698
-2,85,87,131682,177683
2,88,86,131682,208128
-1,87,88,131682,231478
-2,82,84,131682,233096
-1,86,87,131682,237383
