overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
-1,77,77,78,76,78,76,7,74,78
1,82,85,84,84,85,84,10,85,87
1,81,80,79,77,78,83,14,77,79
1,82,82,81,82,81,83,22,83,82
-1,75,74,75,77,74,73,23,76,73
-1,77,74,75,73,75,76,25,71,74
-1,71,73,74,75,74,68,31,74,74
2,78,81,79,82,79,80,32,82,80
1,76,78,77,80,77,76,36,82,78
1,80,81,80,81,80,80,45,81,81
-1,75,75,76,78,73,74,54,77,73
1,75,77,76,77,77,76,64,79,78
-1,76,77,78,77,78,76,69,77,79
-1,86,84,85,85,85,85,73,84,84
1,75,77,76,77,76,76,74,80,77
-2,77,76,78,77,78,76,144,75,77
-1,75,74,75,73,78,72,169,71,77
1,74,77,76,76,78,74,189,77,78
-1,81,81,82,84,81,81,240,83,80
2,74,77,75,76,75,77,246,77,77
-1,79,79,80,78,81,78,448,76,80
1,76,78,77,80,77,77,480,80,78
-1,77,78,79,80,80,76,483,80,79
1,74,79,78,80,81,75,605,80,82
-1,74,75,76,77,76,74,1745,75,75
-1,79,78,79,78,78,78,1799,78,79
-1,76,74,75,74,74,75,1831,74,72
1,77,78,77,80,78,77,1925,79,78
2,75,78,76,76,77,77,10029,76,79
1,76,78,77,76,77,77,110062,76,79
1,75,77,76,78,74,77,110374,78,76
-2,72,73,75,75,76,70,111817,74,74
1,74,77,76,85,77,75,112139,88,77
-1,79,78,79,77,78,79,112172,78,78
-1,78,77,78,79,76,77,115841,79,77
1,82,83,82,80,84,83,115995,82,85
1,78,79,78,79,80,78,115997,79,81
1,83,85,84,80,85,85,116009,81,86
1,83,85,84,87,83,84,116010,87,84
-1,74,75,76,73,76,73,116013,74,74
-1,75,75,76,77,76,75,116014,76,76
-1,78,76,77,75,76,76,116015,75,75
2,80,83,81,84,81,80,116017,84,83
-2,76,73,75,74,73,73,116020,72,71
1,84,85,84,86,84,85,116033,87,85
-1,77,76,77,73,78,76,116035,73,78
1,86,86,85,86,81,87,116325,87,81
-2,76,73,75,75,74,75,116328,71,72
1,82,84,83,86,83,82,131682,86,84
-1,76,78,79,72,81,76,132176,72,80
