homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
14,5,19,3,12,8,6,0,0,0,0,0,1,1,10,10,10,5,0,20,269,10,5,0,32,0,3,0,2,0,5,0,2,46
14,9,10,10,13,25,6,0,0,0,0,0,1,1,3,1000,5,3,1,20,270,4,2,0,19,0,5,0,2,0,6,2,2,26
8,3,17,1,22,12,86,0,0,0,0,0,1,1,0,22221,0,7,2,20,271,0,6,0,44,0,2,0,1,1,0,4,1,70
22,8,18,8,16,21,46,0,0,0,0,0,1,1,10,12200,3,4,3,20,272,5,3,0,26,0,4,0,2,0,4,3,2,50
14,1,14,7,18,16,20,0,0,0,0,1,1,1,10,20000,3,3,4,20,819,10,5,0,28,0,3,0,2,0,5,0,4,26
16,11,15,12,7,24,20,0,0,0,0,0,1,1,5,200,4,3,5,20,822,4,0,0,13,0,5,0,2,0,8,2,2,20
18,4,21,5,12,11,73,0,0,0,0,0,1,1,10,21122,8,5,6,20,1443,3,4,0,30,0,4,0,0,0,4,2,1,60
11,12,18,4,15,17,66,0,0,0,0,0,1,1,10,21202,10,6,7,20,1447,3,3,0,32,0,2,0,0,0,4,3,2,70
14,7,34,2,20,9,66,0,0,0,0,0,1,1,0,2122,10,7,8,20,1516,10,5,0,42,0,0,1,0,0,2,3,3,70
12,6,10,9,9,12,40,0,0,0,0,0,1,1,8,11012,5,4,9,20,1786,8,2,0,23,0,4,0,0,0,5,3,2,33
11,2,19,6,14,23,80,0,0,0,0,0,1,1,10,20222,8,6,10,20,1788,8,4,0,30,0,4,0,0,0,6,0,0,60
21,13,9,11,17,26,46,0,0,0,0,0,1,1,5,2021,4,2,11,20,15006,5,3,0,18,0,6,0,1,0,6,1,2,23
