overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
1,90,89,1,232580
1,89,88,1,234378
-2,84,86,1,241651
-2,86,88,5,256079
-2,82,84,7,204935
2,91,89,9,203376
2,91,89,9,212831
-2,83,85,9,257289
1,90,89,10,230621
2,91,89,10,231866
1,92,91,10,239085
2,91,89,21,202126
-2,82,84,52,229582
-2,87,89,73,235212
-2,85,87,73,247635
-2,86,88,73,252145
-2,88,90,73,255253
-2,85,87,73,256196
-2,83,85,73,271421
-2,85,87,73,272834
-1,85,86,241,241486
4,89,85,241,259532
-1,88,89,241,277643
2,91,89,243,192119
3,92,89,243,238794
2,90,88,243,239053
2,89,87,325,232293
-1,84,85,326,215914
-1,83,84,448,230869
-1,84,85,605,165153
-2,83,85,605,223848
3,88,85,112139,20801
2,91,89,116009,237288
1,90,89,116009,258980
-1,85,86,116012,244302
-3,82,85,116013,246641
1,90,89,116017,246219
2,89,87,116017,257008
3,91,88,116033,227361
2,90,88,116033,246272
2,89,87,116034,233662
-1,84,85,116035,245697
2,90,88,116325,227190
2,91,89,116325,237289
2,90,88,116325,241846
2,89,87,131681,215698
-1,83,84,131681,241721
-2,86,88,131682,224232
-1,87,88,131682,231478
-2,85,87,131682,237383
