overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,85,85,84,84,85,85,1,83,85
-1,80,80,81,82,80,79,2,81,78
1,79,81,80,82,82,80,11,82,83
1,81,82,81,82,81,82,22,82,82
1,75,76,75,77,74,76,23,77,75
-1,76,74,75,73,75,76,25,71,74
1,78,80,79,85,79,78,32,86,80
1,77,78,77,80,78,77,36,80,79
-1,73,74,75,73,76,73,38,70,75
1,80,81,80,81,80,81,45,81,80
-1,80,79,80,78,79,79,52,78,77
1,74,76,75,78,72,74,54,79,74
1,76,77,76,77,77,76,65,79,77
-1,86,84,85,85,85,85,73,84,84
-1,75,75,76,77,75,75,74,77,74
1,74,76,75,73,78,75,169,73,80
1,75,77,76,76,78,76,189,76,78
1,78,79,78,73,78,79,236,73,80
-1,78,78,79,78,80,77,237,78,79
1,82,85,84,90,84,83,243,90,85
-2,76,75,77,77,78,74,247,75,77
-1,74,73,74,75,74,73,378,74,73
-2,79,78,80,78,80,77,448,78,79
-1,76,75,76,74,75,75,452,74,75
-1,75,75,76,76,75,73,461,75,75
-1,76,76,77,81,77,75,479,80,76
-1,76,76,77,81,78,76,480,77,78
-1,76,74,75,75,75,75,481,74,74
-1,77,78,79,80,79,75,483,80,79
1,74,77,76,77,77,75,1745,78,78
1,78,79,78,79,79,79,1808,79,79
1,75,77,76,75,77,76,10029,76,78
-1,74,73,74,71,74,72,100409,69,72
2,75,78,76,77,74,77,110374,79,76
1,75,77,76,74,77,75,112139,76,78
-1,79,78,79,78,77,79,112172,77,77
-1,75,75,76,78,75,73,115996,78,75
-1,78,78,79,79,80,77,115997,79,80
-1,74,73,74,75,74,72,116003,73,73
1,83,85,84,80,85,84,116009,82,86
-1,75,75,76,74,76,75,116011,73,76
1,78,78,77,75,76,80,116015,75,77
1,75,77,76,76,76,75,116016,79,77
1,84,85,84,86,84,85,116033,86,84
1,77,78,77,73,79,78,116035,73,79
-1,75,73,74,70,75,75,116036,70,73
1,83,86,85,86,81,84,116325,86,82
1,78,79,78,78,75,79,116327,79,76
-1,74,74,75,77,75,73,116336,77,74
-1,77,80,81,84,81,76,131681,83,80
