overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-1,86,87,1,220901
2,88,86,1,222665
2,90,88,1,234378
2,87,85,2,216393
-1,86,87,5,257534
-4,80,84,7,204935
-1,88,89,9,203376
-1,88,89,9,212831
-1,84,85,9,237678
1,89,88,9,256630
-2,82,84,10,218667
2,92,90,10,231866
-1,84,85,10,237692
2,88,86,10,239818
3,89,86,13,247851
2,87,85,45,239580
-1,84,85,52,211110
1,91,90,73,231443
1,88,87,73,252145
1,88,87,73,256196
-2,85,87,73,272834
-2,81,83,189,233556
-2,81,83,219,226851
-2,81,83,219,246147
2,90,88,240,200389
-3,84,87,240,246191
-2,81,83,240,247103
-1,88,89,241,233419
-2,82,84,241,241461
2,88,86,241,241486
3,87,84,241,244260
4,89,85,241,259532
2,90,88,243,239053
-1,83,84,448,230869
-1,85,86,448,256516
-2,81,83,483,215590
4,88,84,605,223848
3,87,84,605,224293
3,88,85,607,215914
-1,81,82,1799,236461
-2,81,83,1799,241159
2,87,85,110374,193080
-2,83,85,112139,204525
-2,81,83,112139,213345
-2,82,84,115841,220502
3,87,84,131681,210008
2,88,86,131682,208128
1,89,88,131682,224232
2,87,85,131682,226268
2,90,88,131682,231478
