overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,80,81,80,82,81,81,2,84,81
-1,77,77,78,76,78,74,7,77,78
2,71,73,71,70,72,73,12,70,75
1,79,80,79,79,79,79,14,78,80
-1,71,71,72,72,73,70,17,71,71
-1,77,76,77,79,77,77,19,78,76
2,80,82,80,81,80,81,45,82,82
1,79,82,81,79,81,80,48,81,83
1,75,77,76,78,74,76,54,80,75
-1,72,72,73,73,73,72,55,73,71
1,73,76,75,75,76,75,64,76,77
-1,77,77,78,77,78,76,69,76,78
1,72,73,72,73,72,73,71,74,72
1,71,74,73,72,72,73,86,72,74
1,74,74,73,73,73,73,94,73,74
-1,74,75,76,76,77,73,189,76,75
-2,72,71,73,71,73,70,206,69,72
-1,70,71,72,75,71,68,229,74,71
-1,71,71,72,72,71,69,347,72,70
-1,79,79,80,78,81,78,448,78,80
-1,77,78,79,79,80,74,449,81,79
1,77,77,76,77,76,78,450,78,76
-1,78,75,76,80,75,77,453,80,74
1,76,78,77,79,78,76,457,79,79
-1,76,75,76,76,76,74,461,74,75
-1,73,73,74,73,74,73,463,73,73
-1,76,74,75,73,75,75,481,73,73
2,73,79,77,79,79,73,605,80,81
1,70,77,76,83,78,71,607,83,79
-1,76,72,73,72,73,73,673,71,73
1,72,72,71,70,72,72,1738,69,73
1,73,77,76,77,74,75,1745,78,75
2,70,72,70,66,70,72,1795,66,72
-1,75,74,75,74,75,75,1796,74,74
2,70,72,70,67,70,73,1806,67,71
1,78,79,78,79,78,80,1808,79,79
-1,73,72,73,71,72,72,1842,69,72
-1,75,74,75,74,76,74,1860,73,76
-1,77,77,78,78,78,76,1943,79,77
-1,75,73,74,72,74,73,2014,71,74
-1,71,72,73,74,72,70,111434,73,71
1,71,73,72,73,73,72,111811,73,73
-1,73,73,74,74,73,72,111817,73,72
-2,72,72,74,73,74,68,111974,73,73
-1,75,75,76,78,76,73,112139,77,75
1,72,75,74,78,74,72,112387,80,76
1,70,75,74,76,76,71,112391,77,79
1,78,80,79,78,80,79,115845,80,80
1,77,82,81,82,82,78,131681,83,83
1,83,84,83,86,83,83,131682,88,84
