overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
2,67,71,69,71,69,68,573,72,71
-1,68,67,68,68,68,68,1854,67,68
1,72,73,72,72,72,72,1861,71,73
-1,68,68,69,70,69,67,1867,71,68
2,67,69,67,67,67,68,1894,71,70
-1,67,67,68,68,68,66,1968,69,68
1,68,70,69,69,69,69,10846,69,72
1,68,70,69,68,69,70,100888,67,69
-1,66,66,67,67,66,65,110069,67,66
1,66,68,67,67,67,66,110839,67,68
1,86,86,85,87,83,86,116325,88,83
-1,78,77,78,78,76,77,116327,77,76
1,73,74,73,71,75,74,116332,72,75
-1,68,69,70,69,69,67,116333,68,68
-1,71,70,71,73,73,69,116334,72,72
2,74,77,75,74,76,77,116336,77,78
-1,65,67,68,70,68,64,131123,70,66
1,73,75,74,77,74,73,131125,77,75
-1,68,71,72,75,70,67,131720,74,70
1,70,72,71,71,72,70,131733,70,73
