overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-2,82,84,1,235794
-1,85,86,1,241651
2,89,87,5,257534
-2,82,84,7,204935
2,91,89,9,203376
2,91,89,9,212831
-2,82,84,10,218667
1,90,89,10,230621
1,92,91,10,239085
-1,84,85,10,240638
2,89,87,11,212198
-1,84,85,11,243014
1,90,89,21,202126
1,90,89,21,212622
-1,86,87,22,215441
-1,85,86,22,235073
-2,83,85,48,237238
-2,82,84,236,234577
-2,85,87,240,246191
3,92,89,241,233419
3,92,89,241,251854
2,91,89,241,277643
2,91,89,243,192119
-1,84,85,243,205452
1,92,91,243,231747
-1,88,89,243,238794
-1,87,88,243,239053
2,92,90,243,252371
2,89,87,325,232293
4,89,85,326,210257
-1,83,84,448,230869
-2,82,84,448,248550
-1,85,86,448,256516
-3,82,85,110374,193080
2,89,87,116009,245802
2,91,89,116009,258980
2,89,87,116009,265239
2,89,87,116010,238257
-2,82,84,116012,265293
2,91,89,116017,246219
3,91,88,116033,227361
2,90,88,116033,245956
-2,82,84,116034,247504
-2,82,84,116034,262457
3,89,86,116325,262531
-1,84,85,116326,245879
-2,82,84,131681,210008
-1,84,85,131681,227796
1,89,88,131682,231478
-1,86,87,131682,237383
