secformvar2,secformvar27,secformvar1,skinsurfacepackweight7,secformvar18,secformvar24,secformvar11,skinsurfacepack5,secformweight3,secformweight4,secformweight2,skinsurfacepackweight0,secformvar23,secformvar16,secformweight13,skinsurfacepackweight6,secformvar6,secformvar10,secformvar8,secformweight20,skinsurfacepack3,skinsurfacepackweight1,secformvar17,secformweight27,secformweight6,assetid,skinsurfacepackweight2,secformvar14,secformvar0,secformweight5,secformvar25,skinsurfacepack4,secformvar9,skinsurfacepack7,secformweight8,secformvar19,secformweight10,secformvar22,secformvar7,secformvar13,skinsurfacepackweight5,secformweight21,secformweight1,skinsurfacepack6,skinsurfacepack0,secformweight9,secformweight25,secformvar15,skinsurfacepackweight3,secformweight26,secformweight7,secformweight17,skinsurfacepack1,secformweight19,secformweight0,skinsurfacepackweight4,secformvar12,secformweight24,secformweight18,secformweight11,secformvar21,secformvar4,secformweight22,secformweight16,secformweight23,secformvar20,secformvar3,secformvar26,secformvar5,secformweight15,secformweight12,skinsurfacepack2,secformweight14
0,0,0,100,0,0,0,223101,0,0,0,100,0,0,0,100,0,0,0,0,223101,100,0,0,0,26720,100,0,0,0,0,223101,0,223101,0,0,0,0,0,0,100,0,0,223101,223101,0,0,0,100,0,0,0,223101,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223101,0
0,0,0,100,0,0,0,233101,0,0,0,100,0,0,0,100,0,0,0,0,233101,100,0,0,0,69964,100,0,0,0,0,233101,0,233101,0,0,0,0,0,0,100,0,0,233101,233101,0,0,0,100,0,0,0,233101,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233101,0
0,0,0,100,0,0,0,223101,0,0,0,100,0,0,0,100,0,0,0,0,223101,100,0,0,0,70198,100,0,0,0,0,223101,0,223101,0,0,0,0,0,0,100,0,0,223101,223101,0,0,0,100,0,0,0,223101,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223101,0
0,0,0,100,0,0,0,224001,0,0,0,100,0,0,0,100,0,0,0,0,224001,100,0,0,0,70497,100,0,0,0,0,224001,0,224001,0,0,0,0,0,0,100,0,0,224001,224001,0,0,0,100,0,0,0,224001,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224001,0
0,0,0,100,0,0,0,220101,0,0,0,100,0,0,0,100,0,0,0,0,220101,100,0,0,0,70786,100,0,0,0,0,220101,0,220101,0,0,0,0,0,0,100,0,0,220101,220101,0,0,0,100,0,0,0,220101,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220101,0
0,0,0,100,0,0,0,223101,0,0,0,100,0,0,0,100,0,0,0,0,223101,100,0,0,0,71069,100,0,0,0,0,223101,0,223101,0,0,0,0,0,0,100,0,0,223101,223101,0,0,0,100,0,0,0,223101,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223101,0
0,0,0,100,0,0,0,223101,0,0,0,100,0,0,0,100,0,0,0,0,223101,100,0,0,0,71910,100,0,0,0,0,223101,0,223101,0,0,0,0,0,0,100,0,0,223101,223101,0,0,0,100,0,0,0,223101,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223101,0
0,0,0,100,0,0,0,224001,0,0,0,100,0,0,0,100,0,0,0,0,224001,100,0,0,0,72006,100,0,0,0,0,224001,0,224001,0,0,0,0,0,0,100,0,0,224001,224001,0,0,0,100,0,0,0,224001,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224001,0
0,0,0,100,0,0,0,122101,0,0,0,100,0,0,0,100,0,0,0,0,122101,100,0,0,0,72081,100,0,0,0,0,122101,0,122101,0,0,0,0,0,0,100,0,0,122101,122101,0,0,0,100,0,0,0,122101,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122101,0
0,0,0,100,0,0,0,223101,0,0,0,100,0,0,0,100,0,0,0,0,223101,100,0,0,0,72108,100,0,0,0,0,223101,0,223101,0,0,0,0,0,0,100,0,0,223101,223101,0,0,0,100,0,0,0,223101,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223101,0
