overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
1,89,88,1,246669
-2,82,84,1,248148
-3,85,88,5,256079
1,91,90,9,203376
1,89,88,9,233731
3,88,85,10,237692
-2,89,91,10,239085
-1,84,85,11,243014
2,88,86,13,247851
-2,81,83,19,224371
1,90,89,21,212622
1,88,87,21,213331
3,88,85,21,241084
-1,86,87,22,215441
-1,85,86,22,247819
-2,83,85,32,234236
-1,84,85,52,211110
-1,86,87,73,207865
-2,83,85,73,226271
-2,85,87,73,247635
-2,85,87,73,256196
-2,84,86,73,272834
-1,87,88,241,188545
3,92,89,241,233419
4,88,84,241,259532
3,92,89,241,277643
2,91,89,243,192119
-3,83,86,243,231281
-1,87,88,243,239053
-2,88,90,243,252371
-1,86,87,325,232293
-1,84,85,326,210257
3,89,86,448,256516
3,88,85,607,165153
-1,83,84,607,241852
3,88,85,115995,243404
1,88,87,116033,227310
3,90,87,116034,233662
-2,82,84,116034,247504
1,89,88,116325,227190
1,92,91,116325,227203
1,89,88,116325,241846
2,88,86,116325,262531
3,88,85,116326,245879
3,90,87,131681,215698
-1,83,84,131682,199845
1,89,88,131682,224232
-2,83,85,131682,228093
2,90,88,131682,231478
-1,86,87,131682,237383
