overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
2,79,82,80,82,82,80,11,83,83
-1,80,80,81,79,84,79,13,78,83
1,80,81,80,79,80,81,18,79,80
1,77,78,77,76,78,77,19,76,79
1,81,82,81,82,80,82,22,82,81
1,75,76,75,77,75,78,23,78,76
1,76,76,75,74,75,77,25,77,76
-2,71,72,74,75,74,67,31,74,73
1,80,82,81,78,81,82,48,80,82
1,80,81,80,80,80,81,52,81,80
-1,73,72,73,73,73,72,55,73,72
1,76,78,77,77,78,76,64,78,78
-1,76,76,77,77,77,76,65,75,76
-2,77,75,77,76,77,74,66,75,75
-1,77,77,78,78,77,77,69,77,76
-1,74,74,75,74,76,74,72,72,74
-1,74,75,76,78,76,73,74,76,75
1,78,78,77,76,78,78,106,75,79
1,78,79,78,78,78,79,144,78,79
1,75,76,75,73,78,76,169,74,79
1,79,80,79,80,79,79,219,81,80
1,77,79,78,80,78,77,234,79,79
1,79,79,78,72,78,81,236,71,78
1,78,80,79,78,80,79,237,80,81
-1,81,81,82,84,82,80,240,84,80
1,74,76,75,76,76,74,246,77,77
1,76,78,77,77,78,77,247,78,79
-1,79,79,80,79,81,78,448,79,80
1,77,77,76,79,75,77,450,78,76
-1,76,77,78,83,78,76,457,83,77
-1,77,76,77,78,77,76,479,78,76
-1,77,76,77,81,77,76,480,81,77
1,77,80,79,80,80,78,483,82,81
1,75,78,77,77,77,75,1745,79,79
-1,78,77,78,80,79,77,1808,78,78
-1,79,76,77,82,77,79,1824,84,75
2,76,76,74,74,74,77,1831,77,75
2,73,75,73,72,72,75,1842,74,74
-1,73,74,75,76,76,72,1896,76,75
-2,75,75,77,77,78,75,10029,75,75
-1,75,73,74,75,74,73,100409,72,73
-1,76,76,77,76,77,76,110062,76,76
-1,79,78,79,78,78,78,112172,79,77
1,82,84,83,86,83,82,116010,88,83
-1,75,75,76,77,76,74,116014,77,76
-1,78,77,78,78,76,77,116327,77,75
1,77,76,75,72,75,78,116328,73,76
-1,74,74,75,73,75,73,116343,73,74
-1,73,73,74,77,74,70,131125,77,73
-1,78,80,81,82,82,76,131681,81,81
