assetid,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,goalnetstanchioncolor2g,teamcolor2r,foundationyear,goalnetstanchioncolor2r,teamcolor3r,goalnetstanchioncolor1b,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,goalnetstanchioncolor2b,goalnetstanchioncolor1r,teamcolor2g,goalnetstanchioncolor1g,teamname,teamcolor3b,presassetone,powid,hassubstitutionboard,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,cksupport7,defensivedepth,hasvikingclap,jerseytype,pitchcolor,cksupport9,pitchwear,popularity,hastifo,presassettwo,teamstadiumcapacity,stadiumgoalnetstyle,iscompetitionscarfenabled,cityid,rivalteam,playsurfacetype,isbannerenabled,midfieldrating,cksupport8,stadiummowpattern_code,cksupport6,matchdayoverallrating,matchdaymidfieldrating,attackrating,longitude,buildupplay,matchdaydefenserating,hasstandingcrowd,favoriteteamsheetid,defenserating,iscompetitionpoleflagenabled,skinnyflags,uefa_consecutive_wins,longkicktakerid,trait1vweak,iscompetitioncrowdcardsenabled,rightcornerkicktakerid,throwerleft,gender,cksupport1,cornerflagpolecolor,uefa_cl_wins,hassuncanthem,domesticcups,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,numtransfersin,stanchionflamethrower,stadiumgoalnetpattern,throwerright,captainid,personalityid,prev_el_champ,leftfreekicktakerid,cksupport2,leaguetitles,genericbanner,crowdregion,uefa_uecl_wins,overallrating,ballid,profitability,utcoffset,penaltytakerid,pitchlinecolor,cksupport5,freekicktakerid,crowdskintonecode,internationalprestige,cksupport3,haslargeflag,trainingstadium,form,genericint1,cksupport4,trait1vstrong,matchdayattackrating
1,26,218,2500000,255,1,255,1886,1,228,1,53,3,51,206,3,1,1,255,1,Arsenal,60,0,-1,0,234378,0,10,-1,0,65,0,2,3,0,0,9,0,0,60704,0,0,285,18,0,1,85,0,1,0,84,85,86,0,1,84,0,-1,84,0,0,0,234378,131586,2,246669,0,0,0,0,0,0,14,4,234378,7,1,0,131586,0,0,0,0,246669,1,0,234378,0,13,0,3,0,84,35,9,0,241651,0,0,234378,2,9,0,0,366,0,-1,0,4202498,86
2,0,102,800000,229,1,148,1874,1,124,1,51,2,52,47,2,1,1,190,1,Aston Villa,78,0,-1,0,200458,1,7,-1,0,50,0,2,4,0,0,7,0,0,42657,0,2,54,109,0,2,81,0,1,0,81,81,82,-1,1,80,0,-1,80,0,0,0,200458,131712,2,200458,0,0,0,0,1,0,7,3,227174,5,2,0,4194944,0,0,0,0,210881,1,0,226162,0,7,0,3,0,81,35,9,0,221697,0,0,200458,2,7,0,0,366,0,-1,0,270464,85
3,76,1,39000,255,76,255,1875,1,1,182,182,1,53,76,1,182,1,255,76,Blackburn Rovers,202,0,-1,0,225748,0,5,-1,0,50,0,2,4,0,0,4,0,0,31367,0,2,55,1796,0,2,69,0,1,0,69,69,69,-2,2,67,0,-1,67,2,0,0,225748,4202512,2,225748,0,0,0,0,0,0,6,2,225748,7,3,0,4202512,0,0,0,0,225748,1,0,225748,0,3,0,3,0,69,55,4,0,225748,0,0,225748,2,1,0,0,316,0,-1,0,266256,69
4,255,255,8000,63,28,8,1874,14,255,80,255,1,53,255,1,80,14,21,28,Bolton Wanderers,255,0,-1,0,212366,0,8,-1,0,90,0,2,4,0,0,4,0,0,28723,0,2,61,1917,0,2,67,0,1,0,67,67,66,-2,1,66,0,-1,66,2,0,0,212366,66688,0,212366,0,0,0,0,0,0,4,2,212366,8,4,0,66688,0,0,0,0,239540,0,0,212366,0,0,0,3,0,67,55,7,0,236528,0,0,212366,2,1,0,0,316,0,-1,0,139392,66
5,20,0,2340000,255,85,255,1905,48,28,200,137,2,51,75,2,200,48,255,85,Chelsea,160,0,-1,0,238074,1,8,-1,0,65,0,2,3,0,0,9,0,0,40343,0,2,285,1,0,1,84,0,1,0,81,84,82,0,1,78,1,-1,79,1,0,0,238074,131721,3,238616,0,0,0,0,2,0,8,2,238074,4,5,2,131721,0,0,0,0,238074,0,0,238074,0,6,0,3,1,81,35,10,0,257534,0,0,238074,2,8,0,0,366,0,-1,0,4202633,81
7,54,0,700000,255,54,255,1878,0,45,156,156,2,53,99,2,156,0,255,54,Everton,201,0,-1,0,237386,0,4,-1,0,50,0,2,4,0,0,7,0,0,52769,0,0,282,9,0,2,78,0,1,0,78,78,76,-2,3,77,0,-1,77,0,0,0,237386,139336,2,237386,0,0,0,0,0,0,5,1,243657,5,7,0,4198472,0,0,0,0,202695,0,0,243657,0,9,0,3,0,78,35,4,0,261188,0,0,243657,2,4,0,0,366,0,-1,0,266312,75
8,255,255,390000,134,205,46,1919,235,235,134,255,2,53,225,2,0,46,67,67,Leeds United,1,0,-1,0,257191,0,2,-1,0,30,0,1,5,0,0,7,0,0,37890,0,2,269,11,0,1,77,0,1,0,76,77,76,-1,3,75,0,-1,76,2,0,0,257191,270465,2,257191,0,0,0,0,0,0,1,3,257191,4,8,0,266369,0,0,0,0,235735,0,0,257191,0,3,0,3,0,76,35,7,0,221479,0,0,257191,2,1,0,0,316,0,-1,0,528513,75
9,27,227,4650480,255,1,255,1892,1,255,1,35,3,53,215,3,1,1,255,1,Liverpool,0,0,-1,0,236772,0,10,-1,0,65,0,1,3,0,0,9,0,0,53394,0,1,282,11,0,1,84,0,1,0,84,84,87,-2,1,83,0,-1,83,1,0,0,236772,131712,3,236772,0,0,0,0,6,0,8,3,256630,4,9,3,131712,0,0,0,0,203376,0,0,236772,0,20,0,3,0,84,35,6,0,209331,0,0,236772,2,10,0,0,366,0,-1,0,4202624,87
10,173,108,4564360,255,177,255,1880,133,0,222,233,3,53,40,3,222,133,255,177,Manchester City,94,0,-1,0,251570,0,10,-1,0,65,0,2,4,0,0,9,1,0,53400,0,1,300,11,0,2,84,0,1,0,84,84,87,-2,1,82,1,-1,82,1,0,0,218667,131712,3,218667,0,0,0,0,1,0,7,2,251570,3,10,0,131712,0,0,0,0,218667,1,0,251570,0,10,0,3,0,84,35,8,0,239085,0,0,251570,2,10,0,0,366,0,-1,0,4202624,87
11,1,199,5683920,255,1,255,1878,1,30,1,1,2,53,30,2,1,1,255,1,Manchester United,30,0,-1,0,212198,0,7,-1,0,65,0,2,5,0,0,10,0,0,74310,0,0,300,9,0,0,82,0,1,0,82,83,82,-2,1,80,1,-1,79,0,0,0,212198,131732,0,243014,0,0,0,0,3,0,13,2,212198,9,11,1,131732,0,0,0,0,212198,0,0,212198,0,20,0,3,0,80,35,6,0,212198,0,0,212198,2,7,0,0,366,0,-1,0,4202644,83
