starrating,firstname,commonname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,managerid,accessorycode4,hairtypecode,facepsdlayer0,lipcolor,skinsurfacepack,accessorycode3,accessorycolourcode1,headtypecode,height,seasonaloutfitid,birthdate,isrewardable,skinmakeup,trait1vweak,weight,hashighqualityhead,eyedetail,gender,headassetid,ethnicity,faceposerpreset,islicensed,teamid,trait1vequal,eyecolorcode,personalityid,accessorycolourcode3,accessorycode1,headclasscode,nationality,sideburnscode,accessorycolourcode4,headvariation,skintonecode,outfitid,facepsdlayer1,skincomplexion,accessorycode2,hairstylecode,bodytypecode,managerjointeamdate,trait1vstrong,accessorycolourcode2,facialhaircolorcode
5.0,Mikel,Mikel Arteta,Arteta Amatriain,2150302,0,0,251,254782,0,160,1,0,232201,0,0,2521,175,5557,145895,0,0,131586,75,0,2,0,45119,4,0,1,1,131586,5,1,0,0,0,45,0,0,0,4,5718,4,4,0,0,81,159678,263170,0,0
4.5,Unai,Unai Emery,Emery Etxegoien,2150000,0,22,254,237389,0,177,3,0,253101,0,0,2020,181,5535,142099,0,0,132224,75,1,2,0,237389,3,0,1,2,263296,4,1,0,0,0,45,0,0,0,4,5718,0,3,0,0,81,160725,4202624,0,22
3.0,,,,60101,0,3,45,45367,0,689,3,0,242201,0,0,3002,191,5558,145139,0,0,263184,83,0,2,0,26547,4,0,0,3,4202512,3,1,0,0,0,18,0,0,0,4,5718,3,6,0,0,85,161572,528400,0,6
2.0,,,,60101,0,9,246,265778,0,65,3,0,223101,0,0,42,183,5509,145139,0,0,66688,75,0,2,0,26543,2,0,0,4,66688,7,0,0,0,0,14,0,0,0,2,5713,2,2,0,0,82,161138,139392,0,0
3.5,Liam,,Rosenior,2080101,0,0,243,270334,0,687,0,0,242201,0,1,1031,178,5529,146731,0,0,132233,75,0,2,0,152723,5,0,1,5,132233,9,0,0,300,1,14,0,0,0,5,5718,0,6,0,0,81,161887,270473,0,0
4.0,David,,Moyes,70101,0,24,0,235732,0,147,3,0,252102,0,0,3516,185,5557,138985,0,0,135240,79,1,6,0,235732,1,0,1,7,264264,8,0,0,0,0,42,0,0,0,3,5718,2,1,0,0,85,161527,4196424,0,4
3.5,Daniel,,Farke,2150301,0,5,251,249179,0,35,3,0,252102,0,0,1546,182,5509,143922,0,0,4198529,75,1,2,0,249179,3,0,1,8,526465,4,0,0,0,0,21,0,0,0,4,5713,4,3,0,0,82,160970,526465,0,22
5.0,Arne,,Slot,60103,0,0,0,250808,0,0,3,0,242101,0,0,48,184,5509,144609,0,0,131712,75,1,2,0,250808,3,0,1,9,131712,4,0,0,0,0,34,0,0,0,2,5718,4,6,0,0,82,161303,263296,0,3
5.0,Josep,Pep Guardiola,Guardiola i Sala,60201,0,22,249,169894,0,0,3,0,242201,0,0,1526,180,5557,141810,0,0,131712,73,1,0,0,243712,2,0,1,10,131712,4,1,0,0,0,45,0,0,1,4,5718,4,2,0,0,82,158411,263296,0,9
2.5,Michael,,Carrick,2150101,0,3,251,265587,0,129,0,0,243101,0,0,4008,188,5557,145654,0,0,132244,75,0,6,0,21146,2,0,1,11,132244,2,0,0,0,1,14,0,0,0,2,5713,0,2,0,0,84,161894,270484,0,3
