overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
-2,85,83,85,84,85,83,1,84,84
1,80,82,81,80,82,81,5,81,83
-1,83,84,85,84,84,82,9,84,84
-1,79,80,81,80,84,79,13,79,83
1,80,80,79,77,78,82,14,79,78
-1,83,83,84,89,85,83,21,87,83
-1,75,74,75,76,75,73,23,74,73
1,76,78,77,80,77,77,36,81,78
1,80,81,80,81,80,82,45,82,82
-1,78,80,81,79,82,77,48,77,80
-2,76,74,76,78,74,74,54,77,72
-1,74,74,75,75,76,72,64,74,75
-1,76,75,76,78,76,74,65,77,75
-1,74,75,76,76,76,73,74,74,76
-1,75,75,76,76,75,73,110,75,75
-1,78,77,78,77,78,79,144,75,77
2,75,77,75,74,77,76,169,74,79
1,79,80,79,80,80,79,219,81,80
1,78,79,78,79,78,78,234,79,79
1,78,79,78,78,78,79,236,79,78
-1,77,78,79,78,80,77,237,79,80
1,81,83,82,84,81,82,240,85,82
1,83,86,85,85,85,84,243,87,86
-1,77,75,76,75,75,76,452,75,75
1,76,78,77,82,77,77,457,85,77
-1,75,78,79,80,79,73,483,79,79
1,73,77,76,77,75,74,1745,79,76
-1,78,78,79,78,78,77,1799,78,76
-2,78,76,78,78,78,76,1824,78,76
-1,76,74,75,74,74,75,1831,71,73
-1,77,76,77,79,78,75,1925,77,78
1,78,78,77,78,77,79,1943,79,77
-1,75,75,76,78,75,74,110374,78,73
1,75,77,76,77,76,76,112139,77,77
1,79,80,79,76,79,80,112172,78,80
1,78,80,79,76,79,79,115845,79,81
1,81,83,82,79,84,82,115995,79,84
1,83,85,84,83,84,86,116009,84,86
-1,75,75,76,71,77,74,116011,71,75
1,80,82,81,83,80,80,116012,84,82
-1,78,76,77,78,75,76,116015,79,74
-1,74,75,76,77,76,73,116016,77,76
1,79,82,81,84,81,79,116017,85,82
1,84,85,84,86,82,84,116033,85,82
1,80,81,80,79,79,81,116034,82,80
1,77,78,77,73,78,78,116035,73,79
-1,76,75,76,73,76,76,116036,72,76
1,86,86,85,86,81,86,116325,87,80
-1,78,77,78,80,76,77,116327,79,74
2,74,77,75,73,74,77,116343,73,77
