assetid,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,goalnetstanchioncolor2g,teamcolor2r,foundationyear,goalnetstanchioncolor2r,teamcolor3r,goalnetstanchioncolor1b,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,goalnetstanchioncolor2b,goalnetstanchioncolor1r,teamcolor2g,goalnetstanchioncolor1g,teamname,teamcolor3b,presassetone,powid,hassubstitutionboard,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,cksupport7,defensivedepth,hasvikingclap,jerseytype,pitchcolor,cksupport9,pitchwear,popularity,hastifo,presassettwo,teamstadiumcapacity,stadiumgoalnetstyle,iscompetitionscarfenabled,cityid,rivalteam,playsurfacetype,isbannerenabled,midfieldrating,cksupport8,stadiummowpattern_code,cksupport6,matchdayoverallrating,matchdaymidfieldrating,attackrating,longitude,buildupplay,matchdaydefenserating,hasstandingcrowd,favoriteteamsheetid,defenserating,iscompetitionpoleflagenabled,skinnyflags,uefa_consecutive_wins,longkicktakerid,trait1vweak,iscompetitioncrowdcardsenabled,rightcornerkicktakerid,throwerleft,gender,cksupport1,cornerflagpolecolor,uefa_cl_wins,hassuncanthem,domesticcups,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,numtransfersin,stanchionflamethrower,stadiumgoalnetpattern,throwerright,captainid,personalityid,prev_el_champ,leftfreekicktakerid,cksupport2,leaguetitles,genericbanner,crowdregion,uefa_uecl_wins,overallrating,ballid,profitability,utcoffset,penaltytakerid,pitchlinecolor,cksupport5,freekicktakerid,crowdskintonecode,internationalprestige,cksupport3,haslargeflag,trainingstadium,form,genericint1,cksupport4,trait1vstrong,matchdayattackrating
1,26,218,2500000,255,1,255,1886,1,228,1,53,3,51,206,3,1,1,255,1,Arsenal,60,0,-1,0,234378,0,10,-1,0,65,0,2,3,0,0,9,0,0,60704,0,0,285,18,0,1,84,0,1,0,85,85,86,0,1,84,0,-1,84,0,0,0,234378,131586,2,246669,0,0,0,0,0,0,14,4,234378,7,1,0,131586,0,0,0,0,246669,1,0,234378,0,13,0,3,0,84,151,9,0,241651,0,0,234378,2,9,0,0,366,0,-1,0,263170,86
2,0,102,800000,229,1,148,1874,1,124,1,51,2,52,47,2,1,1,190,1,Aston Villa,78,0,-1,0,200458,1,7,-1,0,50,0,2,4,0,0,7,0,0,42657,0,2,54,109,0,2,81,0,1,0,80,80,83,-1,1,79,0,-1,80,0,0,0,216393,132224,2,200458,0,0,0,0,1,0,7,3,227174,5,2,0,263296,0,0,0,0,210881,1,0,216393,0,7,0,3,0,80,151,9,0,221697,0,0,200458,2,7,0,0,366,0,-1,0,4202624,82
3,76,1,39000,255,76,255,1875,1,1,182,182,1,53,76,1,182,1,255,76,Blackburn Rovers,202,0,-1,0,225748,0,5,-1,0,50,0,2,4,0,0,4,0,0,31367,0,2,55,1796,0,2,70,0,1,0,70,73,68,-2,2,71,0,-1,68,2,0,0,225748,263184,2,225748,0,0,0,0,0,0,6,4,225748,7,3,0,4202512,0,0,0,0,225748,1,0,225748,0,3,0,3,0,69,55,4,0,225748,0,0,225748,2,1,0,0,316,0,-1,0,528400,71
4,255,255,8000,63,28,8,1874,14,255,80,255,1,53,255,1,80,14,21,28,Bolton Wanderers,255,0,-1,0,212366,0,8,-1,0,90,0,2,4,0,0,4,0,0,28723,0,2,61,1917,0,2,67,0,1,0,69,69,67,-2,1,70,0,-1,66,2,0,0,268927,66688,0,265700,0,0,0,0,0,0,4,2,212366,8,4,0,66688,0,0,0,0,212366,0,0,268927,0,0,0,3,0,66,55,7,0,265777,0,0,212366,2,1,0,0,316,0,-1,0,139392,68
5,20,0,2340000,255,85,255,1905,48,28,200,137,2,51,75,2,200,48,255,85,Chelsea,160,0,-1,0,257534,1,8,-1,0,65,0,2,3,0,0,9,0,0,40343,0,2,285,1,0,1,82,0,1,0,81,82,80,0,1,81,1,-1,80,1,0,0,257534,132233,3,238616,0,0,0,0,2,0,8,4,247090,4,5,2,132233,0,0,0,0,238074,0,0,257534,0,6,0,3,1,80,151,10,0,257534,0,0,257534,2,8,0,0,366,0,-1,0,270473,80
7,54,0,700000,255,54,255,1878,0,45,156,156,2,53,99,2,156,0,255,54,Everton,201,0,-1,0,237386,0,4,-1,0,50,0,2,4,0,0,7,0,0,39414,0,0,282,9,0,2,78,0,1,0,77,78,76,-2,3,76,0,-1,77,0,0,0,237386,135240,2,237386,0,0,0,0,0,0,5,1,243657,5,7,0,264264,0,0,0,0,204935,0,0,243657,0,9,0,3,0,77,151,4,0,251892,0,0,243657,2,4,0,0,366,0,-1,0,4196424,75
8,255,255,390000,134,205,46,1919,235,235,134,255,2,53,225,2,0,46,67,67,Leeds United,1,0,-1,0,257191,0,2,-1,0,30,0,1,5,0,0,7,0,0,37890,0,2,269,11,0,1,76,0,1,0,74,75,75,-1,3,73,0,-1,76,2,0,0,237161,4198529,2,237161,0,0,0,0,0,0,1,3,257191,4,8,0,526465,0,0,0,0,235735,0,0,257191,0,3,0,3,0,76,151,7,0,221479,0,0,257191,2,1,0,0,316,0,-1,0,526465,74
9,27,227,4650480,255,1,255,1892,1,255,1,35,3,53,215,3,1,1,255,1,Liverpool,0,0,-1,0,236772,0,10,-1,0,65,0,1,3,0,0,9,0,0,53394,0,1,282,11,0,1,86,0,1,0,85,86,85,-2,1,84,0,-1,83,1,0,0,236772,131712,3,236772,0,0,0,0,6,0,8,3,242516,4,9,3,131712,0,0,0,0,203376,0,0,236772,0,20,0,3,0,85,151,6,0,209331,0,0,236772,2,10,0,0,366,0,-1,0,263296,85
10,173,108,4564360,255,177,255,1880,133,0,222,233,3,53,40,3,222,133,255,177,Manchester City,94,0,-1,0,237692,0,10,-1,0,65,0,2,4,0,0,9,1,0,53400,0,1,300,11,0,2,85,0,1,0,84,85,82,-2,1,82,1,-1,82,1,0,0,240638,131712,3,237692,0,0,0,0,1,0,7,2,237692,3,10,0,131712,0,0,0,0,239818,1,0,237692,0,10,0,3,0,84,151,8,0,239085,0,0,237692,2,10,0,0,366,0,-1,0,263296,83
11,1,199,5683920,255,1,255,1878,1,30,1,1,2,53,30,2,1,1,255,1,Manchester United,30,0,-1,0,212198,0,7,-1,0,65,0,2,5,0,0,10,0,0,74310,0,0,300,9,0,0,80,0,1,0,80,81,82,-2,1,79,1,-1,79,0,0,0,212198,132244,0,243014,0,0,0,0,3,0,13,4,212198,9,11,1,132244,0,0,0,0,212198,0,0,212198,0,20,0,3,0,80,151,6,0,212198,0,0,212198,2,7,0,0,366,0,-1,0,270484,83
