overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,84,85,84,86,84,84,1,86,85
1,80,81,80,80,82,81,5,80,82
-1,80,80,81,81,84,79,13,80,83
-1,81,80,81,79,81,80,18,79,81
1,82,85,84,89,85,84,21,89,86
2,72,77,75,77,75,74,23,79,77
-1,77,78,79,82,79,76,32,80,78
-1,80,79,80,77,79,79,52,77,79
1,76,77,76,79,76,77,65,79,77
-1,76,75,76,74,75,75,66,72,74
-1,77,77,78,77,75,77,69,75,75
1,74,77,76,74,76,75,74,77,78
1,77,77,76,75,76,77,106,75,77
-1,75,75,76,76,76,74,110,75,75
1,78,78,77,76,77,79,144,77,78
-1,75,76,77,79,77,74,175,80,76
1,74,77,76,76,77,75,189,77,77
1,76,78,77,77,77,77,236,78,77
2,74,77,75,76,77,75,246,77,79
1,76,78,77,76,80,76,247,78,82
-1,76,78,79,79,79,76,326,78,79
-1,75,75,76,75,78,75,327,75,77
-1,78,79,80,78,81,78,448,78,80
1,77,79,78,77,79,78,449,77,80
-1,78,75,76,79,75,76,453,78,74
1,75,78,77,79,77,76,457,79,78
-1,76,75,76,76,76,74,461,75,74
-1,77,76,77,73,77,76,480,71,76
1,77,80,79,80,79,78,483,81,80
1,73,78,77,79,79,74,605,79,80
1,78,79,78,78,78,80,1808,80,79
-1,75,75,76,76,75,75,1876,75,74
-1,77,76,77,77,77,76,1925,75,76
-1,77,77,78,79,78,75,1943,79,77
-1,75,75,76,76,76,74,110062,75,74
-2,75,75,77,79,75,74,110374,76,72
1,76,79,78,79,80,78,115997,80,81
1,83,85,84,82,84,85,116010,83,84
-1,75,75,76,73,76,76,116011,73,76
-1,78,76,77,78,76,78,116015,78,75
1,84,85,84,86,82,85,116033,86,82
1,80,81,80,79,80,80,116034,80,80
2,76,78,76,78,76,78,116036,78,77
1,71,78,77,74,75,73,116302,75,76
-1,76,78,79,80,76,75,116304,80,76
-1,75,76,77,71,77,75,116306,70,77
-1,85,84,85,85,84,84,116325,85,82
1,78,79,78,78,79,78,116327,79,80
2,73,77,75,80,74,74,116336,81,75
-1,80,78,79,76,80,79,132176,75,80
