ca_noseSupratip_NN_XXX_R_A,fa_periorbital_NR_IXX_L_M,ca_noseColumella_NN_XXX_D_U,fa_submental_NR_XXX_L_M,fa_jowl_NL_IXX_D_U,fa_preplatysmal_NL_XXX_L_M,ca_noseAla_NR_ICX_D_U,ca_noseAla_NL_ILX_N_W,fa_lip_NR_IXX_L_M,fa_neck_NL_XXP_L_M,fa_forehead_NN_XMX_L_M,fa_jowl_NL_SXX_L_M,ca_earAntihelix_NL_IXX_D_U,fa_cheeksMiddle_NL_XXX_L_M,fa_earHelix_NL_IXX_L_M,ca_noseAla_NR_IXX_N_W,fa_cheeks_NR_XMX_L_M,ca_earHelix_NL_SXP_B_F,ca_earHelix_NL_SXA_N_W,ca_noseAla_NR_IMX_B_F,fa_submandibular_NR_XXX_D_U,ca_noseAla_NL_XXA_N_W,ca_earAntihelix_NL_SXX_B_F,ca_earHelix_NR_IXX_B_F,ca_noseAla_NR_ICX_R_A,ca_earHelix_NL_SXP_N_W,fa_cheeksMiddle_NR_XXX_D_U,fa_submandibular_NR_XXX_L_M,ca_noseSupratip_NN_XXX_D_U,fa_forehead_NL_XLX_D_U,ca_noseColumella_NN_XXX_R_A,ca_noseAla_NR_XXA_R_A,ca_noseTip_NN_XXX_D_U,ca_noseColumella_NN_XXX_B_F,ca_noseAla_NL_ICX_N_W,ca_noseAla_NR_XXA_B_F,fa_lip_NR_IXX_D_U,fa_cheeks_NR_XMX_D_U,ca_noseAla_NR_ICX_B_F,fa_nasolabial_NL_IXX_D_U,fa_nose_NN_XXX_L_M,ca_earlobe_NR_XXX_D_U,ca_noseAla_NL_ICX_B_F,ca_noseAla_NL_IXX_D_U,fa_nasolabial_NR_IXX_D_U,fa_orbital_NL_IXX_D_U,ca_earHelix_NR_SXA_N_W,ca_noseAla_NR_ILX_R_A,ca_noseAla_NR_ILX_B_F,fa_forehead_NR_XLX_D_U,ca_noseAla_NL_IMX_N_W,ca_noseAla_NL_SXX_N_W,ca_noseAla_NL_XXA_R_A,ca_eartragus_NR_XXX_B_F,fa_jowl_NR_IXX_L_M,fa_periorbital_NL_IXX_D_U,fa_orbital_NR_IXX_L_M,fa_preplatysmal_NR_XXX_L_M,ca_noseAla_NR_SXX_R_A,ca_noseSupratip_NN_XXX_SL_SR,ca_noseAla_NR_IMX_N_W,ca_earHelix_NR_SXP_D_U,fa_lip_NL_SXX_D_U,ca_eartragus_NL_XXX_N_W,ca_earHelix_NR_IXX_N_W,ca_earAntihelix_NL_SXX_N_W,fa_submandibular_NL_XXX_L_M,ca_noseAla_NL_ILX_R_A,fa_orbital_NR_IXX_D_U,ca_earHelix_NL_IXX_B_F,ca_earAntihelix_NR_SXX_B_F,ca_noseAla_NR_SXX_B_F,ca_earlobe_NL_XXX_D_U,ca_noseAla_NR_ILX_N_W,ca_earHelix_NL_SXA_B_F,fa_forehead_NR_XLX_L_M,ca_earHelix_NR_SXP_B_F,ca_earHelix_NL_IXX_N_W,fa_periorbital_NL_IXX_L_M,fa_jowl_NR_IXX_D_U,ca_noseTip_NN_XXX_SL_SR,ca_earAntihelix_NR_SXX_N_W,fa_cheeks_NL_XMX_L_M,fa_earHelix_NR_IXX_L_M,fa_nasolabial_NR_IXX_L_M,ca_noseColumella_NN_XXX_SL_SR,ca_noseAla_NL_IMX_R_A,fa_orbital_NL_IXX_L_M,ca_noseAla_NL_SXX_R_A,fa_lip_NL_IXX_L_M,ca_noseAla_NR_SXX_D_U,ca_noseAla_NL_IXX_B_F,fa_temporal_NR_XLX_L_M,ca_noseAla_NR_XXA_N_W,fa_orbital_NR_XLX_D_U,fa_nasolabial_NL_IXX_L_M,fa_cheeksMiddle_NR_XXX_L_M,ca_noseAla_NR_ILX_D_U,ca_earHelix_NR_SXA_B_F,ca_earAntihelix_NR_SXX_D_U,ca_earHelix_NL_IXX_D_U,fa_forehead_NL_XLX_L_M,ca_eartragus_NL_XXX_D_U,ca_earHelix_NR_IXX_D_U,fa_mental_NN_XXX_L_M,ca_earAntihelix_NL_SXX_D_U,fa_lip_NR_SXX_L_M,ca_noseSupratip_NN_XXX_B_F,fa_earHelix_NL_SXX_L_M,fa_orbital_NL_XLX_D_U,fa_forehead_NN_XMX_D_U,fa_jowl_NL_SXX_D_U,ca_noseTip_NN_XXX_R_A,ca_noseAla_NR_XXA_D_U,fa_cheeksMiddle_NL_XXX_D_U,fa_temporal_NL_XLX_L_M,ca_earHelix_NR_SXP_N_W,fa_submental_NR_XXX_D_U,fa_jowl_NL_IXX_L_M,fa_periorbital_NR_IXX_D_U,ca_eartragus_NL_XXX_B_F,ca_noseAla_NR_SXX_N_W,ca_earHelix_NR_SXA_D_U,fa_nasolabial_NL_SXX_D_U,ca_earAntihelix_NL_IXX_B_F,fa_orbital_NL_XLX_L_M,fa_orbital_NL_SXX_D_U,fa_submental_NL_XXX_L_M,fa_temporal_NL_XLX_D_U,ca_earlobe_NL_XXX_N_W,ca_earHelix_NL_SXP_D_U,fa_mental_NN_XXX_D_U,fa_lip_NR_SXX_D_U,ca_noseAla_NR_IMX_D_U,ca_noseSupratip_NN_XXX_N_W,ca_noseTip_NN_XXX_N_W,fa_orbital_NR_SXX_L_M,ca_earHelix_NL_SXA_D_U,ca_noseAla_NR_IXX_R_A,ca_noseAla_NL_IMX_D_U,ca_noseAla_NL_SXX_D_U,fa_nasolabial_NR_SXX_D_U,ca_noseAla_NL_IXX_N_W,ca_earlobe_NR_XXX_N_W,fa_temporal_NR_XLX_D_U,fa_mental_NN_IXX_L_M,ca_earAntihelix_NL_IXX_N_W,fa_neck_NR_XXP_L_M,ca_earAntihelix_NR_IXX_B_F,fa_jowl_NR_SXX_L_M,fa_orbital_NR_XLX_L_M,ca_earlobe_NL_XXX_B_F,fa_mental_NN_IXX_D_U,fa_cheeks_NL_XMX_D_U,ca_noseAla_NL_ICX_D_U,ca_noseAla_NL_XXA_B_F,ca_noseAla_NL_ILX_D_U,fa_jowl_NR_SXX_D_U,fa_lip_NL_IXX_D_U,fa_orbital_NR_SXX_D_U,fa_nasolabial_NR_SXX_L_M,ca_eartragus_NR_XXX_D_U,ca_noseAla_NR_IXX_B_F,ca_noseAla_NL_ICX_R_A,ca_noseAla_NL_IMX_B_F,ca_earlobe_NR_XXX_B_F,fa_submandibular_NL_XXX_D_U,ca_noseAla_NL_ILX_B_F,ca_earAntihelix_NR_IXX_N_W,ca_noseAla_NL_XXA_D_U,ca_noseTip_NN_XXX_B_F,fa_earHelix_NR_SXX_L_M,ca_noseAla_NL_IXX_R_A,fa_orbital_NL_SXX_L_M,ca_noseAla_NR_IXX_D_U,fa_submental_NL_XXX_D_U,fa_lip_NL_SXX_L_M,ca_earAntihelix_NR_IXX_D_U,ca_noseColumella_NN_XXX_N_W,ca_noseAla_NR_IMX_R_A,ca_noseAla_NL_SXX_B_F,fa_nasolabial_NL_SXX_L_M,ca_eartragus_NR_XXX_N_W,ca_noseAla_NR_ICX_N_W,assetid
3,33,28,-17,-2,38,58,-31,11,5,-49,7,79,-36,7,10,7,32,50,-7,11,27,65,65,-40,42,4,-3,-37,-25,2,33,-8,4,-94,3,-17,46,-29,-5,55,26,-30,27,-7,69,50,15,37,-15,-20,45,33,-45,18,86,-48,41,35,-11,-20,23,43,-9,-54,34,-3,13,78,67,65,15,23,-28,11,8,29,-50,40,-2,-10,28,1,6,-44,-11,-22,-44,34,10,37,14,-16,24,16,-48,-34,67,9,37,-19,-12,61,-16,-66,35,58,-7,-3,17,-39,29,27,3,9,-15,39,6,18,92,-42,50,61,28,19,11,22,-18,21,-5,16,9,40,4,-42,23,-36,63,16,7,36,28,14,-2,18,-9,0,4,18,19,13,54,77,47,58,-2,65,27,-13,31,-23,60,18,-41,-8,50,11,34,-1,2,-2,-4,15,-26,27,5,50,78,38,-22,11,-24,-8,-93,6007
-2,58,-19,-7,3,14,-39,15,26,69,75,61,46,-9,31,5,-68,11,22,47,-14,20,52,40,28,9,56,-43,-6,-24,-74,22,-58,-9,27,31,-63,90,33,68,-39,-33,42,9,79,39,16,-4,62,-24,-22,50,27,-70,44,-79,-39,13,25,8,-20,-42,-23,26,-35,41,-48,-6,29,40,52,46,-23,0,-19,42,10,-28,74,9,13,36,-78,29,87,9,44,-31,17,13,32,-8,-1,25,13,54,14,-47,-21,8,-67,38,-11,-63,25,12,4,33,68,11,-50,63,-22,-60,46,-5,13,-11,54,-40,-72,33,-63,-1,41,57,54,-8,16,-58,-43,15,-11,12,22,6,-70,-65,-4,2,30,0,8,-49,21,-33,45,69,40,56,44,49,52,81,-44,32,-57,78,-64,20,-41,-14,-20,30,58,51,-12,65,49,-65,-1,66,-2,-68,16,-11,26,41,-28,42,50,-35,20,28,6869
16,-29,62,-26,-19,-12,-72,-4,1,15,-67,66,10,-17,40,20,13,-77,-8,-1,12,45,16,34,32,0,4,-28,-47,50,3,33,33,27,-52,13,10,37,8,-12,-68,-14,8,100,-13,77,0,19,68,45,-1,65,28,-76,15,-4,-16,-12,34,-15,-3,-44,11,32,-28,-4,-24,15,78,37,22,0,-20,-2,-47,-61,-72,-28,-39,-27,-10,21,26,46,-17,2,29,-4,33,-3,7,16,-19,42,49,-12,-6,13,-46,3,-75,-89,-5,-71,13,4,-24,-4,93,51,48,32,5,-24,3,-32,15,11,13,-9,-77,69,-72,40,-11,-31,15,-25,82,-60,-37,27,13,36,5,27,-10,-73,25,31,3,50,21,-58,82,-50,47,14,0,70,-31,-6,34,26,-82,15,9,30,11,20,12,-3,16,30,-3,-10,13,68,55,-23,-33,94,27,-15,100,12,-14,18,-20,30,0,8,44,-55,70068
3,-50,45,-18,-44,40,67,17,6,11,-69,35,89,-22,66,12,-84,2,78,51,-45,44,58,16,-29,25,10,-37,1,-5,16,17,34,-71,100,30,-28,-2,32,-22,57,-78,32,28,-15,-17,71,-50,24,-12,24,-28,11,-81,-29,2,-99,40,60,-21,16,-64,-6,90,-84,57,-34,-50,-8,18,59,-24,-84,33,-14,15,1,-87,-53,-43,-20,45,-73,61,-9,-15,55,-91,66,6,-34,-38,-37,28,75,-32,-18,-33,-17,86,-83,42,40,-83,66,87,96,-6,55,73,-63,41,28,-16,8,-42,20,-29,-69,10,-80,-7,43,85,34,24,9,-18,53,28,-59,0,-7,23,25,28,-26,42,14,29,-45,85,14,12,53,-24,-12,12,25,69,24,13,30,-12,59,25,-33,48,-39,6,-74,45,-40,-23,50,19,-48,22,-10,-18,-20,68,14,-27,31,-29,85,94,-37,57,-33,-78,87,93,70716
38,18,27,-3,12,-29,5,32,21,68,-4,81,57,2,57,15,27,12,37,20,0,42,70,4,16,-7,-12,-49,-63,-40,-28,27,10,-17,42,51,-15,76,0,-15,-38,34,3,38,-18,0,44,0,54,-31,20,50,29,-58,-70,-6,-13,-28,39,0,23,-21,34,44,-2,-15,-46,-1,3,7,75,44,47,24,-4,11,13,1,22,2,9,-28,40,55,9,8,68,-9,36,25,-36,-28,0,45,-6,0,7,5,-8,26,9,8,-55,8,37,27,-17,67,93,-4,-31,23,3,-16,-2,0,-11,-2,-67,-7,-60,47,-91,46,28,-5,-22,-1,77,41,-15,-6,37,33,20,18,-14,-85,15,39,-33,51,16,32,78,-67,40,69,36,78,-10,18,46,73,8,52,2,20,-14,-19,-24,-58,-28,18,23,15,1,58,49,-17,30,100,15,-14,41,-2,-12,67,-35,66,46,-28,38,43,70896
-7,48,69,-38,-10,-19,-47,48,39,-13,40,83,27,-23,87,3,26,-9,57,13,2,45,91,55,34,79,-7,-35,-51,-9,7,21,24,1,-36,29,13,1,46,5,-65,-30,44,84,-5,59,56,21,95,-1,-24,71,18,-83,29,-13,39,-19,13,-16,-32,-25,32,83,-41,54,-40,17,44,52,74,11,-9,58,-30,52,-11,-23,41,-7,-12,53,43,72,36,-3,40,16,18,9,3,-30,-28,36,25,21,-1,-70,-39,75,-69,37,-61,-66,14,85,-4,-30,87,25,8,9,19,-40,-16,-35,62,40,20,9,-97,79,38,32,16,-12,12,-38,78,-6,-19,-1,29,34,3,14,-12,33,8,19,7,39,2,1,81,-56,-4,-12,18,90,-2,-72,20,-26,-48,31,-65,-8,25,8,15,-49,-29,34,19,-49,7,85,12,-38,-81,83,8,2,90,39,-13,18,-31,42,0,18,72,-46,70913
22,72,12,-11,-14,8,-64,-4,15,5,56,26,42,-3,70,3,-44,6,41,7,2,60,81,39,34,-15,15,-57,-15,-55,6,29,-4,-63,35,38,-41,58,11,33,-1,-53,13,2,35,31,21,19,64,-44,23,27,23,-51,-36,-72,-11,6,17,-6,18,-62,9,57,3,80,-60,17,35,42,76,52,-55,-11,52,38,-6,-20,66,-8,-6,55,-43,62,60,-3,43,-16,11,1,0,-42,-20,52,-22,56,13,-59,42,6,14,8,-64,17,9,0,-61,0,93,-26,-48,51,18,9,16,-19,-18,28,-40,-51,-56,18,7,-5,5,-11,0,-11,62,16,-76,-12,20,48,16,-5,-17,9,18,41,-5,1,6,26,64,-76,30,4,7,33,2,32,33,49,-81,38,-71,64,-51,-5,4,-60,-42,35,8,42,1,66,32,2,-33,83,18,-20,12,28,-53,43,-3,41,49,6,52,22,70971
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71139
-7,-28,47,-28,-12,-18,-22,56,7,19,70,80,-44,10,64,11,19,-14,22,-1,11,38,31,45,17,47,2,-41,-36,-28,-28,28,-7,-4,17,15,21,33,19,43,-86,-45,27,92,43,56,29,8,70,-16,-7,54,26,-38,-4,1,-45,-18,28,25,-5,-88,-35,10,-52,46,-41,14,58,52,29,-1,-50,51,-16,20,-21,-55,-40,-3,38,40,20,62,33,32,47,-52,21,10,-4,2,-28,40,-11,29,2,-64,-23,-32,-95,6,-12,-92,20,-30,-52,-37,73,-11,4,76,10,-6,-10,-26,40,2,21,4,-35,55,-99,46,24,-15,15,-28,45,-43,-89,33,-34,47,-11,0,-18,-100,0,51,-8,52,11,-48,46,-63,57,18,26,87,-6,60,15,24,-17,16,-64,77,18,7,-21,-8,-4,23,5,58,15,75,60,-5,-30,72,1,-15,90,3,-40,-41,-24,43,0,-25,21,19,71232
-3,33,0,-19,6,7,-29,-7,60,-18,-21,52,100,18,69,20,9,-81,28,-2,6,21,-15,33,-10,12,11,-5,-30,-6,-39,24,16,3,-29,-10,-26,0,-16,-27,7,-69,-14,24,-32,36,25,16,7,1,-7,5,26,-83,-13,35,-18,8,6,-6,-7,-1,-16,52,-9,52,-6,17,42,37,-18,-7,-58,-8,-42,26,-84,-1,27,8,-1,41,3,69,12,3,2,-27,2,65,-15,-1,-31,22,9,-13,8,0,-47,-5,-71,15,40,-70,-33,-6,-18,-13,48,6,-36,-3,16,9,10,-35,1,-8,-14,36,-88,1,-35,4,-58,-49,2,-20,22,15,-2,-23,-14,21,-17,15,-16,-27,3,18,-22,2,17,15,23,1,66,-16,-61,49,-50,23,25,10,-37,-10,-4,6,-29,3,11,36,-4,-4,-1,23,8,11,65,8,-14,44,0,-5,25,-4,-14,100,28,-1,-8,3,39,-25,71740
