overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
2,89,87,1,220901
1,90,89,1,232580
1,89,88,1,243715
-2,83,85,2,202811
-2,82,84,2,227678
-1,85,86,5,257534
2,90,88,9,212831
-2,87,89,10,230621
-1,88,89,10,231866
-1,90,91,10,239085
-1,83,84,10,241236
2,90,88,11,212198
1,88,87,21,213331
1,89,88,21,247827
2,88,86,22,235073
3,89,86,22,247819
3,90,87,48,192985
-2,82,84,52,229582
-2,82,84,52,230872
-2,87,89,73,235212
-2,85,87,73,247635
-2,88,90,73,255253
-2,85,87,73,256196
-2,83,85,73,271421
-2,84,86,241,188545
2,91,89,241,233419
-2,88,90,241,251854
3,91,88,243,239053
-1,83,84,448,230869
-1,84,85,605,165153
3,88,85,605,223848
-1,84,85,115845,252154
2,89,87,115995,259287
-1,83,84,115997,261773
1,90,89,116009,237288
2,89,87,116009,246426
3,89,86,116009,257001
1,90,89,116009,258980
-1,85,86,116017,233746
3,89,86,116033,265674
2,88,86,116033,278219
2,89,87,116034,233662
3,88,85,116035,245697
1,89,88,116325,227190
1,92,91,116325,227203
1,90,89,116325,237289
-1,83,84,116326,246774
-1,84,85,131681,227796
-1,85,86,131682,177683
-2,83,85,131682,228093
