overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-1,86,87,1,220901
1,89,88,1,246669
3,88,85,2,202811
1,89,88,5,256079
-3,87,90,9,203376
-1,89,90,9,209331
-2,83,85,9,237678
-1,85,86,9,239837
-2,84,86,9,246104
-1,87,88,9,256630
1,92,91,10,239085
2,89,87,11,212198
-2,84,86,13,241096
-1,85,86,13,247851
1,90,89,21,202126
-2,85,87,21,247827
-1,86,87,22,215441
-2,83,85,48,237238
2,91,89,73,255253
2,90,88,241,188545
2,91,89,241,277643
-2,89,91,243,231747
-1,86,87,325,232293
3,89,86,448,256516
-1,83,84,605,223848
-1,84,85,607,165153
-2,83,85,110374,193080
-1,83,84,115845,230899
3,88,85,115995,243404
1,90,89,116009,237288
-1,86,87,116009,245802
-2,85,87,116010,238257
-1,84,85,116010,242830
-1,84,85,116012,263011
3,88,85,116017,233746
2,91,89,116017,246219
2,89,87,116017,257008
3,90,87,116033,231432
3,90,87,116034,233662
-1,84,85,116035,245697
2,92,90,116325,227102
2,90,88,116325,227190
2,91,89,116325,236479
1,92,91,116325,241667
1,89,88,116325,241846
3,89,86,116325,262531
-1,84,85,116326,245879
-1,84,85,131681,227796
2,89,87,131682,224232
2,90,88,131682,231478
