overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,80,81,80,83,80,81,2,82,81
1,77,78,77,76,77,78,7,75,78
-1,76,75,76,75,76,74,8,75,75
-1,83,84,85,85,86,81,9,84,85
1,82,85,84,83,86,83,10,84,87
-1,80,80,81,80,84,79,13,80,83
1,79,80,79,79,79,80,14,79,80
-1,81,80,81,79,81,80,18,79,81
1,75,76,75,76,75,77,23,76,76
1,77,80,79,82,78,79,32,83,80
1,73,76,75,80,76,74,38,82,76
-1,80,80,81,79,82,78,48,78,80
-1,75,75,76,79,76,74,65,77,75
-2,77,76,78,77,75,75,69,74,74
1,85,85,84,85,86,84,73,85,87
2,74,77,75,74,75,77,78,74,76
-1,77,76,77,76,76,77,106,76,75
-1,75,75,76,76,76,74,110,76,74
-1,78,77,78,76,77,77,144,75,76
-1,74,74,75,77,76,74,169,74,74
1,74,77,76,76,77,76,189,77,78
-1,77,77,78,79,78,76,234,79,77
1,76,78,77,77,77,77,236,78,78
1,76,78,77,76,80,76,247,77,82
-1,79,79,80,84,80,79,325,83,80
1,77,79,78,79,79,76,449,81,79
-1,75,74,75,75,75,75,452,74,74
1,78,77,76,79,75,78,453,81,75
1,76,78,77,73,78,77,480,73,78
-1,70,75,76,83,78,70,607,82,77
-1,79,77,78,77,78,80,1824,77,77
-2,77,76,78,79,78,75,1943,78,76
1,75,77,76,76,76,76,110062,75,77
1,75,77,76,78,76,75,112139,79,77
-1,78,78,79,80,77,78,115841,79,76
-2,79,77,79,79,79,76,115845,77,77
1,82,84,83,86,83,83,115995,86,84
1,75,77,76,73,77,77,116011,73,79
-1,81,80,81,81,80,80,116012,80,79
2,75,78,76,73,77,77,116013,74,78
-1,78,76,77,78,74,77,116015,79,73
1,79,82,81,84,80,80,116017,85,82
1,79,81,80,79,79,80,116034,82,80
-1,76,75,76,78,76,75,116036,78,74
1,86,86,85,85,86,87,116325,87,86
-1,79,81,82,82,82,77,116326,82,81
1,78,79,78,78,79,78,116327,77,79
-1,74,75,76,78,74,72,116336,79,75
-1,78,80,81,82,79,77,131681,83,78
1,83,84,83,86,83,84,131682,87,84
