fl_lipUpper_NR_SCX_R_A,fl_eyelids_NR_ICX_R_A,fl_lipUpper_NL_SCX_D_U,fl_buccomandibularGroove_NR_XXX_L,mu_platysma_NR_ILX_N_W,fl_lipUpper_NL_SXX_B_F,mu_masseter_NR_XXX_L_M,fl_lipLower_NR_ICX_B_F,mu_platysma_NR_ILX_D,fl_lipLower_NL_IXX_R_A,fl_eyelids_NR_SLX_R_A,fl_lipUpper_NR_SLX_B_F,fl_lipLower_NL_IXX_B_F,fl_epicanthic_NL_XCX_D_U,fl_lipUpper_NL_SXX_R_A,fl_lipLower_NR_ILX_R_A,fl_lipUpper_NN_SMX_N_W,fl_lipLower_NR_ILX_D_U,fl_lipUpper_NL_SXX_D_U,mu_temporalis_NR_XXX_L_M,fl_lipLower_NR_ICX_D_U,fl_lip_NN_XMX_B_F,mu_trapezius_NN_SXX_L_M,fl_eyelids_NL_SLX_N_W,fl_eyelids_NR_ICX_D_U,fl_nasojugalGroove_NR_XXX_L_M,fl_lip_NR_XCX_D_U,mu_sternomastoid_NL_XXX_R_A,fl_eyelids_NL_XLX_D_U,fl_lipUpper_NR_SCX_D_U,mu_masseter_NL_XXX_L_M,fl_eyelids_NR_SMX_R_A,fl_lipLower_NR_SLX_B_F,fl_lip_NL_XLX_D_U,fl_lip_NN_XMX_R_A,fl_lipUpper_NR_ILX_R_A,fl_eyelids_NR_SCX_N_W,mu_platysma_NN_SMX_D_U,fl_lipUpper_NN_IMX_D_U,fl_eyelids_NR_ILX_D_U,fl_lipLower_NR_IXX_N_W,fl_nasojugalGroove_NL_XXX_L_M,fl_lipLower_NN_IMX_SL_SR,fl_lipLower_NL_SLX_R_A,fl_epicanthic_NR_XMX_D_U,fl_lipUpper_NL_ILX_B_F,mu_platysma_NL_SLX_D,fl_lipUpper_NR_SXX_N_W,mu_procerus_NN_XXX_D_U,fl_lipUpper_NL_ILX_R_A,fl_lipLower_NR_SLX_N_W,fl_lip_NR_XLX_D_U,fl_eyelids_NL_SLX_R_A,fl_lip_NL_XCX_N_W,fl_lipLower_NL_SLX_B_F,fl_eyelids_NL_SMX_R_A,fl_lipUpper_NR_ILX_N_W,fl_epicanthic_NR_XCX_B_F,fl_lipLower_NN_IMX_D_U,fl_eyelids_NL_SCX_D_U,fl_eyelids_NR_SLX_N_W,fl_lipLower_NL_IXX_N_W,fl_eyelids_NR_XLX_D_U,fl_eyelids_NR_SMX_N_W,fl_eyelids_NL_ILX_D_U,fl_oromentalGroove_NR_XXX_L,fl_epicanthic_NR_XLX_D_U,fl_nasolabialGroove_NL_SXX_L_M,fl_eyelids_NR_XMX_D_U,fl_lipUpper_NN_SMX_B_F,mu_platysma_NR_SLX_D,fl_buccalRecess_NL_XXX_D_U,fl_epicanthic_NL_XLX_D_U,fl_epicanthic_NR_XLX_R_A,fl_nasojugalGroove_NL_XXX_D_U,fl_lipLower_NR_IXX_R_A,fl_lipLower_NN_SMX_SL_SR,mu_procerus_NN_XXX_L_M,mu_platysma_NL_SLX_N_W,fl_lipLower_NN_IMX_R_A,fl_eyelids_NL_SCX_R_A,fl_lipUpper_NR_SXX_B_F,fl_lipLower_NN_IMX_B_F,fl_eyelids_NL_IMX_D_U,fl_epicanthic_NR_XCX_D_U,fl_lipLower_NL_SLX_N_W,fl_lipUpper_NL_SLX_D_U,fl_lipUpper_NN_SMX_R_A,fl_epicanthic_NL_XMX_N_W,fl_lip_NR_XLX_B_F,fl_lipLower_NL_ICX_D_U,fl_eyelids_NL_IMX_N_W,fl_buccalRecess_NR_XXX_L_M,fl_lipLower_NL_SLX_D_U,fl_lipUpper_NL_SLX_N_W,fl_epicanthic_NR_XMX_R_A,fl_lip_NN_XMX_N_W,fl_eyelids_NR_SCX_R_A,mu_platysma_NR_SLX_N_W,fl_epicanthic_NL_XLX_N_W,mu_trapezius_NN_SXX_D_U,fl_orbitalGroove_NL_IXX_L_M,fl_philtrum_NN_XXX_D_U,fl_eyelids_NR_ILX_R_A,fl_nasojugalGroove_NR_XXX_D_U,mu_corrugator_NR_XXX_D_U,fl_lipUpper_NR_ILX_D_U,mu_platysma_NN_IMX_D,fl_lip_NL_XLX_R_A,fl_eyelids_NL_SCX_N_W,fl_oromentalGroove_NL_XXX_L,fl_lip_NN_XMX_D_U,fl_lipLower_NN_IMX_N_W,fl_philtrum_NN_XXX_N_W,fl_eyelids_NR_SMX_D_U,fl_epicanthic_NL_XMX_B_F,fl_epicanthic_NR_XLX_N_W,fl_eyelids_NR_XMX_N_W,fl_eyelids_NL_SCX_F,fl_lipLower_NR_SLX_D_U,fl_lip_NL_XCX_D_U,fl_lipLower_NL_ICX_N_W,fl_mandibularGroove_NR_XXX_L,fl_lip_NR_XCX_R_A,fl_epicanthic_NL_XMX_R_A,fl_eyelids_NL_XLX_R_A,fl_lip_NL_XLX_B_F,fl_epicanthic_NR_XCX_N_W,fl_lipLower_NR_ICX_R_A,fl_chinCleft_NN_XXX_SL_SR,fl_lipUpper_NR_ILX_B_F,mu_sternomastoid_NL_XXX_L_M,fl_epicanthic_NL_XMX_D_U,fl_lipUpper_NR_SCX_B_F,fl_lip_NL_XCX_R_A,fl_nasolabialGroove_NL_IXX_L,fl_lipLower_NR_SLX_R_A,mu_corrugator_NL_XXX_L_M,fl_epicanthic_NL_XCX_R_A,fl_lip_NL_XCX_B_F,fl_lipUpper_NN_IMX_N_W,fl_chinCleft_NN_XXX_D_U,mu_corrugator_NL_XXX_D_U,fl_eyelids_NR_SLX_D_U,fl_nasolabialGroove_NR_SXX_L_M,fl_philtrum_NN_XXX_R_A,fl_epicanthic_NL_XLX_B_F,fl_eyelids_NR_XLX_N_W,fl_lipLower_NL_IXX_D_U,fl_lipLower_NL_ICX_B_F,fl_lipUpper_NL_SCX_R_A,fl_eyelids_NL_ILX_N_W,fl_eyelids_NR_SCX_D_U,fl_mandibularGroove_NL_XXX_L,fl_epicanthic_NL_XCX_B_F,fl_lipUpper_NN_IMX_SL_SR,fl_eyelids_NR_IMX_R_A,fl_lip_NR_XLX_N_W,fl_lipLower_NR_ILX_B_F,mu_corrugator_NR_XXX_L_M,fl_lipUpper_NL_SCX_B_F,fl_eyelids_NR_ICX_N_W,fl_lipLower_NL_ICX_R_A,fl_philtrum_NN_XXX_B_F,fl_eyelids_NL_XMX_R_A,fl_lipUpper_NR_SLX_R_A,fl_lip_NR_XCX_N_W,fl_lipUpper_NL_SLX_R_A,fl_epicanthic_NR_XMX_N_W,fl_lipUpper_NN_SMX_D_U,fl_lipLower_NR_ILX_N_W,fl_epicanthic_NR_XCX_R_A,fl_lipLower_NL_ILX_B_F,fl_eyelids_NL_IMX_R_A,fl_lipUpper_NR_SXX_D_U,fl_eyelids_NR_SCX_F,mu_platysma_NN_SMX_N_W,fl_lipLower_NL_ILX_R_A,fl_eyelids_NR_ILX_N_W,fl_buccalRecess_NR_XXX_D_U,fl_epicanthic_NL_XLX_R_A,fl_lipUpper_NL_SLX_B_F,fl_lipLower_NR_IXX_D_U,mu_sternomastoid_NR_XXX_L_M,mu_platysma_NL_ILX_D,fl_lipUpper_NN_IMX_B_F,fl_eyelids_NR_XMX_R_A,fl_eyelids_NL_ILX_R_A,fl_orbitalGroove_NR_IXX_L_M,fl_buccomandibularGroove_NL_XXX_L,mu_platysma_NL_ILX_N_W,fl_eyelids_NL_ICX_R_A,fl_eyelids_NR_XLX_R_A,fl_lip_NL_XLX_N_W,fl_lipLower_NN_SMX_R_A,mu_sternomastoid_NR_XXX_R_A,fl_eyelids_NL_SMX_D_U,fl_buccalRecess_NL_XXX_L_M,fl_eyelids_NL_ICX_D_U,fl_eyelids_NL_XMX_N_W,fl_lipLower_NN_SMX_D_U,fl_epicanthic_NR_XMX_B_F,fl_lipUpper_NR_SLX_N_W,fl_nasolabialGroove_NR_IXX_L,fl_lipUpper_NR_SCX_N_W,fl_lipUpper_NL_ILX_D_U,fl_epicanthic_NR_XLX_B_F,fl_eyelids_NL_XLX_N_W,fl_lip_NR_XLX_R_A,fl_eyelids_NL_SLX_D_U,fl_eyelids_NR_IMX_N_W,mu_temporalis_NL_XXX_L_M,fl_lipUpper_NL_SXX_N_W,fl_lipLower_NR_ICX_N_W,fl_lip_NR_XCX_B_F,fl_lipUpper_NN_SMX_SL_SR,fl_lipLower_NL_ILX_D_U,fl_lipLower_NN_SMX_B_F,fl_lipUpper_NR_SXX_R_A,fl_epicanthic_NL_XCX_N_W,fl_lipUpper_NN_IMX_R_A,fl_philtrum_NN_XXX_SL_SR,fl_lipLower_NL_ILX_N_W,fl_lipLower_NR_IXX_B_F,fl_eyelids_NL_ICX_N_W,fl_eyelids_NL_SMX_N_W,fl_eyelids_NL_XMX_D_U,fl_lipUpper_NL_SCX_N_W,fl_lipUpper_NR_SLX_D_U,fl_lipLower_NN_SMX_N_W,fl_lipUpper_NL_ILX_N_W,fl_eyelids_NR_IMX_D_U,assetid
-27,39,48,0,-8,-58,-34,19,0,-35,-1,11,-18,17,8,8,-42,40,-4,45,64,-34,14,7,-33,38,-21,10,46,40,-35,24,-66,52,16,-16,5,-11,-11,19,-24,31,26,33,12,-20,0,17,16,-21,-28,45,-2,-12,-68,26,-25,-13,74,52,6,-38,51,47,15,0,-64,-20,3,-38,0,26,-70,22,-3,-38,5,15,-28,-39,-16,-48,-15,84,30,-27,13,-41,-32,-19,61,3,-3,-9,-69,-22,24,-18,-27,-33,4,1,31,-6,0,-24,-13,0,30,0,0,28,25,78,4,-56,-31,41,0,-13,-15,-1,0,5,-22,-8,-10,-47,-13,-12,-16,17,9,-46,10,0,32,-64,0,-40,60,19,-18,33,-16,-10,44,-48,-10,23,-35,-14,56,0,-10,25,-6,40,41,-67,-39,-37,-12,19,46,-56,11,-47,-35,-18,-52,5,36,-3,-2,0,76,4,-14,24,26,11,-8,18,0,-16,46,-7,15,0,-9,39,-10,38,14,10,12,-3,-32,37,29,-56,-50,0,19,-13,40,-45,23,32,3,37,17,17,-41,18,41,-11,6,-52,-20,14,-72,-8,-41,47,8,-7,9,-3,-40,83,6007
-43,-32,17,-21,-28,13,-16,96,-40,43,-61,51,58,61,27,-44,-56,46,-35,-51,29,-39,55,52,51,48,-22,29,-19,8,-15,8,-40,1,30,-26,17,-5,-29,90,-35,40,13,-22,-9,8,-28,-1,-7,-24,-6,19,-64,4,-33,10,-23,36,52,88,48,-48,-39,90,88,-52,-100,-73,40,-16,-27,-22,-100,14,43,40,8,-34,-9,-29,-75,1,26,92,63,-5,45,-60,-64,-45,24,18,24,-6,-19,-64,8,-78,-10,-36,41,69,-21,-29,60,17,13,-42,12,19,-52,1,-9,63,-18,4,-29,65,78,0,-26,-22,-27,19,-58,-3,-47,-21,32,-41,0,9,-7,17,22,-21,-18,25,-21,-16,41,10,31,-88,-71,-26,57,-24,-22,93,-42,-19,80,-26,32,25,-46,42,57,42,16,19,36,40,95,-54,2,-52,-67,-76,-38,-20,66,-42,-44,80,56,-46,-22,-13,8,62,-17,10,-39,-74,94,-37,63,-21,-27,-21,0,41,-3,33,-24,2,50,62,7,10,-34,-21,50,9,52,-28,18,-76,20,-34,-1,-1,-21,-3,42,-9,26,-29,-15,-5,-19,51,24,85,31,36,48,3,-15,94,6869
-13,1,12,0,-13,-1,58,22,-30,33,-27,70,39,-5,15,-15,3,6,9,-7,8,-15,1,39,-32,48,10,9,57,14,56,23,-26,-11,32,-13,48,-16,2,27,-12,52,21,7,-15,2,-28,11,2,-14,20,0,-27,23,-24,20,8,-10,6,26,41,-5,67,41,29,-5,9,50,37,2,-28,-16,17,40,47,30,11,-2,11,-10,-43,-3,19,57,-32,22,-50,-21,7,-17,2,13,87,-34,15,-58,19,-42,8,-57,6,66,27,-9,55,-52,-31,-31,23,45,-6,29,31,73,18,-46,-68,0,61,-30,5,-8,-18,41,-56,-11,-17,-31,-13,-12,0,23,-15,11,43,0,9,40,13,3,32,15,-51,-18,47,-10,33,-14,-8,23,-15,-14,23,-18,-26,24,-22,31,49,33,14,17,-11,2,54,-41,23,-39,8,18,-1,-12,46,-26,11,63,19,-16,-9,-14,42,74,-1,21,-31,-43,57,-13,55,0,-14,-7,-10,32,31,10,11,83,-26,0,56,-37,14,0,24,-34,44,-11,30,-11,14,-15,12,-6,1,13,0,14,15,-44,11,12,4,36,10,40,20,18,-48,2,9,58,70068
-16,7,100,-30,-21,27,-25,76,-77,39,-51,90,100,33,16,-31,-35,39,28,-13,-51,66,63,13,-11,-27,-7,13,-22,100,-38,-18,14,-72,65,-27,-5,-35,-26,0,-67,-48,30,-34,-37,43,-82,-5,2,-32,-32,-60,-51,17,12,-22,-5,-16,-14,-11,12,-79,-10,33,-2,-87,5,-100,5,-20,-82,-14,10,12,-61,42,20,-40,14,-66,-64,28,88,39,26,-27,-40,2,-27,-53,-54,-23,-19,-37,25,-20,-38,-59,15,-16,43,84,27,-27,-63,-23,35,-68,-7,-3,-86,-53,18,85,-11,-64,-18,-34,82,-30,-23,-70,-61,30,-8,-14,-50,-64,26,-40,48,52,-30,-45,40,-59,-39,9,49,72,-1,-25,-22,-17,-100,-37,13,-14,-55,80,-27,-3,-4,-65,-26,38,-2,23,74,-1,-39,-45,29,-15,31,-37,30,-29,-27,-22,43,29,67,-7,32,82,51,-32,-10,-17,17,91,-49,51,-77,-2,32,-20,81,-32,-20,6,-19,23,-41,17,-6,-19,-19,-43,-40,-56,40,-58,-62,23,20,-30,-14,-35,-21,3,-5,-52,70,22,33,33,14,-60,-12,17,21,100,-39,33,9,-86,-38,-19,-14,43,70716
-27,-48,12,-12,-18,-22,-23,63,-38,19,-45,42,24,70,16,-21,-15,37,-23,-9,61,-52,7,23,10,-38,56,33,-8,12,-19,21,-32,-19,-5,-41,-14,-2,1,57,-68,-34,23,15,-6,-11,-34,8,17,-38,-9,-13,-46,-1,-30,22,-27,-1,49,38,22,-75,-4,46,62,-33,-55,-71,27,-33,-34,-21,-54,-1,3,18,15,-8,14,-58,-56,-21,22,70,74,-11,2,-47,-58,-15,55,-15,47,1,-22,-43,-3,-56,8,-3,16,31,11,-32,7,-62,4,-42,57,-12,-34,56,23,82,-50,-69,-4,12,63,5,52,-25,-24,-29,-39,15,-8,-58,-23,-30,-11,-2,-2,-26,-27,-18,16,-39,-32,-43,44,-9,-65,-56,-80,-27,18,5,10,66,-33,-11,38,-24,-3,32,-16,13,44,-38,-26,-25,-22,-28,71,-61,7,-55,-60,-15,-42,-32,46,-13,-14,63,26,-23,-12,-25,-2,45,17,-3,-39,-79,75,-33,29,-12,-22,-38,16,12,4,29,-49,45,10,4,28,-66,-20,-17,47,0,23,8,61,-47,-12,-9,8,-7,-42,16,31,-15,16,-54,-24,18,-37,25,-30,43,25,23,10,4,-26,71,70896
-38,32,33,0,1,-1,48,43,-33,36,-25,77,18,-50,18,-13,-19,-7,25,-39,-7,25,-9,31,5,53,11,-20,70,23,69,-41,0,22,46,-10,57,-22,-28,96,-26,52,-31,1,-71,-1,-30,-4,-4,-14,28,9,-27,3,-2,-43,12,-29,-12,17,31,-45,84,19,94,-4,-22,44,-25,-5,-31,-36,-26,21,69,39,-29,-33,19,0,-71,12,31,74,-40,26,-55,-15,76,6,-19,39,74,-52,-14,-55,-2,-73,28,-28,-2,35,37,44,72,15,-48,-21,11,71,-5,18,16,37,28,16,-22,46,39,-56,14,-33,-12,32,-49,17,9,-44,5,-25,10,-3,-74,-30,34,0,-3,45,54,21,17,32,16,-46,50,-43,33,16,-18,44,-41,24,11,-10,-33,-21,-61,0,28,47,-32,59,6,23,18,-47,20,-42,73,47,5,59,20,-62,28,41,11,-13,18,-24,17,71,-14,-4,-33,-40,11,47,32,0,4,26,15,0,22,-17,24,81,0,54,59,37,10,0,-15,-48,24,11,-3,-49,33,-32,-5,-19,26,-38,-3,27,16,-37,-9,-21,-19,37,69,24,-15,-38,-62,5,-5,70,70913
-3,-11,39,-35,0,-49,-3,47,-43,-13,-44,37,3,51,23,-22,3,26,5,-5,-25,-52,31,33,60,-8,35,1,-13,49,-2,-2,-25,31,-4,-3,-1,-13,5,79,-52,-1,3,-2,-40,-26,-38,0,-5,-1,-3,49,-43,-25,-25,-3,-28,-20,29,86,29,-50,-12,21,82,-48,-21,-67,6,-18,-37,9,-14,38,49,-12,-7,31,3,-16,-72,-51,-4,74,52,0,-12,-21,-34,-56,-28,8,36,-30,0,-50,4,-70,3,-18,30,67,-2,-11,60,-17,50,-37,19,10,-48,22,30,57,-40,-38,-14,5,67,-20,24,6,-25,-19,-44,17,-52,-60,-5,-22,-28,6,-33,-51,-10,-37,-3,34,-3,-46,41,19,-30,-47,-63,-17,-4,12,-29,48,-9,7,78,-23,-24,6,-28,57,34,26,-47,-7,0,-2,68,-47,-20,-39,-39,7,-37,-12,36,-33,18,68,26,-25,1,12,47,40,-28,1,-44,-88,72,-14,65,-34,-2,-16,14,52,-10,1,-37,43,56,11,19,-38,4,-37,38,36,1,2,13,-55,0,-8,2,14,-45,-14,17,-21,19,-54,10,-1,-39,5,5,23,4,33,2,18,-30,72,70971
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71139
11,-36,71,0,-4,-58,17,7,0,23,-80,69,-19,-19,2,-16,64,0,52,22,-64,-64,13,33,-23,44,5,-8,38,69,12,-61,-49,20,26,-16,58,-2,11,32,-27,42,0,20,-39,-6,0,-23,-62,-17,25,16,-78,-25,-45,-61,5,6,-20,-3,35,-33,49,45,40,0,10,11,21,-61,0,8,18,58,39,18,6,-66,16,24,-100,-55,-11,73,-24,22,-44,39,28,-54,-64,22,92,-41,11,-47,27,-100,16,-24,16,73,6,-28,54,56,2,0,8,67,0,-2,32,66,-11,-29,-18,9,0,-40,5,18,0,10,-40,-27,-56,-35,26,-13,-8,-4,-30,-77,13,0,27,3,43,-35,47,24,58,-43,7,-16,27,12,-36,10,2,-14,-13,0,-4,13,-52,49,27,1,-74,5,27,-44,61,-69,-7,-58,25,45,-2,36,28,-56,64,0,28,-23,-21,15,66,74,-37,-6,0,-69,61,-25,71,0,-6,-36,-35,51,-12,-9,-18,100,-18,14,33,-31,22,0,23,3,29,4,6,-54,19,19,-22,42,-37,3,-3,-45,-1,-36,12,10,-1,-20,10,46,26,-15,-47,10,-1,68,71232
-13,14,11,0,-2,14,45,43,0,-10,-11,43,40,29,2,-5,-27,-16,-19,-34,-9,14,-8,21,35,33,-20,0,-11,6,44,-12,-21,1,26,8,13,8,4,23,2,34,23,14,-45,-12,0,3,17,8,-7,10,-10,2,-17,-10,-12,-29,14,51,12,-12,-1,21,26,0,-31,-15,-9,10,0,8,-31,11,28,-12,15,-6,-5,-35,-34,11,33,73,32,-8,-20,-25,-17,-34,-13,7,-21,-50,-23,-21,11,-37,-5,19,-3,-13,3,-13,24,2,-11,0,9,17,0,11,13,56,-22,-36,17,3,0,-45,-25,-12,0,16,-20,-3,-24,-36,5,-9,-12,22,-42,0,20,0,19,54,52,-10,24,21,10,-30,-15,-17,8,-5,-40,47,-24,-8,40,0,-33,26,-20,29,50,54,4,-11,9,7,31,-28,22,-18,-23,-5,-43,52,54,-16,-12,0,28,-10,-12,7,11,51,-38,22,0,-2,28,-16,-26,0,-2,16,-4,23,-24,-1,-14,-19,41,10,-14,-43,-14,0,30,-13,9,-7,10,-33,5,-32,2,18,-15,17,-21,10,1,-26,-26,13,-45,39,-7,21,-8,-4,-19,-1,-19,71,71740
